hostname,exp,exp_category,category,host,where,asn
pra.gop.pk,1.4,gov/edu/utility,Pakistan,NAYATEL-PK,"Islamabad, PK",AS23674
pral.com.pk,1.4,gov/edu/utility,Pakistan,FBR-AS-AP,"Islamabad, PK",AS138424
prsp.org.pk,1.4,gov/edu/utility,Pakistan,NEXLINX-AS-AP,"Lahore, PK",AS17563
psl.com.pk,1.4,gov/edu/utility,Pakistan,NAYATEL-PK,"Islamabad, PK",AS23674
pts.org.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Karachi, PK",AS9541
pvtc.gop.pk,1.4,gov/edu/utility,Pakistan,PITB-PUNJAB-PK,"Lahore, PK",AS59323
qesco.com.pk,1.4,gov/edu/utility,Pakistan,PITC1-AS-AP,"Lahore, PK",AS153561
rmc.edu.pk,1.4,gov/edu/utility,Pakistan,COMSATS,"Islamabad, PK",AS7590
sacgb.gov.pk,1.4,gov/edu/utility,Pakistan,COMSATS,"Rawalpindi, PK",AS7590
sepco.com.pk,1.4,gov/edu/utility,Pakistan,PITC1-AS-AP,"Lahore, PK",AS153561
silkbank.com.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-APII,"Karachi, PK",AS24440
sngpl.com.pk,1.4,gov/edu/utility,Pakistan,WATEEN-IMS-PK-AS-AP,"Lahore, PK",AS38264
tevta.gop.pk,1.4,gov/edu/utility,Pakistan,MULTINET-AS-AP,"Lahore, PK",AS9260
uaf.edu.pk,1.4,gov/edu/utility,Pakistan,COMSATS,"Islamabad, PK",AS7590
ubank.com.pk,1.4,gov/edu/utility,Pakistan,MULTINET-AS-AP,"Karachi, PK",AS9260
ufone.com,1.4,gov/edu/utility,Pakistan,PKTELECOM-AS-PK,"Islamabad, PK",AS17557
wapda.gov.pk,1.4,gov/edu/utility,Pakistan,PITC1-AS-AP,"Lahore, PK",AS153561
yansrhr.org,1.4,gov/edu/utility,Pakistan,LDN-AS-PK,"Islamabad, PK",AS23966
ztbl.com.pk,1.4,gov/edu/utility,Pakistan,CYBERNET-AP,"Lahore, PK",AS9541
