prefix,total_paths,pk_paths,pk_asns
103.18.14.0/24,353,0,
137.59.217.0/24,354,0,
202.47.57.0/24,353,0,
103.7.60.0/22,351,351,PTCL
61.5.137.0/24,369,0,
2400:addf:2900::/40,338,0,
153.117.117.0/24,341,0,
153.117.126.0/24,341,0,
2400:adc0:101::/48,329,0,
137.59.221.0/24,354,0,
175.107.205.0/24,364,76,PTCL
192.140.144.0/22,350,350,PTCL
2400:adc0:4910::/48,335,0,
2400:adcc:100::/41,331,0,
203.101.189.0/24,340,0,
2400:adc2:400::/40,371,371,PTCL
124.29.237.0/24,378,0,
202.163.106.0/24,327,0,
209.101.30.0/24,42,0,
209.101.29.0/24,42,0,
61.5.141.0/24,378,0,
175.107.250.0/24,373,0,
103.26.80.0/22,346,346,PTCL
153.117.14.0/24,342,0,
2400:adc0:4200::/48,330,0,
202.163.90.0/24,360,0,
58.65.192.0/24,330,0,
202.163.103.0/24,391,110,PTCL
202.163.84.0/24,372,0,
2400:adc3:900::/40,348,0,
103.26.82.0/24,354,143,PTCL
14.1.107.0/24,342,0,
175.107.227.0/24,359,0,
153.117.31.0/24,342,0,
202.163.67.0/24,386,205,PTCL
2400:adc0:c002::/48,334,0,
124.29.239.0/24,354,0,
58.65.204.0/24,386,208,PTCL
124.29.238.0/24,354,0,
153.117.127.0/24,342,0,
2400:adc0:c100::/48,335,0,
137.59.216.0/24,373,0,
58.65.203.0/24,342,0,
58.65.197.0/24,370,0,
144.48.128.0/23,346,3,PTCL
206.135.164.0/24,56,16,PTCL
61.5.134.0/24,372,0,
101.53.240.0/24,384,297,PTCL
203.101.183.0/24,384,384,PTCL
2400:adc7:1000::/40,338,0,
72.255.16.0/22,355,0,
206.135.162.0/24,42,0,
175.107.233.0/24,364,204,PTCL
2400:adc9:a000::/40,347,0,
61.5.136.0/24,369,0,
140.235.80.0/24,3,3,PTCL
153.117.4.0/24,342,0,
203.101.184.0/24,358,0,
58.65.209.0/24,384,384,PTCL
192.140.146.0/24,363,92,PTCL
2400:adc0:4040::/48,330,0,
192.140.145.0/24,370,0,
139.135.33.0/24,365,1,PTCL
124.29.220.0/24,366,0,
202.163.89.0/24,369,0,
137.59.229.0/24,350,350,PTCL
2400:addd:2100::/40,337,0,
153.117.36.0/24,341,0,
36.255.44.0/23,345,3,PTCL
59.103.116.0/24,378,0,
59.103.97.0/24,353,152,PTCL
175.107.218.0/24,354,0,
103.26.81.0/24,350,350,PTCL
61.5.157.0/24,373,0,
202.47.63.0/24,358,0,
139.135.49.0/24,364,71,PTCL
202.163.77.0/24,386,205,PTCL
175.107.255.0/24,341,0,
103.244.178.0/24,354,0,
139.135.37.0/24,365,0,
202.47.34.0/24,353,0,
206.135.185.0/24,56,17,PTCL
139.135.38.0/24,365,1,PTCL
2400:adc0:c012::/48,350,0,
202.163.88.0/24,369,0,
153.117.35.0/24,341,0,
61.5.149.0/24,341,0,
175.107.243.0/24,362,153,PTCL
153.117.24.0/24,342,0,
139.135.60.0/24,350,332,PTCL
72.255.45.0/24,349,0,
139.135.61.0/24,354,0,
175.107.254.0/24,354,0,
202.47.45.0/24,366,0,
137.59.144.0/24,354,0,
153.117.47.0/24,342,0,
72.255.9.0/24,354,0,
66.167.169.0/24,8,8,PTCL
2400:adc7:4100::/40,366,366,PTCL
58.65.217.0/24,341,0,
101.53.233.0/24,397,66,PTCL
202.163.124.0/24,394,93,PTCL
72.255.10.0/24,360,0,
101.53.245.0/24,373,0,
137.59.145.0/24,354,0,
58.65.219.0/24,397,90,PTCL
137.59.219.0/24,354,0,
43.242.101.0/24,385,385,PTCL
139.135.36.0/24,365,1,PTCL
72.255.22.0/24,350,350,PTCL
59.103.119.0/24,354,0,
2400:adc0:4810::/48,364,364,PTCL
2400:adc0:4104::/48,334,0,
175.107.244.0/24,378,0,
66.167.90.0/24,28,0,
2400:adc0:4001::/48,330,0,
2400:adca::/40,338,0,
144.48.132.0/24,354,0,
202.163.87.0/24,353,0,
203.101.178.0/24,391,110,PTCL
153.117.34.0/24,342,0,
103.245.194.0/24,353,0,
202.163.91.0/24,341,0,
2400:adc4:800::/40,348,0,
206.135.190.0/24,42,0,
2400:adc5:380::/42,332,0,
66.167.207.0/24,42,0,
175.107.222.0/24,354,0,
61.5.139.0/24,367,0,
139.135.50.0/24,339,0,
202.163.78.0/24,383,383,PTCL
59.103.120.0/24,384,384,PTCL
2400:adc0:a::/48,329,0,
103.244.179.0/24,354,0,
58.65.221.0/24,350,350,PTCL
2400:adc4:100::/40,371,371,PTCL
139.135.58.0/24,389,169,PTCL
140.235.81.0/24,3,3,PTCL
206.135.189.0/24,42,0,
2400:adc2:300::/40,371,371,PTCL
175.107.253.0/24,367,0,
206.135.181.0/24,4,3,PTCL
101.53.234.0/24,373,128,PTCL
103.7.60.0/24,350,0,
101.53.243.0/24,394,159,PTCL
153.117.56.0/24,342,0,
67.102.7.0/24,38,0,
2400:adc0:4203::/48,330,0,
153.117.25.0/24,346,325,PTCL
59.103.101.0/24,367,0,
202.47.40.0/24,352,0,
202.47.44.0/24,366,0,
72.255.30.0/24,354,0,
2400:adc0:4711::/48,335,0,
2400:adc5:c0::/42,332,0,
2400:adc0:4100::/48,334,0,
203.101.163.0/24,397,106,PTCL
140.235.82.0/24,3,3,PTCL
139.135.41.0/24,362,319,PTCL
124.29.217.0/24,392,109,PTCL
