trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-11T18:46:28+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T19:01:21+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T19:16:24+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T19:31:24+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T19:46:25+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T20:01:27+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T20:16:30+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T20:31:34+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T20:46:23+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T21:01:24+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T21:16:21+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T21:31:35+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T21:46:33+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-11T22:01:22+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
