target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,trace_time,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:19:37+00:00,16,45.60.73.176,199.831,19551,45.60.73.0/24,US,"INCAPSULA - Incapsula Inc, US",False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,1,192.168.18.1,0.957,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,2,100.89.32.1,2.304,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,3,172.27.0.29,2.867,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,4,172.27.0.22,2.28,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,5,172.31.5.170,1.817,,,,RFC1918,True,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,6,110.93.202.134,23.0,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,7,110.93.252.86,22.662,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,8,110.93.252.136,22.886,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,9,110.93.252.233,134.351,,110.93.192.0/18,PK,TWA,False,False,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
hbl.com,HBL Bank,banking,60223,23674,Nayatel,2026-06-11T10:34:43+00:00,10,*,,,,,,False,True,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,True,179311289
