trace_id,trace_time,isp,target_hostname,target_ip,observed_path,bgp_paths_found,validation,partial_type
13200,2026-06-16T10:16:28+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13203,2026-06-16T10:25:33+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13208,2026-06-16T10:25:46+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13212,2026-06-16T10:25:53+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13215,2026-06-16T10:26:06+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13223,2026-06-16T10:26:51+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13226,2026-06-16T10:27:14+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13238,2026-06-16T10:28:39+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13250,2026-06-16T10:29:55+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13254,2026-06-16T10:30:05+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13257,2026-06-16T10:30:12+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13258,2026-06-16T10:30:13+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13267,2026-06-16T10:31:26+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13268,2026-06-16T10:31:27+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13270,2026-06-16T10:31:29+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13274,2026-06-16T10:40:35+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13281,2026-06-16T10:40:44+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13282,2026-06-16T10:40:48+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13285,2026-06-16T10:41:09+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13293,2026-06-16T10:41:51+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13295,2026-06-16T10:42:10+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13309,2026-06-16T10:43:42+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13322,2026-06-16T10:44:59+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13323,2026-06-16T10:45:01+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13327,2026-06-16T10:45:07+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13329,2026-06-16T10:45:15+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13337,2026-06-16T10:46:25+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13339,2026-06-16T10:46:26+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13340,2026-06-16T10:46:33+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13344,2026-06-16T10:55:32+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13347,2026-06-16T10:55:44+00:00,ptcl,nadra.gov.pk,2.19.193.138,17557 > 2914 > 20940,337,partial,interesting
13348,2026-06-16T10:55:47+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13349,2026-06-16T10:55:47+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13356,2026-06-16T10:56:06+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13362,2026-06-16T10:56:43+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13366,2026-06-16T10:57:09+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13376,2026-06-16T10:58:29+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13388,2026-06-16T10:59:58+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13398,2026-06-16T11:00:10+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13399,2026-06-16T11:00:11+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13401,2026-06-16T11:00:15+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13407,2026-06-16T11:01:18+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13408,2026-06-16T11:01:20+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13409,2026-06-16T11:01:24+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13413,2026-06-16T11:10:32+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13418,2026-06-16T11:10:42+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13419,2026-06-16T11:10:42+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13426,2026-06-16T11:11:12+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13434,2026-06-16T11:11:55+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13436,2026-06-16T11:12:14+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13450,2026-06-16T11:13:43+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13461,2026-06-16T11:14:57+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13465,2026-06-16T11:15:09+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13467,2026-06-16T11:15:12+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13471,2026-06-16T11:15:16+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13476,2026-06-16T11:16:17+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13478,2026-06-16T11:16:20+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13479,2026-06-16T11:16:21+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13486,2026-06-16T11:25:36+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13491,2026-06-16T11:25:49+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13493,2026-06-16T11:25:52+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13495,2026-06-16T11:26:08+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13504,2026-06-16T11:26:53+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13505,2026-06-16T11:27:09+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13519,2026-06-16T11:28:41+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13529,2026-06-16T11:29:59+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13532,2026-06-16T11:30:00+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13536,2026-06-16T11:30:06+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13540,2026-06-16T11:30:13+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13547,2026-06-16T11:31:24+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13548,2026-06-16T11:31:30+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13550,2026-06-16T11:31:33+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13553,2026-06-16T11:40:35+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13560,2026-06-16T11:40:50+00:00,ptcl,mcb.com.pk,192.124.249.159,17557 > 2914 > 30148,335,partial,interesting
13563,2026-06-16T11:40:54+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13566,2026-06-16T11:41:11+00:00,ptcl,dawn.com,172.67.72.98,17557 > 3356 > 13335,373,partial,interesting
13572,2026-06-16T11:41:53+00:00,cybernet,nadra.gov.pk,2.19.193.138,9541 > 8529 > 6939 > 20940,337,partial,interesting
13576,2026-06-16T11:42:14+00:00,zcom,telemart.pk,172.67.195.207,152605 > 38193 > 58453 > 13335,371,partial,interesting
13586,2026-06-16T11:43:41+00:00,ptcl,daraz.pk,47.246.167.168,17557 > 7473 > 4845 > 45102,341,partial,interesting
13598,2026-06-16T11:44:52+00:00,cybernet,hbl.com,45.60.109.176,9541 > 1299 > 19551,335,partial,interesting
13605,2026-06-16T11:45:04+00:00,nayatel,daraz.pk,47.246.167.168,7473 > 4845 > 45102,341,partial,interesting
13609,2026-06-16T11:45:09+00:00,nova,express.com.pk,172.67.174.102,6327 > 38193 > 58453 > 13335,372,partial,interesting
13613,2026-06-16T11:45:16+00:00,ptcl,express.com.pk,172.67.174.102,17557 > 3356 > 13335,372,partial,interesting
13617,2026-06-16T11:46:14+00:00,zcom,mcb.com.pk,192.124.249.159,152605 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
13619,2026-06-16T11:46:23+00:00,nova,telemart.pk,172.67.195.207,6327 > 38193 > 58453 > 13335,371,partial,interesting
13620,2026-06-16T11:46:30+00:00,ptcl,telemart.pk,172.67.195.207,17557 > 3356 > 13335,371,partial,interesting
13623,2026-06-16T11:55:34+00:00,zcom,express.com.pk,172.67.174.102,152605 > 38193 > 58453 > 13335,372,partial,interesting
13628,2026-06-16T11:55:43+00:00,nova,mcb.com.pk,192.124.249.159,6327 > 38193 > 6762 > 3257 > 30148,335,partial,interesting
