isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,ratio_overlay_q_excl_p,ratio_overlay_q_incl_p,ratio_vs_best_old
tes,64722,pesconlinebill.pk,78.1,distant,37.19,20.539,20.539,37.19
nayatel,65892,pesconlinebill.pk,2.7,local,1.29,0.564,1.0,1.286
fasttel,1014872,pesconlinebill.pk,127.1,distant,60.52,57.825,57.825,60.524
nova,1015679,pesconlinebill.pk,92.3,distant,43.95,33.092,33.092,43.952
cybernet,1016036,pesconlinebill.pk,22.6,regional,10.76,9.288,9.288,10.762
ptcl,1016126,pesconlinebill.pk,129.8,distant,61.81,35.067,35.067,61.81
cybernet,1016143,pesconlinebill.pk,4.3,local,2.05,1.162,1.162,2.048
cybernet,1016154,pesconlinebill.pk,3.7,local,1.76,0.86,1.0,1.762
ptcl,1016393,pesconlinebill.pk,129.9,distant,61.86,33.215,33.215,61.857
zcom,7613,pinkpetals.pk,91.9,distant,39.96,29.41,29.41,39.957
nayatel,60223,pinkpetals.pk,2.3,local,1.0,0.397,1.0,1.0
transworld,62224,pinkpetals.pk,94.2,distant,40.96,29.726,29.726,40.957
tes,64078,pinkpetals.pk,97.3,distant,42.3,31.353,31.353,42.304
orbit,64535,pinkpetals.pk,93.8,distant,40.78,22.009,22.009,40.783
tes,64722,pinkpetals.pk,78.1,distant,33.96,19.513,19.513,33.957
nayatel,65892,pinkpetals.pk,3.1,local,1.35,0.622,1.0,1.348
fasttel,1014872,pinkpetals.pk,200.3,distant,87.09,83.527,83.527,87.087
nova,1015679,pinkpetals.pk,92.8,distant,40.35,29.098,29.098,40.348
cybernet,1016036,pinkpetals.pk,22.3,regional,9.7,8.468,8.468,9.696
ptcl,1016126,pinkpetals.pk,262.9,distant,114.3,67.385,67.385,114.304
cybernet,1016143,pinkpetals.pk,4.5,local,1.96,1.154,1.154,1.957
cybernet,1016154,pinkpetals.pk,3.9,local,1.7,0.866,1.0,1.696
ptcl,1016393,pinkpetals.pk,268.2,distant,116.61,65.241,65.241,116.609
zcom,7613,reading.pk,91.4,distant,33.85,33.544,33.544,33.852
nayatel,60223,reading.pk,2.8,local,1.04,0.52,1.0,1.037
transworld,62224,reading.pk,95.1,distant,35.22,34.345,34.345,35.222
tes,64078,reading.pk,98.3,distant,36.41,36.362,36.362,36.407
orbit,64535,reading.pk,93.7,distant,34.7,24.263,24.263,34.704
tes,64722,reading.pk,78.1,distant,28.93,22.954,22.954,28.926
nayatel,65892,reading.pk,2.7,local,1.0,0.492,1.0,1.0
fasttel,1014872,reading.pk,203.9,distant,75.52,70.358,70.358,75.519
nova,1015679,reading.pk,92.3,distant,34.19,33.092,33.092,34.185
cybernet,1016036,reading.pk,22.0,regional,8.15,7.021,7.021,8.148
ptcl,1016126,reading.pk,276.9,distant,102.56,83.872,83.872,102.556
cybernet,1016143,reading.pk,4.6,local,1.7,1.393,1.393,1.704
cybernet,1016154,reading.pk,3.3,local,1.22,0.717,1.0,1.222
ptcl,1016393,reading.pk,267.6,distant,99.11,58.036,58.036,99.111
zcom,7613,sarazcollection.pk,15.7,regional,7.85,5.762,5.762,7.85
nayatel,60223,sarazcollection.pk,2.0,local,1.0,0.371,1.0,1.0
transworld,62224,sarazcollection.pk,19.7,regional,9.85,7.115,7.115,9.85
tes,64078,sarazcollection.pk,22.3,regional,11.15,8.249,8.249,11.15
orbit,64535,sarazcollection.pk,18.9,regional,9.45,4.894,4.894,9.45
tes,64722,sarazcollection.pk,2.9,local,1.45,0.226,1.0,1.45
nayatel,65892,sarazcollection.pk,2.7,local,1.35,0.576,1.0,1.35
fasttel,1014872,sarazcollection.pk,21.6,regional,10.8,10.295,10.295,10.8
nova,1015679,sarazcollection.pk,17.1,regional,8.55,6.131,6.131,8.55
cybernet,1016036,sarazcollection.pk,117.3,distant,58.65,50.272,50.272,58.65
ptcl,1016126,sarazcollection.pk,25.2,regional,12.6,8.389,8.389,12.6
cybernet,1016143,sarazcollection.pk,99.3,distant,49.65,33.08,33.08,49.65
cybernet,1016154,sarazcollection.pk,108.6,distant,54.3,36.17,36.17,54.3
ptcl,1016393,sarazcollection.pk,25.7,regional,12.85,6.744,6.744,12.85
zcom,7613,skyscanner.pk,30.5,regional,1.68,1.078,1.078,1.676
nayatel,60223,skyscanner.pk,40.1,regional,2.2,1.365,1.365,2.203
transworld,62224,skyscanner.pk,35.6,regional,1.96,1.257,1.257,1.956
tes,64078,skyscanner.pk,37.6,regional,2.07,1.328,1.328,2.066
orbit,64535,skyscanner.pk,34.5,regional,1.9,1.258,1.258,1.896
tes,64722,skyscanner.pk,19.9,regional,1.09,1.087,1.087,1.093
nayatel,65892,skyscanner.pk,39.5,regional,2.17,1.395,1.395,2.17
fasttel,1014872,skyscanner.pk,40.4,regional,2.22,1.379,1.379,2.22
nova,1015679,skyscanner.pk,34.0,regional,1.87,1.2,1.2,1.868
cybernet,1016036,skyscanner.pk,37.3,regional,2.05,1.259,1.259,2.049
ptcl,1016126,skyscanner.pk,43.7,regional,2.4,2.401,2.401,2.401
cybernet,1016143,skyscanner.pk,19.3,regional,1.06,1.06,1.06,1.06
cybernet,1016154,skyscanner.pk,18.2,regional,1.0,0.943,1.0,1.0
ptcl,1016393,skyscanner.pk,43.4,regional,2.38,1.57,1.57,2.385
zcom,7613,thefrontierpost.com,91.1,distant,36.44,31.147,31.147,36.44
nayatel,60223,thefrontierpost.com,2.5,local,1.0,0.447,1.0,1.0
transworld,62224,thefrontierpost.com,95.5,distant,38.2,32.166,32.166,38.2
tes,64078,thefrontierpost.com,97.7,distant,39.08,33.65,33.65,39.08
orbit,64535,thefrontierpost.com,93.4,distant,37.36,22.994,22.994,37.36
tes,64722,thefrontierpost.com,78.4,distant,31.36,19.588,19.588,31.36
nayatel,65892,thefrontierpost.com,2.9,local,1.16,0.559,1.0,1.16
fasttel,1014872,thefrontierpost.com,201.8,distant,80.72,77.674,77.674,80.72
nova,1015679,thefrontierpost.com,92.5,distant,37.0,30.945,30.945,37.0
cybernet,1016036,thefrontierpost.com,22.7,regional,9.08,8.012,8.012,9.08
ptcl,1016126,thefrontierpost.com,269.0,distant,107.6,68.948,68.948,107.6
cybernet,1016143,thefrontierpost.com,4.2,local,1.68,1.077,1.077,1.68
cybernet,1016154,thefrontierpost.com,3.9,local,1.56,0.928,1.0,1.56
ptcl,1016393,thefrontierpost.com,265.7,distant,106.28,61.634,61.634,106.28
zcom,7613,urbanbeauty.pk,16.0,regional,6.96,5.12,5.12,6.957
nayatel,60223,urbanbeauty.pk,2.3,local,1.0,0.397,1.0,1.0
transworld,62224,urbanbeauty.pk,19.2,regional,8.35,6.059,6.059,8.348
tes,64078,urbanbeauty.pk,22.8,regional,9.91,7.347,7.347,9.913
orbit,64535,urbanbeauty.pk,18.4,regional,8.0,4.317,4.317,8.0
tes,64722,urbanbeauty.pk,2.6,local,1.13,0.197,1.0,1.13
nayatel,65892,urbanbeauty.pk,3.1,local,1.35,0.622,1.0,1.348
fasttel,1014872,urbanbeauty.pk,22.6,regional,9.83,9.424,9.424,9.826
nova,1015679,urbanbeauty.pk,16.9,regional,7.35,5.299,5.299,7.348
cybernet,1016036,urbanbeauty.pk,127.6,distant,55.48,48.456,48.456,55.478
ptcl,1016126,urbanbeauty.pk,25.1,regional,10.91,9.283,9.283,10.913
cybernet,1016143,urbanbeauty.pk,99.1,distant,43.09,36.679,36.679,43.087
cybernet,1016154,urbanbeauty.pk,98.4,distant,42.78,36.411,36.411,42.783
ptcl,1016393,urbanbeauty.pk,27.6,regional,12.0,6.714,6.714,12.0
zcom,7613,vidmateapp.com.pk,91.9,distant,39.96,31.421,31.421,39.957
nayatel,60223,vidmateapp.com.pk,2.3,local,1.0,0.412,1.0,1.0
transworld,62224,vidmateapp.com.pk,95.8,distant,41.65,32.267,32.267,41.652
tes,64078,vidmateapp.com.pk,98.1,distant,42.65,33.788,33.788,42.652
orbit,64535,vidmateapp.com.pk,94.3,distant,41.0,23.216,23.216,41.0
tes,64722,vidmateapp.com.pk,78.2,distant,34.0,18.608,18.608,34.0
nayatel,65892,vidmateapp.com.pk,2.9,local,1.26,0.581,1.0,1.261
fasttel,1014872,vidmateapp.com.pk,125.1,distant,54.39,52.168,52.168,54.391
nova,1015679,vidmateapp.com.pk,92.8,distant,40.35,31.045,31.045,40.348
cybernet,1016036,vidmateapp.com.pk,22.2,regional,9.65,8.43,8.43,9.652
ptcl,1016126,vidmateapp.com.pk,136.3,distant,59.26,33.232,33.232,59.261
cybernet,1016143,vidmateapp.com.pk,4.2,local,1.83,1.024,1.024,1.826
cybernet,1016154,vidmateapp.com.pk,4.1,local,1.78,0.976,1.0,1.783
ptcl,1016393,vidmateapp.com.pk,131.1,distant,57.0,31.891,31.891,57.0
zcom,7613,wbm.com.pk,15.7,regional,5.81,5.558,5.558,5.815
nayatel,60223,wbm.com.pk,2.9,local,1.07,0.528,1.0,1.074
transworld,62224,wbm.com.pk,19.3,regional,7.15,6.727,6.727,7.148
tes,64078,wbm.com.pk,22.2,regional,8.22,7.919,7.919,8.222
orbit,64535,wbm.com.pk,19.1,regional,7.07,4.821,4.821,7.074
tes,64722,wbm.com.pk,2.7,local,1.0,0.209,1.0,1.0
nayatel,65892,wbm.com.pk,2.8,local,1.04,0.501,1.0,1.037
fasttel,1014872,wbm.com.pk,22.1,regional,8.19,7.372,7.372,8.185
nova,1015679,wbm.com.pk,17.4,regional,6.44,6.022,6.022,6.444
cybernet,1016036,wbm.com.pk,117.5,distant,43.52,36.34,36.34,43.519
ptcl,1016126,wbm.com.pk,25.2,regional,9.33,8.987,8.987,9.333
cybernet,1016143,wbm.com.pk,99.2,distant,36.74,35.406,35.406,36.741
cybernet,1016154,wbm.com.pk,108.4,distant,40.15,38.68,38.68,40.148
ptcl,1016393,wbm.com.pk,26.2,regional,9.7,5.562,5.562,9.704
zcom,7613,zarajahan.pk,15.7,regional,6.83,5.762,5.762,6.826
nayatel,60223,zarajahan.pk,2.3,local,1.0,0.427,1.0,1.0
transworld,62224,zarajahan.pk,19.2,regional,8.35,6.934,6.934,8.348
tes,64078,zarajahan.pk,22.0,regional,9.57,8.138,8.138,9.565
orbit,64535,zarajahan.pk,18.2,regional,7.91,4.713,4.713,7.913
tes,64722,zarajahan.pk,2.8,local,1.22,0.218,1.0,1.217
nayatel,65892,zarajahan.pk,2.7,local,1.17,0.541,1.0,1.174
fasttel,1014872,zarajahan.pk,21.7,regional,9.43,9.049,9.049,9.435
nova,1015679,zarajahan.pk,17.3,regional,7.52,6.202,6.202,7.522
cybernet,1016036,zarajahan.pk,117.5,distant,51.09,44.62,44.62,51.087
ptcl,1016126,zarajahan.pk,25.1,regional,10.91,8.643,8.643,10.913
cybernet,1016143,zarajahan.pk,99.2,distant,43.13,34.186,34.186,43.13
cybernet,1016154,zarajahan.pk,108.7,distant,47.26,37.45,37.45,47.261
ptcl,1016393,zarajahan.pk,25.3,regional,11.0,6.154,6.154,11.0
zcom,7613,zing.pk,15.8,regional,6.87,5.593,5.593,6.87
nayatel,60223,zing.pk,2.3,local,1.0,0.419,1.0,1.0
transworld,62224,zing.pk,19.4,regional,8.43,6.762,6.762,8.435
tes,64078,zing.pk,22.0,regional,9.57,7.848,7.848,9.565
orbit,64535,zing.pk,18.1,regional,7.87,4.569,4.569,7.87
tes,64722,zing.pk,2.8,local,1.22,0.217,1.0,1.217
nayatel,65892,zing.pk,2.8,local,1.22,0.561,1.0,1.217
fasttel,1014872,zing.pk,21.6,regional,9.39,9.007,9.007,9.391
nova,1015679,zing.pk,17.1,regional,7.43,5.919,5.919,7.435
cybernet,1016036,zing.pk,117.1,distant,50.91,44.469,44.469,50.913
ptcl,1016126,zing.pk,25.1,regional,10.91,8.643,8.643,10.913
cybernet,1016143,zing.pk,99.6,distant,43.3,34.323,34.323,43.304
cybernet,1016154,zing.pk,108.4,distant,47.13,37.347,37.347,47.13
ptcl,1016393,zing.pk,27.5,regional,11.96,6.69,6.69,11.957
zcom,7613,glory-casino.net.pk,91.5,distant,41.59,32.392,32.392,41.591
nayatel,60223,glory-casino.net.pk,2.2,local,1.0,0.401,1.0,1.0
transworld,62224,glory-casino.net.pk,94.4,distant,42.91,32.904,32.904,42.909
tes,64078,glory-casino.net.pk,97.5,distant,44.32,34.779,34.779,44.318
orbit,64535,glory-casino.net.pk,94.7,distant,43.05,23.903,23.903,43.045
tes,64722,glory-casino.net.pk,78.2,distant,35.55,20.038,20.038,35.545
nayatel,65892,glory-casino.net.pk,2.8,local,1.27,0.573,1.0,1.273
fasttel,1014872,glory-casino.net.pk,201.4,distant,91.55,87.64,87.64,91.545
nova,1015679,glory-casino.net.pk,92.7,distant,42.14,32.085,32.085,42.136
cybernet,1016036,glory-casino.net.pk,22.9,regional,10.41,9.04,9.04,10.409
ptcl,1016126,glory-casino.net.pk,277.5,distant,126.14,72.998,72.998,126.136
cybernet,1016143,glory-casino.net.pk,4.2,local,1.91,1.105,1.105,1.909
cybernet,1016154,glory-casino.net.pk,3.8,local,1.73,0.905,1.0,1.727
ptcl,1016393,glory-casino.net.pk,271.7,distant,123.5,67.74,67.74,123.5
zcom,7613,idc.net.pk,137.0,distant,1.16,1.073,1.073,1.165
nayatel,60223,idc.net.pk,133.5,distant,1.14,1.037,1.037,1.135
transworld,62224,idc.net.pk,149.9,distant,1.27,1.174,1.174,1.275
tes,64078,idc.net.pk,138.6,distant,1.18,1.085,1.085,1.179
orbit,64535,idc.net.pk,136.2,distant,1.16,1.074,1.074,1.158
tes,64722,idc.net.pk,122.2,distant,1.04,1.038,1.038,1.039
nayatel,65892,idc.net.pk,134.0,distant,1.14,1.049,1.049,1.139
fasttel,1014872,idc.net.pk,137.1,distant,1.17,1.065,1.065,1.166
