msm_id,target,probe_id,isp,sector,endtime,n_hops,trombone,exit_cc,handoff_isp,foreign_hop_index,as_path
189032884,careers635.com.pk,1014872,fasttel,Commercial Facilities,1783785660,12,False,,,,"[null, null, null, ""17557"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1015679,nova,Commercial Facilities,1783785663,13,False,,,,"[null, ""6327"", ""38193"", null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016036,cybernet,Commercial Facilities,1783785689,14,False,,,,"[null, ""9541"", null, null, ""9541"", null, null, ""9557"", null, null, null, null, null, null]"
189032884,careers635.com.pk,1016126,ptcl,Commercial Facilities,1783785657,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016143,cybernet,Commercial Facilities,1783785687,14,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016154,cybernet,Commercial Facilities,1783785703,15,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016393,ptcl,Commercial Facilities,1783785671,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,7613,zcom,Commercial Facilities,1783785688,13,False,,,,"[""152605"", ""38193"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64535,orbit,Commercial Facilities,1783785784,16,False,,,,"[null, null, null, null, ""174"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64722,tes,Commercial Facilities,1783785762,11,False,,,,"[null, ""135407"", ""38193"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,65892,nayatel,Commercial Facilities,1783785766,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,60223,nayatel,Commercial Facilities,1783789124,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,62224,transworld,Commercial Facilities,1783789082,4,False,,,,"[null, null, null, ""17557""]"
189032884,careers635.com.pk,64078,tes,Commercial Facilities,1783789139,12,False,,,,"[null, null, ""135407"", null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1014872,fasttel,Commercial Facilities,1783789262,12,False,,,,"[null, null, null, ""17557"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1015679,nova,Commercial Facilities,1783789235,13,False,,,,"[null, ""6327"", ""38193"", null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016036,cybernet,Commercial Facilities,1783789272,14,False,,,,"[null, ""9541"", null, null, null, null, null, ""9557"", null, null, null, null, null, null]"
189032884,careers635.com.pk,1016126,ptcl,Commercial Facilities,1783789252,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016143,cybernet,Commercial Facilities,1783789279,14,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016154,cybernet,Commercial Facilities,1783789249,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016393,ptcl,Commercial Facilities,1783789260,12,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,7613,zcom,Commercial Facilities,1783789294,13,False,,,,"[""152605"", ""38193"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64535,orbit,Commercial Facilities,1783789392,16,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64722,tes,Commercial Facilities,1783789369,11,False,,,,"[null, ""135407"", ""38193"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,65892,nayatel,Commercial Facilities,1783789356,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,60223,nayatel,Commercial Facilities,1783792733,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,62224,transworld,Commercial Facilities,1783792681,4,False,,,,"[null, null, null, ""17557""]"
189032884,careers635.com.pk,64078,tes,Commercial Facilities,1783792725,12,False,,,,"[null, null, ""135407"", null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1014872,fasttel,Commercial Facilities,1783792847,12,False,,,,"[null, null, null, ""17557"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1015679,nova,Commercial Facilities,1783792851,13,False,,,,"[null, ""6327"", ""38193"", null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016036,cybernet,Commercial Facilities,1783792890,14,False,,,,"[null, ""9541"", null, null, ""9541"", null, null, ""9557"", null, null, null, null, null, null]"
189032884,careers635.com.pk,1016126,ptcl,Commercial Facilities,1783792841,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016143,cybernet,Commercial Facilities,1783792891,14,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016154,cybernet,Commercial Facilities,1783792847,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016393,ptcl,Commercial Facilities,1783792868,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,7613,zcom,Commercial Facilities,1783792890,13,False,,,,"[""152605"", ""38193"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64535,orbit,Commercial Facilities,1783793002,16,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64722,tes,Commercial Facilities,1783792961,11,False,,,,"[null, ""135407"", ""38193"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,65892,nayatel,Commercial Facilities,1783792964,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,60223,nayatel,Commercial Facilities,1783796340,8,False,,,,"[null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,62224,transworld,Commercial Facilities,1783796274,4,False,,,,"[null, null, null, ""17557""]"
189032884,careers635.com.pk,64078,tes,Commercial Facilities,1783796331,12,False,,,,"[null, null, ""135407"", null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1015679,nova,Commercial Facilities,1783796439,13,False,,,,"[null, ""6327"", ""38193"", null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016036,cybernet,Commercial Facilities,1783796484,14,False,,,,"[null, ""9541"", null, null, null, null, null, ""9557"", null, null, null, null, null, null]"
189032884,careers635.com.pk,1016126,ptcl,Commercial Facilities,1783796441,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016143,cybernet,Commercial Facilities,1783796484,14,False,,,,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,1016393,ptcl,Commercial Facilities,1783796454,13,False,,,,"[null, ""17557"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,7613,zcom,Commercial Facilities,1783796489,13,False,,,,"[""152605"", ""38193"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64535,orbit,Commercial Facilities,1783796586,16,False,,,,"[null, null, null, null, ""174"", null, null, null, null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,64722,tes,Commercial Facilities,1783796566,11,False,,,,"[null, ""135407"", ""38193"", null, null, null, null, null, null, null, null]"
189032884,careers635.com.pk,65892,nayatel,Commercial Facilities,1783796561,8,False,,,,"[null, null, null, null, null, null, null, null]"
