isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
nayatel,60223,honda.com.pk,2.2,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
transworld,62224,honda.com.pk,19.9,regional,9.05,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,honda.com.pk,22.3,regional,10.14,Cloudflare,own_network_direct,8,LOCAL,24.2
orbit,64535,honda.com.pk,18.8,regional,8.55,Cloudflare,via_Transworld,8,LOCAL,22.1
tes,64722,honda.com.pk,2.9,local,1.32,Cloudflare,own_network_direct,7,LOCAL,4.2
nayatel,65892,honda.com.pk,3.1,local,1.41,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.4
fasttel,1014872,honda.com.pk,22.0,regional,10.0,Cloudflare,via_PTCL(Paknet),9,LOCAL,28.0
nova,1015679,honda.com.pk,17.0,regional,7.73,Cloudflare,via_Transworld,7,LOCAL,29.1
cybernet,1016036,honda.com.pk,22.6,regional,10.27,Cloudflare,own_network_direct,8,LOCAL,26.4
ptcl,1016126,honda.com.pk,25.5,regional,11.59,Cloudflare,own_network_direct,7,LOCAL,26.6
cybernet,1016143,honda.com.pk,4.1,local,1.86,Cloudflare,own_network_direct_registry,4,LOCAL,4.8
cybernet,1016154,honda.com.pk,3.4,local,1.55,Cloudflare,own_network_direct_registry,3,LOCAL,4.0
ptcl,1016393,honda.com.pk,23.9,regional,10.86,Cloudflare,own_network_direct,7,LOCAL,28.9
zcom,7613,logoofficial.com,16.1,regional,6.44,Cloudflare,via_Transworld_registry,5,LOCAL,16.2
nayatel,60223,logoofficial.com,2.5,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
transworld,62224,logoofficial.com,19.4,regional,7.76,Cloudflare,no_visible_handoff_short_path,3,LOCAL,22.2
tes,64078,logoofficial.com,22.5,regional,9.0,Cloudflare,own_network_direct_registry,7,LOCAL,23.4
orbit,64535,logoofficial.com,18.5,regional,7.4,Cloudflare,via_Transworld_registry,7,LOCAL,20.8
tes,64722,logoofficial.com,2.8,local,1.12,Cloudflare,own_network_direct_registry,6,LOCAL,3.6
nayatel,65892,logoofficial.com,2.6,local,1.04,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.3
fasttel,1014872,logoofficial.com,22.2,regional,8.88,Cloudflare,via_PTCL,7,LOCAL,24.9
nova,1015679,logoofficial.com,17.3,regional,6.92,Cloudflare,via_Transworld_registry,6,LOCAL,18.5
cybernet,1016036,logoofficial.com,127.6,distant,51.04,Cloudflare,own_network_direct,8,TROMBONE,121.0
ptcl,1016126,logoofficial.com,25.2,regional,10.08,Cloudflare,own_network_direct,5,LOCAL,27.0
cybernet,1016143,logoofficial.com,99.4,distant,39.76,Cloudflare,own_network_direct_registry,4,TROMBONE,100.6
cybernet,1016154,logoofficial.com,99.1,distant,39.64,Cloudflare,own_network_direct_registry,4,TROMBONE,99.4
ptcl,1016393,logoofficial.com,28.4,regional,11.36,Cloudflare,own_network_direct,6,TROMBONE,362.7
zcom,7613,meerzah.pk,15.7,regional,6.54,Cloudflare,via_Transworld_registry,5,LOCAL,16.3
nayatel,60223,meerzah.pk,2.4,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.2
transworld,62224,meerzah.pk,19.0,regional,7.92,Cloudflare,no_visible_handoff_short_path,3,LOCAL,23.1
tes,64078,meerzah.pk,22.0,regional,9.17,Cloudflare,own_network_direct_registry,7,LOCAL,23.2
orbit,64535,meerzah.pk,18.5,regional,7.71,Cloudflare,via_Transworld_registry,8,LOCAL,21.1
tes,64722,meerzah.pk,2.4,local,1.0,Cloudflare,own_network_direct_registry,6,LOCAL,3.0
nayatel,65892,meerzah.pk,2.7,local,1.13,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.5
fasttel,1014872,meerzah.pk,21.5,regional,8.96,Cloudflare,via_PTCL,8,LOCAL,30.2
nova,1015679,meerzah.pk,17.1,regional,7.13,Cloudflare,via_Transworld_registry,6,LOCAL,33.4
cybernet,1016036,meerzah.pk,117.3,distant,48.88,Cloudflare,own_network_direct,8,TROMBONE,120.5
ptcl,1016126,meerzah.pk,25.2,regional,10.5,Cloudflare,own_network_direct,6,LOCAL,26.0
cybernet,1016143,meerzah.pk,99.1,distant,41.29,Cloudflare,own_network_direct_registry,4,TROMBONE,100.3
cybernet,1016154,meerzah.pk,108.7,distant,45.29,Cloudflare,own_network_direct_registry,4,TROMBONE,99.5
ptcl,1016393,meerzah.pk,27.6,regional,11.5,Cloudflare,own_network_direct,6,LOCAL,28.2
zcom,7613,mepcoebillcheck.pk,91.0,distant,39.57,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,148.3
nayatel,60223,mepcoebillcheck.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.4
transworld,62224,mepcoebillcheck.pk,95.0,distant,41.3,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,mepcoebillcheck.pk,97.7,distant,42.48,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,103.8
orbit,64535,mepcoebillcheck.pk,93.9,distant,40.83,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,122.2
tes,64722,mepcoebillcheck.pk,78.1,distant,33.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.5
nayatel,65892,mepcoebillcheck.pk,2.9,local,1.26,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
fasttel,1014872,mepcoebillcheck.pk,202.9,distant,88.22,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,277.4
nova,1015679,mepcoebillcheck.pk,96.4,distant,41.91,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,103.2
cybernet,1016036,mepcoebillcheck.pk,23.1,regional,10.04,Cloudflare,own_network_direct,8,LOCAL,25.5
ptcl,1016126,mepcoebillcheck.pk,265.5,distant,115.43,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,293.6
cybernet,1016143,mepcoebillcheck.pk,4.3,local,1.87,Cloudflare,own_network_direct_registry,4,LOCAL,4.5
cybernet,1016154,mepcoebillcheck.pk,3.8,local,1.65,Cloudflare,own_network_direct_registry,4,LOCAL,3.9
ptcl,1016393,mepcoebillcheck.pk,269.4,distant,117.13,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,481.5
zcom,7613,motifz.com.pk,15.7,regional,7.14,Cloudflare,via_Transworld_registry,5,LOCAL,16.4
nayatel,60223,motifz.com.pk,2.2,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
transworld,62224,motifz.com.pk,20.1,regional,9.14,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.6
tes,64078,motifz.com.pk,21.9,regional,9.95,Cloudflare,own_network_direct_registry,7,LOCAL,23.3
orbit,64535,motifz.com.pk,18.6,regional,8.45,Cloudflare,via_Transworld_registry,7,LOCAL,20.3
