isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
cybernet,1016036,mcb.com.pk,138.6,distant,1.39,Sucuri,no_cdn_hop_visible,11,TROMBONE,164.5
ptcl,1016126,mcb.com.pk,103.1,distant,1.03,Sucuri,no_cdn_hop_visible,7,TROMBONE,205.1
cybernet,1016143,mcb.com.pk,110.5,distant,1.11,Sucuri,no_cdn_hop_visible,7,TROMBONE,144.4
cybernet,1016154,mcb.com.pk,119.4,distant,1.2,Sucuri,no_cdn_hop_visible,6,TROMBONE,132.5
ptcl,1016393,mcb.com.pk,131.9,distant,1.32,Sucuri,no_cdn_hop_visible,7,TROMBONE,351.5
zcom,7613,ajk.gov.pk,90.8,distant,39.48,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,153.5
nayatel,60223,ajk.gov.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.5
transworld,62224,ajk.gov.pk,95.3,distant,41.43,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,ajk.gov.pk,97.4,distant,42.35,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,107.9
orbit,64535,ajk.gov.pk,94.1,distant,40.91,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,168.4
tes,64722,ajk.gov.pk,78.1,distant,33.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.3
nayatel,65892,ajk.gov.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,6.0
fasttel,1014872,ajk.gov.pk,201.4,distant,87.57,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,272.7
nova,1015679,ajk.gov.pk,92.5,distant,40.22,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,109.2
cybernet,1016036,ajk.gov.pk,22.3,regional,9.7,Cloudflare,own_network_direct,8,LOCAL,26.5
ptcl,1016126,ajk.gov.pk,269.3,distant,117.09,Cloudflare,via_foreign_transit_Level3/Lumen,8,TROMBONE,293.9
cybernet,1016143,ajk.gov.pk,4.2,local,1.83,Cloudflare,own_network_direct_registry,4,LOCAL,4.7
cybernet,1016154,ajk.gov.pk,3.9,local,1.7,Cloudflare,own_network_direct_registry,3,LOCAL,4.2
ptcl,1016393,ajk.gov.pk,267.3,distant,116.22,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,331.5
zcom,7613,joinasf.gov.pk,91.3,distant,39.7,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,146.2
nayatel,60223,joinasf.gov.pk,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.0
transworld,62224,joinasf.gov.pk,95.4,distant,41.48,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.3
tes,64078,joinasf.gov.pk,98.3,distant,42.74,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,104.1
orbit,64535,joinasf.gov.pk,94.2,distant,40.96,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,151.0
tes,64722,joinasf.gov.pk,78.3,distant,34.04,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.2
nayatel,65892,joinasf.gov.pk,3.0,local,1.3,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.4
fasttel,1014872,joinasf.gov.pk,204.8,distant,89.04,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,292.4
nova,1015679,joinasf.gov.pk,92.5,distant,40.22,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,118.5
cybernet,1016036,joinasf.gov.pk,22.6,regional,9.83,Cloudflare,own_network_direct,9,LOCAL,25.8
ptcl,1016126,joinasf.gov.pk,271.1,distant,117.87,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,294.3
cybernet,1016143,joinasf.gov.pk,4.1,local,1.78,Cloudflare,own_network_direct_registry,4,LOCAL,4.7
cybernet,1016154,joinasf.gov.pk,3.8,local,1.65,Cloudflare,own_network_direct_registry,3,LOCAL,4.3
ptcl,1016393,joinasf.gov.pk,269.1,distant,117.0,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,286.7
zcom,7613,paknavy.gov.pk,16.0,regional,6.4,Cloudflare,via_Transworld,6,TROMBONE,124.4
nayatel,60223,paknavy.gov.pk,2.5,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.6
transworld,62224,paknavy.gov.pk,20.2,regional,8.08,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.2
tes,64078,paknavy.gov.pk,22.9,regional,9.16,Cloudflare,own_network_direct,8,TROMBONE,135.1
orbit,64535,paknavy.gov.pk,18.5,regional,7.4,Cloudflare,via_Transworld,8,TROMBONE,129.6
tes,64722,paknavy.gov.pk,3.0,local,1.2,Cloudflare,own_network_direct,7,TROMBONE,260.7
nayatel,65892,paknavy.gov.pk,3.1,local,1.24,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.7
fasttel,1014872,paknavy.gov.pk,21.7,regional,8.68,Cloudflare,via_PTCL(Paknet),8,LOCAL,29.6
nova,1015679,paknavy.gov.pk,17.4,regional,6.96,Cloudflare,via_Transworld,7,TROMBONE,281.0
cybernet,1016036,paknavy.gov.pk,23.3,regional,9.32,Cloudflare,own_network_direct,8,LOCAL,26.8
ptcl,1016126,paknavy.gov.pk,25.4,regional,10.16,Cloudflare,own_network_direct,6,LOCAL,26.8
cybernet,1016143,paknavy.gov.pk,4.4,local,1.76,Cloudflare,own_network_direct_registry,4,LOCAL,4.9
cybernet,1016154,paknavy.gov.pk,3.7,local,1.48,Cloudflare,own_network_direct_registry,3,LOCAL,4.1
ptcl,1016393,paknavy.gov.pk,25.1,regional,10.04,Cloudflare,own_network_direct,7,TROMBONE,193.7
zcom,7613,pnmc.gov.pk,91.3,distant,38.04,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,160.9
nayatel,60223,pnmc.gov.pk,2.4,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,2.9
transworld,62224,pnmc.gov.pk,95.3,distant,39.71,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,pnmc.gov.pk,98.2,distant,40.92,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,104.0
orbit,64535,pnmc.gov.pk,94.1,distant,39.21,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,141.1
tes,64722,pnmc.gov.pk,78.3,distant,32.62,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.0
nayatel,65892,pnmc.gov.pk,2.7,local,1.13,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.8
fasttel,1014872,pnmc.gov.pk,201.0,distant,83.75,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,273.3
nova,1015679,pnmc.gov.pk,96.4,distant,40.17,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,99.0
cybernet,1016036,pnmc.gov.pk,22.0,regional,9.17,Cloudflare,via_foreign_transit_Omantel,10,TROMBONE,40.1
ptcl,1016126,pnmc.gov.pk,276.8,distant,115.33,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,293.3
cybernet,1016143,pnmc.gov.pk,4.2,local,1.75,Cloudflare,via_foreign_transit_Omantel,6,LOCAL,21.1
cybernet,1016154,pnmc.gov.pk,3.8,local,1.58,Cloudflare,own_network_direct_registry,4,LOCAL,7.7
ptcl,1016393,pnmc.gov.pk,265.1,distant,110.46,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,290.0
zcom,7613,gamcamedical.pk,91.4,distant,1.18,Google,via_Transworld_registry,7,TROMBONE,93.1
nayatel,60223,gamcamedical.pk,96.9,distant,1.25,Google,no_visible_handoff_short_path,3,TROMBONE,101.4
transworld,62224,gamcamedical.pk,95.4,distant,1.23,Google,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,gamcamedical.pk,98.1,distant,1.27,Google,own_network_direct_registry,9,TROMBONE,99.7
orbit,64535,gamcamedical.pk,94.8,distant,1.22,Google,via_Transworld_registry,9,TROMBONE,97.9
tes,64722,gamcamedical.pk,78.7,distant,1.02,Google,own_network_direct_registry,7,TROMBONE,79.2
nayatel,65892,gamcamedical.pk,98.3,distant,1.27,Google,no_visible_handoff_short_path,3,TROMBONE,100.9
fasttel,1014872,gamcamedical.pk,96.7,distant,1.25,Google,via_Transworld_registry,8,TROMBONE,108.2
nova,1015679,gamcamedical.pk,93.0,distant,1.2,Google,via_Transworld_registry,8,TROMBONE,94.6
cybernet,1016036,gamcamedical.pk,256.3,distant,3.31,Google,own_network_direct,8,TROMBONE,198.1
ptcl,1016126,gamcamedical.pk,107.5,distant,1.39,Google,other_unclassified,7,TROMBONE,226.5
cybernet,1016143,gamcamedical.pk,77.4,distant,1.0,Google,own_network_direct_registry,6,TROMBONE,79.5
cybernet,1016154,gamcamedical.pk,78.4,distant,1.01,Google,own_network_direct_registry,5,TROMBONE,79.3
ptcl,1016393,gamcamedical.pk,102.2,distant,1.32,Google,other_unclassified,9,TROMBONE,489.8
zcom,7613,airblue.com,16.1,regional,7.0,Cloudflare,via_Transworld,6,TROMBONE,121.6
nayatel,60223,airblue.com,2.3,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.9
transworld,62224,airblue.com,19.9,regional,8.65,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.0
tes,64078,airblue.com,22.3,regional,9.7,Cloudflare,own_network_direct,8,LOCAL,24.5
orbit,64535,airblue.com,19.1,regional,8.3,Cloudflare,via_Transworld,8,TROMBONE,126.5
tes,64722,airblue.com,2.8,local,1.22,Cloudflare,own_network_direct,7,LOCAL,4.1
nayatel,65892,airblue.com,2.6,local,1.13,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.7
fasttel,1014872,airblue.com,21.2,regional,9.22,Cloudflare,via_PTCL(Paknet),7,LOCAL,29.2
nova,1015679,airblue.com,16.9,regional,7.35,Cloudflare,via_Transworld,7,TROMBONE,283.4
cybernet,1016036,airblue.com,22.7,regional,9.87,Cloudflare,own_network_direct,8,LOCAL,27.4
ptcl,1016126,airblue.com,25.4,regional,11.04,Cloudflare,own_network_direct,7,LOCAL,27.5
cybernet,1016143,airblue.com,4.2,local,1.83,Cloudflare,own_network_direct_registry,4,LOCAL,4.8
cybernet,1016154,airblue.com,4.1,local,1.78,Cloudflare,own_network_direct_registry,3,LOCAL,4.4
ptcl,1016393,airblue.com,24.7,regional,10.74,Cloudflare,own_network_direct,7,TROMBONE,244.4
