msm_id,target,probe_id,dest_rtt,gap,trombone,p05,p95,evidence_supported,final_verdict
189032884,careers635.com.pk,1016126,47.775,True,False,,,False,False
189032884,careers635.com.pk,1016143,27.133,True,False,,,False,False
189032884,careers635.com.pk,1016393,19.822,True,False,,,False,False
189032884,careers635.com.pk,7613,22.309,True,False,,,False,False
189032884,careers635.com.pk,64535,42.531,True,False,,,False,False
189032884,careers635.com.pk,64722,3.856,False,False,,,False,False
189032884,careers635.com.pk,65892,3.658,False,False,,,False,False
189032884,careers635.com.pk,60223,2.849,False,False,,,False,False
189032884,careers635.com.pk,62224,995.692,True,False,,,False,False
189032884,careers635.com.pk,64078,24.214,False,False,,,False,False
189032884,careers635.com.pk,1014872,8.002,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.445,False,False,,,False,False
189032884,careers635.com.pk,1016036,189.267,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.649,True,False,,,False,False
189032884,careers635.com.pk,1016143,27.727,True,False,,,False,False
189032884,careers635.com.pk,1016393,19.414,True,False,,,False,False
189032884,careers635.com.pk,7613,22.312,True,False,,,False,False
189032884,careers635.com.pk,64535,42.188,True,False,,,False,False
189032884,careers635.com.pk,64722,3.884,False,False,,,False,False
189032884,careers635.com.pk,65892,3.688,False,False,,,False,False
189032884,careers635.com.pk,60223,2.817,False,False,,,False,False
189032884,careers635.com.pk,62224,1010.703,True,False,,,False,False
189032884,careers635.com.pk,64078,23.779,False,False,,,False,False
189032884,careers635.com.pk,1014872,11.424,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.357,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.286,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.702,False,False,,,False,False
189032884,careers635.com.pk,1016143,29.955,True,False,,,False,False
189032884,careers635.com.pk,1016393,19.422,False,False,,,False,False
189032884,careers635.com.pk,7613,22.246,True,False,,,False,False
189032884,careers635.com.pk,64535,42.053,False,False,,,False,False
189032884,careers635.com.pk,64722,3.834,False,False,,,False,False
189032884,careers635.com.pk,65892,3.083,False,False,,,False,False
189032884,careers635.com.pk,60223,2.876,False,False,,,False,False
189032884,careers635.com.pk,62224,0.817,False,False,,,False,False
189032884,careers635.com.pk,64078,24.071,False,False,,,False,False
189032884,careers635.com.pk,1014872,11.051,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.237,False,False,,,False,False
189032884,careers635.com.pk,1016036,189.404,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.688,True,False,,,False,False
189032884,careers635.com.pk,1016143,26.865,True,False,,,False,False
189032884,careers635.com.pk,1016393,27.733,True,False,,,False,False
189032884,careers635.com.pk,7613,22.183,False,False,,,False,False
189032884,careers635.com.pk,64535,42.256,True,False,,,False,False
189032884,careers635.com.pk,64722,3.271,False,False,,,False,False
189032884,careers635.com.pk,65892,3.881,False,False,,,False,False
189032884,careers635.com.pk,60223,2.967,False,False,,,False,False
189032884,careers635.com.pk,62224,999.042,True,False,,,False,False
189032884,careers635.com.pk,64078,23.869,False,False,,,False,False
189032884,careers635.com.pk,1014872,59.211,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.401,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.734,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.322,False,False,,,False,False
189032884,careers635.com.pk,1016143,24.001,True,False,,,False,False
189032884,careers635.com.pk,1016393,27.694,False,False,,,False,False
189032884,careers635.com.pk,7613,22.24,False,False,,,False,False
189032884,careers635.com.pk,64535,42.008,True,False,,,False,False
189032884,careers635.com.pk,64722,4.372,False,False,,,False,False
189032884,careers635.com.pk,65892,4.2,False,False,,,False,False
189032884,careers635.com.pk,60223,2.922,False,False,,,False,False
189032884,careers635.com.pk,62224,1001.864,True,False,,,False,False
189032884,careers635.com.pk,64078,23.752,False,False,,,False,False
189032884,careers635.com.pk,1014872,10.93,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.594,False,False,,,False,False
189032884,careers635.com.pk,1016036,189.326,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.147,False,False,,,False,False
189032884,careers635.com.pk,1016143,24.086,True,False,,,False,False
189032884,careers635.com.pk,1016393,50.419,False,False,,,False,False
189032884,careers635.com.pk,7613,22.275,True,False,,,False,False
189032884,careers635.com.pk,64535,41.539,True,False,,,False,False
189032884,careers635.com.pk,64722,4.073,False,False,,,False,False
189032884,careers635.com.pk,65892,3.935,False,False,,,False,False
189032884,careers635.com.pk,60223,2.848,False,False,,,False,False
189032884,careers635.com.pk,62224,0.814,False,False,,,False,False
189032884,careers635.com.pk,64078,23.736,False,False,,,False,False
189032884,careers635.com.pk,1014872,11.137,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.278,False,False,,,False,False
189032884,careers635.com.pk,1016036,189.974,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.026,False,False,,,False,False
189032884,careers635.com.pk,1016143,26.864,True,False,,,False,False
189032884,careers635.com.pk,1016393,60.968,False,False,,,False,False
189032884,careers635.com.pk,7613,22.404,False,False,,,False,False
189032884,careers635.com.pk,64535,42.556,True,False,,,False,False
189032884,careers635.com.pk,64722,3.744,False,False,,,False,False
189032884,careers635.com.pk,65892,3.09,False,False,,,False,False
189032884,careers635.com.pk,60223,2.879,False,False,,,False,False
189032884,careers635.com.pk,62224,996.311,True,False,,,False,False
189032884,careers635.com.pk,64078,24.951,False,False,,,False,False
189032884,careers635.com.pk,1014872,11.914,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.922,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.372,True,False,,,False,False
189032884,careers635.com.pk,1016126,48.989,True,False,,,False,False
189032884,careers635.com.pk,1016143,26.982,True,False,,,False,False
189032884,careers635.com.pk,7613,22.367,False,False,,,False,False
189032884,careers635.com.pk,64535,42.318,True,False,,,False,False
189032884,careers635.com.pk,64722,3.153,False,False,,,False,False
189032884,careers635.com.pk,65892,3.489,False,False,,,False,False
189032884,careers635.com.pk,60223,2.83,False,False,,,False,False
189032884,careers635.com.pk,62224,1002.834,True,False,,,False,False
189032884,careers635.com.pk,64078,23.601,False,False,,,False,False
189032884,careers635.com.pk,1014872,11.529,True,False,,,False,False
189032884,careers635.com.pk,1015679,23.334,True,False,,,False,False
189032884,careers635.com.pk,1016036,189.349,True,False,,,False,False
189032884,careers635.com.pk,1016126,49.18,True,False,,,False,False
189032884,careers635.com.pk,1016143,26.942,True,False,,,False,False
189032884,careers635.com.pk,1016393,51.1,False,False,,,False,False
189032884,careers635.com.pk,7613,22.403,False,False,,,False,False
189032884,careers635.com.pk,64535,42.324,True,False,,,False,False
189032884,careers635.com.pk,64722,4.02,False,False,,,False,False
189032884,careers635.com.pk,65892,3.245,False,False,,,False,False
189032884,careers635.com.pk,60223,3.285,False,False,,,False,False
189032884,careers635.com.pk,62224,1011.685,True,False,,,False,False
189032884,careers635.com.pk,64078,24.48,False,False,,,False,False
189032884,careers635.com.pk,1014872,9.744,False,False,,,False,False
189032884,careers635.com.pk,1015679,22.587,False,False,,,False,False
