target,cls_design,cls_corrected,ip,lat,lon,loc_source,note
hopkicks.pk,Abroad,Abroad,65.109.64.109,60.1719,24.9347,geoip,
hostpro.com.pk,Abroad,Abroad,192.250.235.30,1.35208,103.82,geoip,
insta.com.pk,Abroad,Abroad,69.10.62.58,40.7862,-74.0743,geoip,
nawaiwaqt.com.pk,Abroad,Abroad,65.109.88.147,60.1719,24.9347,geoip,
pessi.gop.pk,Abroad,Abroad,51.89.192.109,51.5081,-0.1278,geoip,
pgf.com.pk,Abroad,Abroad,169.60.152.50,32.9363,-96.8231,geoip,
publicnews.com,Abroad,Abroad,65.21.10.187,60.1719,24.9347,geoip,
scouted-today.pk,Abroad,Abroad,185.178.208.132,47.2431,39.702,geoip,
galaxy.net.pk,Pakistan,Pakistan,103.164.49.161,24.9126,67.1184,geoip,
gbn.net.pk,Pakistan,Pakistan,103.18.243.4,26.4875,68.604,multilateration,geo-IP city impossible; relocated
topcity-1.com,Pakistan,Pakistan,101.50.107.196,33.7233,73.0435,geoip,
glory-casino.net.pk,CDN,CDN,172.67.222.72,43.6532,-79.3832,geoip,
idc.net.pk,CDN,CDN,35.214.26.191,51.5123,-0.0909,geoip,
wancom.net.pk,CDN,CDN,104.21.6.94,43.6532,-79.3832,geoip,
en.dailypakistan.com.pk,Abroad,Abroad,212.95.63.9,50.097,8.63006,geoip,
bbise.edu.pk,Pakistan,Pakistan,58.27.241.186,31.5826,74.3276,geoip,
iub.edu.pk,Pakistan,Pakistan,121.52.159.138,33.6736,73.0546,geoip,
iulms.edu.pk,Pakistan,Pakistan,103.138.162.35,24.8832,67.0591,geoip,
pefsis.edu.pk,Pakistan,Pakistan,119.159.228.205,32.5684,74.0805,geoip,
bnbwu.edu.pk,CDN,CDN,192.124.249.5,33.7283,-117.1464,geoip,
ibcc.edu.pk,CDN,CDN,162.159.137.54,43.6532,-79.3832,geoip,
uos.edu.pk,CDN,CDN,172.67.205.219,43.6532,-79.3832,geoip,
zu.edu.pk,CDN,CDN,104.26.6.128,43.6532,-79.3832,geoip,
duet.edu.pk,Abroad,Abroad,64.31.25.146,25.7701,-80.1928,geoip,
uvas.edu.pk,Abroad,Abroad,88.222.222.116,54.6872,25.2797,geoip,
mepco.com.pk,Pakistan,Pakistan,163.61.25.38,31.5596,74.3259,geoip,
pesco.com.pk,CDN,CDN,172.67.223.84,43.6532,-79.3832,geoip,
ke.com.pk,Abroad,Abroad,64.113.50.169,38.9072,-77.0369,geoip,
efulife.com,Pakistan,Pakistan,103.154.196.33,24.8383,67.0665,geoip,
ztbl.com.pk,Pakistan,Pakistan,203.101.184.80,31.5826,74.3276,geoip,
khushhalibank.com.pk,CDN,CDN,13.225.5.9,19.076,72.8777,geoip,
mcb.com.pk,CDN,CDN,192.124.249.159,33.7283,-117.1464,geoip,
cmu.gov.pk,Pakistan,Pakistan,203.82.55.51,33.7233,73.0435,geoip,
epads.gov.pk,Pakistan,Pakistan,59.103.225.210,25.708,67.8709,multilateration,geo-IP city impossible; relocated
fgeha.gov.pk,Pakistan,Pakistan,203.101.184.78,31.5826,74.3276,geoip,
sindh.gov.pk,Pakistan,Pakistan,175.107.33.163,33.6099,73.0301,geoip,
ajk.gov.pk,CDN,CDN,172.67.216.49,43.6532,-79.3832,geoip,
joinasf.gov.pk,CDN,CDN,172.67.138.225,43.6532,-79.3832,geoip,
paknavy.gov.pk,CDN,CDN,104.18.28.73,43.6532,-79.3832,geoip,
pnmc.gov.pk,CDN,CDN,104.21.48.188,43.6532,-79.3832,geoip,
gbappsup.org.pk,Abroad,Abroad,31.43.191.219,40.4093,49.8671,geoip,
kppsc.gov.pk,Abroad,Abroad,195.201.80.141,50.4777,12.3649,geoip,
ptea.org.pk,Abroad,Abroad,192.250.239.194,51.5081,-0.1278,geoip,
cpsp.edu.pk,Pakistan,Pakistan,111.68.111.15,24.8591,66.9983,geoip,
gamcamedical.pk,CDN,CDN,35.213.150.39,1.3048,103.8622,geoip,
serenepharma.com.pk,Abroad,Abroad,65.21.171.138,60.1719,24.9347,geoip,
roadmaster.pk,Pakistan,Pakistan,119.156.194.23,33.6648,73.0419,geoip,
airblue.com,CDN,CDN,104.16.120.79,43.6532,-79.3832,geoip,
