isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best
nova,1015679,wancom.net.pk,92.9,distant,35.73
cybernet,1016036,wancom.net.pk,22.5,regional,8.65
ptcl,1016126,wancom.net.pk,262.7,distant,101.04
cybernet,1016143,wancom.net.pk,4.4,local,1.69
cybernet,1016154,wancom.net.pk,4.0,local,1.54
ptcl,1016393,wancom.net.pk,262.4,distant,100.92
zcom,7613,bnbwu.edu.pk,131.7,distant,1.26
nayatel,60223,bnbwu.edu.pk,128.0,distant,1.23
transworld,62224,bnbwu.edu.pk,138.3,distant,1.33
tes,64078,bnbwu.edu.pk,134.1,distant,1.29
orbit,64535,bnbwu.edu.pk,131.0,distant,1.26
tes,64722,bnbwu.edu.pk,118.2,distant,1.13
nayatel,65892,bnbwu.edu.pk,188.7,distant,1.81
fasttel,1014872,bnbwu.edu.pk,104.3,distant,1.0
nova,1015679,bnbwu.edu.pk,134.7,distant,1.29
cybernet,1016036,bnbwu.edu.pk,128.5,distant,1.23
ptcl,1016126,bnbwu.edu.pk,106.3,distant,1.02
cybernet,1016143,bnbwu.edu.pk,110.4,distant,1.06
cybernet,1016154,bnbwu.edu.pk,109.9,distant,1.05
ptcl,1016393,bnbwu.edu.pk,114.0,distant,1.09
zcom,7613,ibcc.edu.pk,16.3,regional,7.09
nayatel,60223,ibcc.edu.pk,2.3,local,1.0
transworld,62224,ibcc.edu.pk,18.9,regional,8.22
tes,64078,ibcc.edu.pk,22.8,regional,9.91
orbit,64535,ibcc.edu.pk,18.3,regional,7.96
tes,64722,ibcc.edu.pk,2.8,local,1.22
nayatel,65892,ibcc.edu.pk,2.9,local,1.26
fasttel,1014872,ibcc.edu.pk,21.2,regional,9.22
nova,1015679,ibcc.edu.pk,17.4,regional,7.57
cybernet,1016036,ibcc.edu.pk,22.8,regional,9.91
ptcl,1016126,ibcc.edu.pk,25.5,regional,11.09
cybernet,1016143,ibcc.edu.pk,4.2,local,1.83
cybernet,1016154,ibcc.edu.pk,3.6,local,1.57
ptcl,1016393,ibcc.edu.pk,24.9,regional,10.83
zcom,7613,uos.edu.pk,95.2,distant,39.67
nayatel,60223,uos.edu.pk,2.4,local,1.0
transworld,62224,uos.edu.pk,94.8,distant,39.5
