ip,asn,registered_cc,org,geoip_city,times_qualified,times_first_foreign_hop,n_probes,rtt_median_ms,rtt_min_ms,rtt_max_ms,incr_rtt_median_ms,incr_rtt_p10_ms,incr_rtt_p90_ms,incr_negative_pct,incr_samples,no_preceding_hop,ixp_peering_lan,ixp_prefix
2.21.120.179,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,12,0,2,128.3,119.1,167.8,13.4,9.5,17.4,8.3,12,0,,
172.69.244.84,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",Karachi,11,6,2,46.7,40.1,188.0,11.5,-1.2,70.2,18.2,11,0,,
172.69.244.95,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,10,4,2,121.7,40.4,420.0,22.4,-18.1,85.4,30.0,10,0,,
2.21.120.200,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,9,0,1,128.6,128.2,142.5,4.8,-69.7,6.0,22.2,9,0,,
2.21.120.106,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,9,0,2,122.8,100.1,284.6,-9.3,-76.6,107.5,55.6,9,0,,
172.69.244.89,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,7,3,1,71.2,42.2,197.9,16.2,-60.9,190.0,42.9,7,0,,
172.69.244.104,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,6,3,2,101.9,41.6,163.4,-4.6,-45.0,27.5,50.0,6,0,,
172.69.244.86,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,5,2,2,151.1,50.2,180.2,5.0,-44.2,130.0,40.0,5,0,,
172.69.244.87,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,5,2,1,107.7,47.9,250.2,-22.9,-71.3,175.9,60.0,5,0,,
160.202.164.243,137409,NZ,"GSLNETWORKS-AS-AP - GSL Networks Pty LTD, AU",,5,0,1,139.2,122.2,164.4,-58.5,-64.4,-47.3,100.0,5,0,,
2.21.120.120,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,5,0,1,107.2,102.3,179.9,-16.1,-140.3,0.6,80.0,5,0,,
172.69.244.76,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,4,2,1,56.8,41.6,79.8,-0.4,-103.6,38.3,50.0,4,0,,
172.69.244.77,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,4,2,1,145.5,41.3,192.0,48.5,-33.2,155.5,25.0,4,0,,
62.115.165.16,1299,SE,"TWELVE99 - Arelion Sweden AB, SE",Frankfurt am Main,3,3,2,128.2,128.1,171.1,102.4,77.6,103.0,0.0,3,0,,
172.69.244.83,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,3,2,2,443.9,44.1,464.1,20.3,0.2,35.0,0.0,3,0,,
172.69.244.94,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,3,1,1,143.0,48.6,156.8,42.7,13.8,94.4,0.0,3,0,,
172.68.249.70,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",Karachi,3,1,1,41.3,41.0,41.7,0.4,0.3,5.8,0.0,3,0,,
172.69.244.99,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,2,2,2,61.6,61.0,62.2,53.9,52.1,55.7,0.0,2,0,,
172.69.244.80,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,2,1,1,78.2,55.6,100.7,-28.7,-129.9,72.6,50.0,2,0,,
172.69.244.85,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,2,1,1,407.5,393.0,422.0,-25.2,-79.4,29.0,50.0,2,0,,
172.69.244.100,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",Karachi,2,2,1,126.7,47.0,206.4,116.7,36.5,196.8,0.0,2,0,,
172.69.244.103,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,2,1,1,415.7,413.1,418.3,-124.1,-253.5,5.2,50.0,2,0,,
172.69.244.98,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",Karachi,2,1,1,417.9,413.4,422.5,5.0,-9.1,19.1,50.0,2,0,,
2.21.120.185,32787,NL,"PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK - Akamai Technologies, Inc., US",,2,0,1,339.8,280.5,399.1,139.5,34.7,244.3,0.0,2,0,,
172.69.244.81,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,1,1,1,159.5,159.5,159.5,153.6,153.6,153.6,0.0,1,0,,
172.69.244.102,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,1,1,1,40.4,40.4,40.4,10.7,10.7,10.7,0.0,1,0,,
172.69.244.79,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,1,1,1,45.8,45.8,45.8,14.1,14.1,14.1,0.0,1,0,,
172.69.244.90,14789,US,"CLOUDFLARENET - Cloudflare, Inc., US",,1,0,1,83.2,83.2,83.2,51.4,51.4,51.4,0.0,1,0,,
134.0.220.245,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",,1,0,1,113.8,113.8,113.8,0.9,0.9,0.9,0.0,1,0,,
213.202.6.201,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",,1,0,1,114.6,114.6,114.6,0.8,0.8,0.8,0.0,1,0,,
134.0.220.250,8529,AE,"OMANTEL-AS - Zain Omantel International FZ-LLC, AE",,1,0,1,114.2,114.2,114.2,1.8,1.8,1.8,0.0,1,0,,
