kind,src_probe,src_label,dst_probe,dst_label,dst_ip,status,evidence,exit_name,exit_country,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,reached,rtt_min_ms,rtt_avg_ms,packets_sent,packets_received,measurement_id
trace,1014872,fasttel.isb,1015679,nova.lhe,103.184.1.10,inconclusive,,,,,46.8,47.2,13,False,,,,,204225299
trace,1014872,fasttel.isb,1016036,cybernet.hrp,72.255.54.129,local,,,,,29.6,30.5,12,False,,,,,204225301
trace,1014872,fasttel.isb,1016126,ptcl.khi,39.39.112.114,local,,,,,29.4,30.6,14,False,,,,,204225303
trace,1014872,fasttel.isb,1016143,cybernet.khi,103.244.174.231,local,,,,,29.5,30.0,13,False,,,,,204225304
trace,1015210,ptcl.khi,7613,zcom.lhe,157.20.147.16,local,,,,,6.1,6.2,2,True,,,,,204225305
trace,1015210,ptcl.khi,60223,nayatel.isb,154.192.15.243,local,,,,,0.2,0.2,7,False,,,,,204225306
trace,1015210,ptcl.khi,62224,transworld.lhe,110.93.235.222,local,,,,,21.0,21.0,2,True,,,,,204225308
trace,1015210,ptcl.khi,64078,tes.lhe,149.40.243.172,local,,,,,0.1,0.2,7,False,,,,,204225330
trace,1015210,ptcl.khi,64722,tes.khi,119.73.97.135,local,,,,,0.1,0.1,7,False,,,,,204225332
trace,1015210,ptcl.khi,65892,nayatel.lhe,154.192.116.198,local,,,,,0.1,0.1,7,False,,,,,204225333
trace,1015210,ptcl.khi,1014872,fasttel.isb,103.189.68.92,local,,,,,0.1,0.1,7,False,,,,,204225334
trace,1015210,ptcl.khi,1015679,nova.lhe,103.184.1.10,local,,,,,0.1,0.2,7,False,,,,,204225336
trace,1015210,ptcl.khi,1016036,cybernet.hrp,72.255.54.129,local,,,,,0.2,0.2,7,False,,,,,204225340
trace,1015210,ptcl.khi,1016126,ptcl.khi,39.39.112.114,local,,,,,0.2,0.2,7,False,,,,,204225341
trace,1015210,ptcl.khi,1016143,cybernet.khi,103.244.174.231,local,,,,,0.2,0.3,7,False,,,,,204225343
trace,1015679,nova.lhe,7613,zcom.lhe,157.20.147.16,local,,,,,2.5,2.8,5,True,,,,,204225344
trace,1015679,nova.lhe,60223,nayatel.isb,154.192.15.243,local,,,,,39.0,38.0,15,False,,,,,204225345
trace,1015679,nova.lhe,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=986 max_rtt=989,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,988.9,988.9,8,True,,,,,204225347
trace,1015679,nova.lhe,64078,tes.lhe,149.40.243.172,local,,,,,37.7,37.8,12,False,,,,,204225348
trace,1015679,nova.lhe,64722,tes.khi,119.73.97.135,local,,,,,18.8,18.8,12,False,,,,,204225349
trace,1015679,nova.lhe,65892,nayatel.lhe,154.192.116.198,local,,,,,38.5,40.2,16,False,,,,,204225351
trace,1015679,nova.lhe,1014872,fasttel.isb,103.189.68.92,local,,,,,39.4,38.5,13,False,,,,,204225352
trace,1015679,nova.lhe,1015210,ptcl.khi,182.185.145.65,local,,,,,3.5,3.2,12,False,,,,,204225353
trace,1015679,nova.lhe,1016036,cybernet.hrp,72.255.54.129,local,,,,,38.0,38.1,14,False,,,,,204225355
trace,1015679,nova.lhe,1016126,ptcl.khi,39.39.112.114,local,,,,,19.5,18.7,13,False,,,,,204225356
trace,1015679,nova.lhe,1016143,cybernet.khi,103.244.174.231,local,,,,,20.1,19.3,13,False,,,,,204225357
trace,1016036,cybernet.hrp,7613,zcom.lhe,157.20.147.16,trombone_hop,foreign_hop,CMI-INT-HK - China Mobile International ,HK,CYBERNET-AP - Cyber Inte,195.1,113.5,16,True,,,,,204225359
trace,1016036,cybernet.hrp,60223,nayatel.isb,154.192.15.243,local,,,,,25.4,23.9,14,False,,,,,204225360
trace,1016036,cybernet.hrp,62224,transworld.lhe,110.93.235.222,trombone_rtt,rtt_jump=1002 max_rtt=1042,(foreign hop not visible -- RTT evidence,?,TWA-AS-AP - Transworld A,1042.2,1042.2,13,True,,,,,204225361
