domain,ip,asn,country,as_name,hosting_location
insignia.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bisemultan.edu.pk,119.160.107.135,58470,PK,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Local
capcutapkdownload.com.pk,185.53.90.170,3920,EE,"PUSHPKT - PUSHPKT OU, EE",Abroad
borjan.com.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
engine.com.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ppsc.gop.pk,103.111.161.187,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
servis.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
comsats.net.pk,210.56.11.242,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
dawlance.com.pk,81.8.63.204,15924,TR,"BORUSANTELEKOM-AS - Vodafone Net Iletisim Hizmetler AS, TR",Abroad
bisegrw.edu.pk,104.26.15.128,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
baroque.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mul.edu.pk,67.225.132.24,32244,US,"LIQUIDWEB - Liquid Web, L.L.C, US",Abroad
almirah.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
unze.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
desicinemas.pk,172.67.207.77,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gracestore.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
batik.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pts.org.pk,175.107.240.161,24440,PK,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",Local
missrose.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sindheducation.gov.pk,167.114.212.89,16276,CA,"OVH - OVH SAS, FR",Abroad
movieboxapp.pk,188.114.97.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
tjwholesale.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
diners.com.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
alhassan.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
apnaghar.gov.pk,172.67.73.53,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
castleapk.com.pk,37.49.225.209,61254,EE,"ESTOXY-OU - ESTOXY OU, EE",Abroad
cll.com.pk,202.59.76.254,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
cxtreme.pk,203.101.172.157,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Local
districtcourtssindh.gos.pk,172.67.186.44,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dmasti.pk,103.24.96.62,58895,PK,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",Local
excise.gos.pk,59.103.225.21,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
maxfun.com.pk,172.16.90.15,NA,,NA,Abroad
niazitv.pk,172.67.197.90,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pave.gov.pk,103.111.160.216,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
pefsis.edu.pk,119.159.228.205,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
sims.pk,115.186.173.250,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Local
sjp.gos.pk,104.26.15.188,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uoel.edu.pk,15.197.172.60,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
watcho.pk,192.168.40.80,NA,,NA,Abroad
worldcall.net.pk,156.67.75.8,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
app.com.pk,172.67.184.85,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
umt.edu.pk,172.67.72.225,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
piac.com.pk,104.26.10.80,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
nts.org.pk,104.21.37.23,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
arabnews.pk,104.26.7.3,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
glory-casino.net.pk,172.67.222.72,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
plinko.com.pk,172.67.205.193,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pitb.gov.pk,103.226.216.151,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
nureh.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
iqra.edu.pk,103.138.162.150,139024,PK,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",Local
telenorbank.pk,40.172.173.188,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
shaukatkhanum.org.pk,172.67.72.57,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
kkn.com.pk,103.115.197.73,152605,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",Local
bisesahiwal.edu.pk,104.21.96.52,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uog.edu.pk,144.76.4.71,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
joinpakarmy.gov.pk,210.56.0.3,NA,PK,NA,Local
breakout.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sarmaaya.pk,104.26.8.60,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
chickenroad.org.pk,104.21.45.63,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
qau.edu.pk,111.68.96.51,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
hushpuppies.com.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sts.net.pk,3.0.188.225,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
babyplanet.pk,23.227.38.74,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ccptraffickyc.pk,172.67.207.57,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
freestreams-live1c.pk,111.90.145.185,45839,MY,"SHINJIRU-MY-AS-AP - Shinjiru Technology Sdn Bhd, MY",Abroad
kppsc.gov.pk,195.201.80.141,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
ihosting.pk,65.181.111.32,14670,GB,"WHG-USE1 - WHG Hosting Services Ltd, GB",Abroad
sapphirestudios.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
simosa.com.pk,104.21.46.72,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uoh.edu.pk,23.88.26.179,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
gold.pk,104.21.13.201,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
joinanf.pk,43.250.84.129,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
mepco-it.com.pk,163.61.25.23,153561,PK,"PITC1-AS-AP - PITC, PK",Local
shell.com.pk,4.210.156.184,8075,US,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Abroad
mostbett.pk,3.127.69.114,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
aviator.net.pk,104.21.6.198,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
jobz.pk,172.67.216.157,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ypel.com.pk,188.114.97.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bahria.edu.pk,111.68.99.6,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
uet.edu.pk,104.21.79.62,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gudgk.edu.pk,104.26.10.154,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
riphah.edu.pk,172.67.75.230,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
zarr.com.pk,104.20.38.247,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
easypaisa.com.pk,18.142.75.3,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
saleemfabrics.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
multi.net.pk,202.141.239.210,9260,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",Local
abasynisb.edu.pk,172.67.128.195,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
healthwire.pk,172.67.147.80,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uaar.edu.pk,172.67.132.45,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
springs.com.pk,104.21.84.126,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
psw.gov.pk,165.99.181.23,153932,PK,"PSW-AS-AP - Pakistan Single Window, PK",Local
muet.edu.pk,172.67.72.43,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bookme.pk,43.174.247.33,139341,SG,"ACE-AS-AP - ACE, SG",Abroad
iba.edu.pk,192.124.249.134,30148,US,"SUCURI-SEC - Sucuri, US",Abroad
nexlinx.net.pk,202.59.80.26,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
duhs.edu.pk,172.188.80.194,8075,GB,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Abroad
pieas.edu.pk,111.68.99.215,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
logon.com.pk,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Local
radio.gov.pk,172.67.70.232,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
biek.edu.pk,84.46.240.124,51167,LT,"CONTABO - Contabo GmbH, DE",Abroad
pulse.gop.pk,110.38.226.26,38264,PK,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",Local
class9.pk,74.208.236.5,8560,US,"IONOS-AS - IONOS SE, DE",Abroad
mepcoonline.pk,145.79.25.180,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
sindhpolice.gov.pk,104.26.10.157,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bbise.edu.pk,58.27.241.186,38264,PK,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",Local
icap.org.pk,20.33.31.88,8069,US,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Abroad
ptcl.com.pk,221.120.226.61,17557,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",Local
ajk.gov.pk,104.21.43.24,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dunya.com.pk,117.20.18.153,38193,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",Local
instacare.pk,51.140.146.128,8075,GB,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Abroad
pectaaresult.pk,84.32.84.188,47583,LT,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
mega.pk,104.26.7.4,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
phonecase.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
cmpunjabrashancard.pk,172.67.145.162,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
8thclassresult2026.com.pk,104.21.80.105,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
techhive.com.pk,104.21.64.236,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
checksimowner.pk,172.67.166.153,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mepcobillfinder.pk,104.21.35.221,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gari.pk,172.67.176.245,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dwatson.pk,104.26.15.182,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
japanelectronics.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pcb.com.pk,104.26.5.89,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gcuf.edu.pk,20.212.64.12,8075,US,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Abroad
fiberish.net.pk,104.21.37.163,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
secp.gov.pk,104.20.33.223,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
paklap.pk,172.66.43.18,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
khazanay.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
lesco.gov.pk,116.58.54.125,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
ubuy.com.pk,104.18.20.165,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
solarpanelinfo.pk,145.79.210.19,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
sharptel.pk,88.198.68.137,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
pmdc.pk,175.107.60.117,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
qistbazaar.pk,104.26.8.61,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
kkmart.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
skyscanner.pk,76.223.21.241,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
zefoy.net.pk,2.57.91.21,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
motifz.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
medishop.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sindhhighcourt.gov.pk,104.21.26.167,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bisefsd.edu.pk,172.67.148.17,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
generation.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
mostbet.com.pk,35.159.105.144,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
herbiotics.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pakrailways.gov.pk,172.66.168.183,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
polkadots.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dlhd.pk,213.21.239.30,211443,LV,"SINOWORLDWIDE - SINO WORLDWIDE TRADING LIMITED, HK",Abroad
ebone.net.pk,104.21.90.63,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
atlashonda.com.pk,192.124.249.156,30148,US,"SUCURI-SEC - Sucuri, US",Abroad
kknetworks.com.pk,103.163.48.205,136969,PK,"KKNETWROK-AS-AP - KK Networks (Pvt) Ltd., PK",Local
etea.edu.pk,115.167.74.9,38547,PK,"WITRIBE-AS-AP - WITRIBE PAKISTAN LIMITED, PK",Local
nbp.com.pk,104.18.7.150,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
jazmin.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
urbansole.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
miniclub.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
gift.edu.pk,52.20.218.90,14618,US,"AMAZON-AES - Amazon.com, Inc., US",Abroad
spsc.gos.pk,103.12.58.26,58893,PK,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",Local
ipaddress.com.pk,104.21.56.196,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
market.pk,178.62.200.64,14061,US,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",Abroad
kppolice.gov.pk,172.67.195.40,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
