Domain,IP,ASN,CISA Sector
dunya.com.pk,117.20.18.153,38193,Commercial Facilities
lesco.gov.pk,116.58.54.125,17563,Energy
pmdc.pk,175.107.60.117,23888,Healthcare & Public Health
kknetworks.com.pk,103.163.48.205,136969,Communications
etea.edu.pk,115.167.74.9,38547,Education
spsc.gos.pk,103.12.58.26,58893,Government Services & Facilities
gepco.com.pk,163.61.25.23,153561,Energy
sonic.pk,119.160.105.77,45669,Communications
fgei.gov.pk,210.56.11.242,7590,Government Services & Facilities
blinkbroadband.pk,103.121.121.29,131275,Communications
iub.edu.pk,121.52.159.138,45773,Education
ahpc.org.pk,203.124.33.162,7590,Healthcare & Public Health
dakkhana.com.pk,58.65.161.24,23674,Commercial Facilities
epads.gov.pk,59.103.225.210,17557,Information Technology
gepcoerp.com.pk,119.156.26.74,17557,Energy
hrd1902.com.pk,111.68.99.219,45773,Government Services & Facilities
iulms.edu.pk,103.138.162.35,139024,Education
lmis.gov.pk,202.83.164.75,23888,Government Services & Facilities
mgacs.com.pk,115.42.64.26,132165,Communications
super.net.pk,203.130.2.162,24435,Communications
numl.edu.pk,111.68.97.117,45773,Education
sco.gov.pk,118.107.140.9,18053,Energy
jazztv.pk,119.160.12.30,45669,Commercial Facilities
uaf.edu.pk,203.124.33.162,7590,Education
lhc.gov.pk,103.226.216.153,59323,Government Services & Facilities
jazzesl.com.pk,115.186.182.194,23674,Communications
gointernet.net.pk,103.121.121.29,131275,Communications
pakrail.gov.pk,43.250.84.104,23888,Transportation Systems
networld.pk,14.192.150.180,45814,Communications
na.gov.pk,175.107.60.12,23888,Government Services & Facilities
kpese.gov.pk,175.107.63.111,23888,Government Services & Facilities
pbs.gov.pk,113.197.54.86,23888,Government Services & Facilities
sparkbroadband.pk,103.121.121.29,131275,Communications
spsc.gov.pk,103.12.58.26,58893,Government Services & Facilities
zcomnetworks.com.pk,157.20.147.244,152605,Communications
bisesargodha.edu.pk,223.123.65.114,59257,Education
bisebwp.pk,221.120.217.252,17557,Government Services & Facilities
ajkpsc.gov.pk,210.56.12.210,7590,Government Services & Facilities
citizenportal.gov.pk,175.107.60.152,23888,Government Services & Facilities
kfueit.edu.pk,175.107.18.165,23888,Education
iesco.com.pk,210.56.28.14,7590,Energy
kohat.edu.pk,121.52.146.165,45773,Education
nation.net.pk,115.42.65.245,132165,Communications
pakistanrangerssindh.gov.pk,118.107.139.239,18053,Government Services & Facilities
sindhzameen.gos.pk,202.83.173.42,23888,Government Services & Facilities
uop.edu.pk,121.52.147.18,45773,Education
bnu.edu.pk,116.58.8.45,17563,Education
sindh.gov.pk,175.107.33.163,23888,Government Services & Facilities
pakistan.gov.pk,203.101.184.84,9541,Government Services & Facilities
ges.net.pk,103.18.243.3,58893,Communications
ecp.gov.pk,59.103.225.220,17557,Government Services & Facilities
uok.edu.pk,43.250.84.121,23888,Education
nwnetworks.net.pk,110.93.213.3,38193,Communications
giki.edu.pk,182.176.222.252,17557,Education
pap.gov.pk,103.226.217.162,59323,Government Services & Facilities
dra.gov.pk,210.56.8.62,7590,Government Services & Facilities
wapda.gov.pk,163.61.25.38,153561,Energy
szabist.edu.pk,111.68.108.212,45773,Education
geo.net.pk,203.128.255.4,17557,Commercial Facilities
uob.edu.pk,121.52.157.105,45773,Education
galaxy.net.pk,103.164.49.161,139879,Communications
pakpost.gov.pk,203.101.184.81,9541,Transportation Systems
cda.gov.pk,125.209.107.50,9260,Government Services & Facilities
agripunjab.gov.pk,103.226.216.186,59323,Government Services & Facilities
senate.gov.pk,175.107.60.13,23888,Government Services & Facilities
paf.gov.pk,175.107.60.225,23888,Government Services & Facilities
elb.com.pk,157.20.147.242,152605,Communications
islamabadairport.com.pk,59.103.225.172,17557,Transportation Systems
pmyp.gov.pk,43.250.84.153,23888,Government Services & Facilities
savings.gov.pk,175.107.33.91,23888,Financial Services
iba-suk.edu.pk,121.52.154.82,45773,Education
cabinet.gov.pk,175.107.60.237,23888,Government Services & Facilities
islamabadpolice.gov.pk,43.250.84.139,23888,Government Services & Facilities
mod.gov.pk,203.101.184.86,9541,Government Services & Facilities
ihc.gov.pk,175.107.60.232,23888,Government Services & Facilities
eobi.gov.pk,210.56.16.59,7590,Government Services & Facilities
nitb.gov.pk,203.101.184.87,9541,Information Technology
oec.gov.pk,103.55.68.157,23674,Government Services & Facilities
lmp.net.pk,103.221.247.122,131471,Communications
salu.edu.pk,121.52.155.199,45773,Education
helloworld.pk,39.61.38.170,17557,Information Technology
psdf.org.pk,103.173.63.19,147031,Government Services & Facilities
pc.gov.pk,175.107.60.8,23888,Government Services & Facilities
ipo.gov.pk,103.226.216.153,59323,Government Services & Facilities
lahoreairport.com.pk,59.103.225.172,17557,Transportation Systems
fesco.com.pk,163.61.25.38,153561,Energy
metroshoes.com.pk,203.124.33.162,7590,Commercial Facilities
szabist-isb.edu.pk,111.68.108.206,45773,Education
pid.gov.pk,203.124.45.87,7590,Government Services & Facilities
bisebwp.edu.pk,182.176.111.203,17557,Education
seecs.edu.pk,111.68.101.54,45773,Education
callcourier.com.pk,202.69.35.190,23750,Commercial Facilities
kpbte.edu.pk,210.2.169.136,23966,Education
jcpsp.pk,111.68.111.16,45773,Healthcare & Public Health
ubl.com.pk,202.61.46.202,23966,Financial Services
tourism.gov.pk,203.101.184.77,9541,Government Services & Facilities
ndu.edu.pk,43.250.84.230,23888,Education
mohtasib.gov.pk,203.101.184.86,9541,Government Services & Facilities
cpec.gov.pk,175.107.60.159,23888,Government Services & Facilities
flickbizz.com.pk,202.59.15.8,141342,Commercial Facilities
elearn.gov.pk,103.226.217.236,59323,Information Technology
ppra.gov.pk,59.103.225.210,17557,Government Services & Facilities
srb.gos.pk,203.130.1.20,24435,Government Services & Facilities
lgkp.gov.pk,175.107.63.111,23888,Government Services & Facilities
eprocure.gov.pk,59.103.225.67,17557,Information Technology
balochistanpolice.gov.pk,221.120.194.28,17557,Government Services & Facilities
paa.gov.pk,59.103.225.172,17557,Transportation Systems
molaw.gov.pk,203.101.184.86,9541,Government Services & Facilities
establishment.gov.pk,175.107.33.70,23888,Government Services & Facilities
ndma.gov.pk,182.188.28.161,17557,Government Services & Facilities
isra.edu.pk,103.12.58.100,58893,Education
eoc.gov.pk,58.65.136.108,23674,Government Services & Facilities
kiu.edu.pk,210.56.9.86,7590,Education
anf.gov.pk,175.107.33.162,23888,Government Services & Facilities
ztbl.com.pk,203.101.184.80,9541,Financial Services
ajkpolice.gok.pk,203.124.44.94,7590,Government Services & Facilities
apms.pk,210.56.13.125,7590,Government Services & Facilities
asktech.com.pk,115.186.131.242,23674,Commercial Facilities
aust.edu.pk,210.2.169.216,23966,Education
cmu.gov.pk,203.82.55.51,23674,Government Services & Facilities
cosmic.net.pk,115.42.65.244,132165,Communications
cuiwah.edu.pk,210.56.11.242,7590,Education
ebill.pk,103.24.96.4,58895,Commercial Facilities
efan.gov.pk,103.226.217.249,59323,Government Services & Facilities
enc.com.pk,163.61.25.4,153561,Energy
fauji.org.pk,124.109.54.66,23674,Government Services & Facilities
funmax.pk,14.192.148.222,45814,Commercial Facilities
funstream.pk,103.93.14.5,141711,Commercial Facilities
gbn.net.pk,103.18.243.4,58893,Communications
healthkp.gov.pk,175.107.63.112,23888,Healthcare & Public Health
hesco.gov.pk,163.61.25.23,153561,Energy
highnoon.com.pk,58.27.232.101,38264,Commercial Facilities
islamabadexcise.gov.pk,203.101.184.79,9541,Government Services & Facilities
kb.com.pk,202.125.155.66,17557,Financial Services
kpdata.gov.pk,103.240.220.75,136610,Information Technology
kpst.gov.pk,175.107.63.111,23888,Government Services & Facilities
maju.edu.pk,110.93.250.7,38193,Education
millenniumschools.edu.pk,210.56.13.117,7590,Education
mohw.gov.pk,203.101.184.88,9541,Healthcare & Public Health
mst.net.pk,103.255.149.41,9937,Communications
navigator.com.pk,103.79.17.130,138453,Commercial Facilities
nhmp.gov.pk,203.101.184.77,9541,Government Services & Facilities
pbm.gov.pk,203.101.184.77,9541,Government Services & Facilities
pbte.edu.pk,103.111.161.185,59323,Education
pef.edu.pk,202.83.171.5,23888,Education
peshawarhcmb.gov.pk,182.180.99.148,17557,Government Services & Facilities
pifra.gov.pk,203.101.184.118,9541,Government Services & Facilities
pmfpunjab.edu.pk,103.111.161.129,59323,Education
psosahulat.com.pk,202.61.112.30,152647,Financial Services
quest.edu.pk,121.52.154.122,45773,Education
simsim.pk,125.209.88.162,9260,Commercial Facilities
