# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank
nrsp.org.pk,Abroad,DigitalOcean  LLC (NL),811091
patel-hospital.org.pk,CDN,Cloudflare,814726
pkli.org.pk,CDN,Cloudflare,816483
ptea.org.pk,Abroad,WHG Hosting Services Ltd (GB),818906
readinfos.org.pk,Abroad,Hostinger International Limited (LT),820803
sets.org.pk,Abroad,Contabo GmbH (FR),825611
shaadi.org.pk,Abroad,WHG Hosting Services Ltd (SG),825914
srso.org.pk,Abroad,Hetzner Online GmbH (FI),829479
tih.org.pk,Abroad,ZETTA (BG),834018
zc777.org.pk,CDN,Cloudflare,845098
apnakhetapnarozgar.org.pk,Abroad,Hostinger International Limited (LT),869727
npf.org.pk,CDN,Cloudflare,877866
picashow.org.pk,CDN,Cloudflare,878650
sses.org.pk,Pakistani,Pakistan Telecommuication company limited,880789
sts.org.pk,Pakistani,Multinet Broadband,880907
ogra.org.pk,CDN,Cloudflare,898278
eef.org.pk,Abroad,WHG Hosting Services Ltd (US),906468
fia.org.pk,Abroad,Hostinger International Limited (LT),907051
iesco.org.pk,CDN,AWS,909365
nap.org.pk,Abroad,Hostinger International Limited (LT),914174
nbdp.org.pk,Abroad,Hostinger International Limited (LT),914224
npftas.org.pk,Abroad,Hostinger International Limited (LT),914586
muslimaid.org.pk,Abroad,Hostinger International Limited (LT),935574
thejaps.org.pk,Abroad,Contabo GmbH (FR),947129
issi.org.pk,CDN,Cloudflare,993512
pspo.org.pk,Abroad,WHG Hosting Services Ltd (SG),997396

# ===== Tranco .pk: .pk (direct) [CDN 531 · Abroad 190 · PK 33 · unresolved 16] =====
streamed.pk,Abroad,Ddos-guard LTD (RU),19197
nationalbroadband.pk,CDN,Cloudflare,23618
npftas.pk,CDN,Cloudflare,23763
pknic.pk,Abroad,,26181
defence.pk,CDN,Cloudflare,41313
foodpanda.pk,CDN,Cloudflare,43602
freelancer.pk,CDN,AWS,48163
annas-archive.pk,Abroad,IQWeb FZ-LLC (BZ),52065
rozee.pk,CDN,Cloudflare,52324
laam.pk,CDN,Google,56105
moviebox.pk,CDN,AWS CloudFront,59798
marham.pk,CDN,Cloudflare,61903
bunkr.pk,Abroad,ByteFlare LTD (SC),69684
psca.gop.pk,Pakistani,Punjab Safe City Authority,71839
plinko.pk,CDN,Cloudflare,78945
digiskills.pk,Pakistani,HEC,79267
dvago.pk,CDN,Cloudflare,80061
sastaticket.pk,CDN,Cloudflare,81111
siasat.pk,CDN,Cloudflare,81181
postex.pk,CDN,Cloudflare,82034
highfy.pk,CDN,Cloudflare,85119
preetpret.pk,CDN,Cloudflare,85216
topup.pk,Abroad,Garena Online Pte Ltd (SG),86150
ppsc.gop.pk,Pakistani,Punjab Information Technology Board,87199
baroque.pk,CDN,Cloudflare,87408
desicinemas.pk,CDN,Cloudflare,88324
tjwholesale.pk,CDN,Cloudflare,89748
movieboxapp.pk,CDN,Cloudflare,93440
excise.gos.pk,Pakistani,Pakistan Telecommuication company limited,93557
alhassan.pk,CDN,Cloudflare,93761
cxtreme.pk,Pakistani,Cyber Internet Services (Private) Limited,94090
districtcourtssindh.gos.pk,CDN,Cloudflare,94152
dmasti.pk,Pakistani,Ebone Network (Pvt) Ltd,94160
niazitv.pk,CDN,Cloudflare,95029
sjp.gos.pk,CDN,Cloudflare,95481
watcho.pk,Abroad,,95843
pulse.gop.pk,Pakistani,Wateen Telecom Limited,101545
checksimowner.pk,CDN,Cloudflare,103468
mepcobillfinder.pk,CDN,Cloudflare,103861
telenorbank.pk,CDN,AWS,117768
jobz.pk,CDN,Cloudflare,124507
ihosting.pk,Abroad,WHG Hosting Services Ltd (US),125597
healthwire.pk,CDN,Cloudflare,135346
ccptraffickyc.pk,CDN,Cloudflare,135733
saleemfabrics.pk,CDN,Cloudflare,137059
dlhd.pk,Abroad,Sino Worldwide Trading Limited (NL),141356
dwatson.pk,CDN,Cloudflare,142670
myservice.pk,CDN,Cloudflare,143237
bookme.pk,Abroad,Aceville Pte.ltd. (SG),148289
nureh.pk,CDN,Cloudflare,150294
solarpanelinfo.pk,Abroad,HOSTINGER IN (IN),154674
gari.pk,CDN,Cloudflare,163033
instacare.pk,CDN,Microsoft/Azure,163268
sarmaaya.pk,CDN,Cloudflare,169277
supermeal.pk,CDN,Microsoft/Azure,174089
freestreams-live1d.pk,Abroad,Shinjiru Technology Sdn Bhd (MY),177353
babyplanet.pk,CDN,Cloudflare,178611
pmdc.pk,Pakistani,National Telecommunication Corporation,180743
kkmart.pk,CDN,Cloudflare,181053
sapphirestudios.pk,CDN,Cloudflare,181767
skyscanner.pk,CDN,AWS,183620
sharptel.pk,Abroad,Hetzner (DE),187534
freestreams-live1c.pk,Abroad,Shinjiru Technology Sdn Bhd (MY),187945
medishop.pk,CDN,Cloudflare,188339
qistbazaar.pk,CDN,Cloudflare,189823
gold.pk,CDN,Cloudflare,193331
joinanf.pk,Pakistani,National Telecommunication Corporation,193399
mostbett.pk,CDN,AWS,195192
polkadots.pk,CDN,Cloudflare,199108
faisalfabrics.pk,CDN,Cloudflare,200458
jazmin.pk,CDN,Cloudflare,202239
silaikarhai.pk,CDN,Cloudflare,203145
theavocado.pk,CDN,Cloudflare,206229
mbasics.pk,CDN,Cloudflare,206251
spsc.gos.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,207038
sonic.pk,Pakistani,Mobilink GSM,209691
blinkbroadband.pk,Pakistani,Logon Broadband Pvt. Limited,211297
vanya.pk,CDN,Cloudflare,212066
abwholesale.pk,CDN,Cloudflare,213561
chilltime.pk,Abroad,,214140
chinyere.pk,CDN,Cloudflare,214141
farashaonline.pk,CDN,Cloudflare,214772
femalechoice.pk,CDN,Cloudflare,214792
hcloud.pk,CDN,Cloudflare,215122
idealancy.pk,CDN,Cloudflare,215250
layers.pk,CDN,Cloudflare,215670
ramsha.pk,CDN,Cloudflare,216806
telenrquiztoday.pk,CDN,Cloudflare,217526
telequiztoday.pk,CDN,Cloudflare,217527
utopiaindustries.pk,CDN,AWS,217775
waada.pk,CDN,Google,217871
wasap-plus.pk,CDN,Cloudflare,217887
x666game.pk,Abroad,Namecheap  Inc. (US),217985
youngmasti.pk,Abroad,,218091
zapatla.pk,CDN,Cloudflare,218126
zarif.pk,CDN,Cloudflare,218127
zouq.pk,Abroad,Psychz Networks (US),218156
timespan.pk,Abroad,Enix Ltd (GB),218454
wego.pk,CDN,Cloudflare,219402
market.pk,Abroad,DigitalOcean  LLC (NL),219919
royalwrist.pk,CDN,Cloudflare,221825
exitbase.pk,Abroad,Hostinger IN (IN),222705
cloudy.pk,CDN,Cloudflare,223467
katran.pk,CDN,Cloudflare,223636
bisebwp.pk,Pakistani,PTCL ITI Lahore 11,224176
breakin.pk,CDN,Cloudflare,227754
lescoebillcheck.pk,CDN,Cloudflare,228408
mytelenoranswertoday.pk,CDN,Cloudflare,228577
senorita.pk,CDN,Cloudflare,228961
styka.pk,CDN,Cloudflare,229065
urge.pk,CDN,Cloudflare,229245
pdma.gob.pk,Abroad,Handy Networks (US),232401
ebillmepco.pk,CDN,Cloudflare,233199
simownerss.pk,CDN,Cloudflare,234281
safwa.pk,CDN,Cloudflare,238949
simownersdetails.pk,CDN,Cloudflare,239265
techjuice.pk,Abroad,Leaseweb UK Limited (GB),240799
jazztv.pk,Pakistani,PMCL Transit,242232
playtube.pk,CDN,Cloudflare,242799
result.pk,CDN,Cloudflare,243736
eatoye.pk,CDN,Cloudflare,246906
ayanshop.pk,Abroad,Hostinger International Limited (LT),250003
piratemedia.pk,Abroad,AVA HOST SRL (MD),263133
sparkbroadband.pk,Pakistani,Logon Broadband Pvt. Limited,272378
easyhost.pk,CDN,Cloudflare,279060
tejar.pk,CDN,Cloudflare,279628
nlthub.pk,CDN,Cloudflare,280658
mobilewale.pk,Abroad,Hostinger International Limited (LT),281814
reviewit.pk,CDN,Cloudflare,283747
networld.pk,Pakistani,Fariya Networks 150,284271
bausch.pk,CDN,Imperva/Incapsula,291352
skyhost.pk,Abroad,Contabo GmbH (FR),291733
techmanistan.pk,CDN,Cloudflare,295447
webhoster.pk,CDN,Cloudflare,299939
8thclassresults2026.pk,CDN,Cloudflare,302291
shoppingbag.pk,CDN,Cloudflare,303385
idmpakistan.pk,CDN,Cloudflare,316198
tenderservice.pk,CDN,Cloudflare,319084
dvdplanetstore.pk,CDN,Cloudflare,321392
nightynight.pk,CDN,Cloudflare,336888
techarc.pk,CDN,Cloudflare,347882
arysahulatbazar.pk,CDN,Cloudflare,351411
petsmall.pk,Abroad,Hostinger International Limited (SG),358479
thenews.pk,CDN,Cloudflare,358791
shopforever.pk,Abroad,Hostinger International Limited (LT),363223
aminaismail.pk,Abroad,Hostinger International Limited (LT),370928
bluehosting.pk,Abroad,Hetzner Online GmbH (FI),374990
movi.pk,CDN,Cloudflare,381762
ccstore.pk,CDN,Cloudflare,386370
enic.pk,Abroad,WHG Hosting Services Ltd (SG),392622
mylink.pk,unresolved,,399537
prowebhosting.pk,Abroad,Hetzner Online GmbH (FI),400200
tune.pk,CDN,Cloudflare,400582
amaleaked.pk,Abroad,IQWeb FZ-LLC (AE),402212
primaxtech.pk,Abroad,Contabo GmbH (FR),403331
pakprice.pk,CDN,Cloudflare,404114
clasf.pk,CDN,Cloudflare,405124
realproperty.pk,CDN,Cloudflare,405421
saaf.pk,CDN,Cloudflare,410123
ishopping.pk,CDN,Cloudflare,411381
trackhub.pk,CDN,Cloudflare,413521
dawaai.pk,CDN,Google,413680
humnews.pk,CDN,Cloudflare,414307
youtube.pk,CDN,Google,415137
apollosports.pk,CDN,Cloudflare,415773
juglo.pk,CDN,Cloudflare,418147
ding.pk,unresolved,,418646
shopon.pk,CDN,Cloudflare,419552
britishcouncil.pk,CDN,Akamai,424224
myshop.pk,CDN,Cloudflare,425256
kalee.pk,Abroad,HOSTINGER (SG),427751
gkp.pk,unresolved,,428283
contactnumbers.pk,CDN,Cloudflare,429606
helloworld.pk,Pakistani,Pakistan Telecommuication company limited,429622
allurebeauty.pk,CDN,Cloudflare,435553
saffana.pk,CDN,Cloudflare,437735
noacss.pk,Abroad,Unified Layer (US),438957
zipper.pk,CDN,Cloudflare,450519
1winbet.pk,Abroad,DigitalOcean  LLC (DE),450606
scouted-today.pk,Abroad,Ddos-guard LTD (RU),452746
mepcoebillcheck.pk,CDN,Cloudflare,454617
nazarr.pk,CDN,Cloudflare,455497
livestreamtv.pk,CDN,Cloudflare,458413
businesslist.pk,CDN,Cloudflare,458568
nestle.pk,CDN,AWS,462667
dmarket.pk,CDN,Cloudflare,462941
crane.pk,CDN,Cloudflare,463873
fashioncentral.pk,CDN,Cloudflare,464554
speedonline.pk,unresolved,,470064
vegas.pk,Abroad,Hetzner Online GmbH (DE),470089
toyzone.pk,CDN,Cloudflare,470796
aysonline.pk,CDN,Cloudflare,474727
class9.pk,Abroad,IONOS SE (US),479758
mepcoonline.pk,Abroad,HOSTINGER MY (MY),480013
kandns.pk,Abroad,Hostinger International Limited (LT),481567
binfahad.pk,CDN,Cloudflare,482426
digilog.pk,CDN,Cloudflare,485202
glowton.pk,Abroad,Hostinger International Limited (US),490070
carrefour.pk,CDN,Akamai,492019
autoline24.pk,Abroad,Hetzner (DE),492471
blingspot.pk,CDN,Cloudflare,497220
partysharty.pk,CDN,Cloudflare,498778
lamudi.pk,unresolved,,502930
bakraonline.pk,CDN,Cloudflare,508313
warsafabric.pk,CDN,Cloudflare,511226
elegante.pk,CDN,Cloudflare,512380
shop-kandns.pk,Abroad,Hostinger International Limited (ID),513074
glisten.pk,CDN,Cloudflare,514160
pehnawastore.pk,CDN,Cloudflare,514674
derma.pk,CDN,Cloudflare,520093
starlet.pk,CDN,Cloudflare,521500
computerzone.pk,CDN,Cloudflare,524014
sehgalmotors.pk,CDN,Cloudflare,524225
allmytech.pk,CDN,Cloudflare,524930
mobilemall.pk,CDN,Cloudflare,527385
buyzar.pk,CDN,Cloudflare,527722
gulmahal.pk,CDN,Cloudflare,530487
machineryline.pk,Abroad,Hetzner (DE),533267
dsmonline.pk,CDN,AWS,536793
subhanelectronics.pk,CDN,Cloudflare,538549
meerzah.pk,CDN,Cloudflare,539684
ancient.pk,Abroad,Namecheap  Inc. (US),551862
koyal.pk,CDN,AWS,553581
petsone.pk,CDN,Cloudflare,555182
vmart.pk,CDN,Cloudflare,556468
apkzone.pk,Abroad,Hetzner Online GmbH (DE),557726
sadapay.pk,CDN,Cloudflare,558231
ameena.pk,CDN,Cloudflare,560597
gobazar.pk,CDN,Cloudflare,560631
hopkicks.pk,Abroad,Hetzner Online GmbH (FI),560636
thebabyworld.pk,CDN,Cloudflare,560698
toycompany.pk,CDN,Cloudflare,560891
losha.pk,CDN,Cloudflare,560986
ramza.pk,CDN,Cloudflare,561461
doctorbookshop.pk,Abroad,Hetzner Online GmbH (FI),561620
eveen.pk,CDN,Cloudflare,564393
beautygirl.pk,CDN,Cloudflare,564419
isms.pk,CDN,Cloudflare,568029
novelshub.pk,CDN,Cloudflare,568788
kidsreading.pk,Abroad,HOSTINGER ID (ID),574726
optix.pk,Abroad,Namecheap  Inc. (US),578376
chemistdirect.pk,CDN,Cloudflare,578683
pkjob.pk,CDN,Cloudflare,579312
faizasaqlain.pk,CDN,Cloudflare,580299
khasmart.pk,Abroad,Hostinger International Limited (LT),582589
discountstore.pk,CDN,Cloudflare,582653
jobsalert.pk,CDN,Cloudflare,584046
scap.pk,CDN,Cloudflare,584479
cozmetica.pk,CDN,Cloudflare,586078
megathriftstore.pk,CDN,Cloudflare,587068
besharam.pk,Abroad,HOSTINGER (SG),587269
no777games.pk,CDN,Cloudflare,587746
reana.pk,CDN,Cloudflare,588528
cari.pk,Abroad,Hetzner Online GmbH (DE),591044
ainak.pk,CDN,Sucuri,591236
aneelas.pk,CDN,Cloudflare,591288
dablew.pk,CDN,Cloudflare,591676
peachmart.pk,CDN,Cloudflare,592953
forex.pk,CDN,Cloudflare,595506
pakwatan.pk,CDN,Cloudflare,596300
dealmarkaz.pk,CDN,Cloudflare,596459
naukriupdate.pk,Abroad,WHG Hosting Services Ltd (GB),597438
wearium.pk,CDN,Cloudflare,598042
babiesstore.pk,CDN,Cloudflare,598085
hondazone.pk,Abroad,HOSTINGER SG (SG),598152
nayatel.pk,unresolved,,599896
vapebazaar.pk,CDN,Cloudflare,601380
bakehouse.pk,CDN,Cloudflare,602317
planetjunior.pk,CDN,Cloudflare,606296
propertymanzil.pk,Abroad,Hetzner Online GmbH (FI),607408
newbooksnbooks.pk,CDN,Cloudflare,607825
onlinebookshop.pk,CDN,Cloudflare,611445
bk999.pk,unresolved,,615026
lori.pk,CDN,Cloudflare,615588
cttcacademy.pk,CDN,Cloudflare,616051
sabaq.pk,CDN,Google,620470
sin88.pk,CDN,Cloudflare,622269
freemeteo.pk,Abroad,Hetzner Online GmbH (DE),623370
mohsinsaeedfabrics.pk,CDN,Cloudflare,627267
dragontiger.pk,CDN,Cloudflare,627286
mostbetonline.pk,CDN,Cloudflare,627680
xeemart.pk,CDN,Cloudflare,629385
herbiotics.pk,CDN,Cloudflare,629540
missrose.pk,CDN,Cloudflare,629571
rangolistore.pk,CDN,Cloudflare,629592
theentertainer.pk,CDN,Cloudflare,629613
amts.pk,Abroad,Hetzner Online GmbH (DE),629646
studentstore.pk,CDN,Cloudflare,629772
sunainatextile.pk,CDN,Cloudflare,629913
admin.gok.pk,CDN,Cloudflare,634484
bpsc.gob.pk,CDN,Cloudflare,634793
climateinternship.pk,CDN,Cloudflare,634910
dailywholesale.pk,CDN,Cloudflare,634981
dls.gos.pk,CDN,Cloudflare,635045
evee.pk,Abroad,DigitalOcean  LLC (SG),635147
gcuonline.pk,Abroad,DigitalOcean  LLC (US),635273
joinpakarmyjobs.pk,Abroad,Hostinger International Limited (LT),635642
kashaf.pk,CDN,Cloudflare,635690
libasghar.pk,Abroad,Psychz Networks (US),635816
metroev.pk,Abroad,A2 Hosting  Inc. (US),635960
miniso.pk,CDN,Cloudflare,635972
sindhzameen.gos.pk,Pakistani,National Telecom Corporation,636604
studentcare.pk,Abroad,Contabo GmbH (FR),636698
vatt.gob.pk,Abroad,OVH SAS (CA),636954
ecasiocentre.pk,CDN,Cloudflare,640656
dwatsoncosmetics.pk,CDN,Cloudflare,646577
happysteppy.pk,Abroad,Namecheap  Inc. (US),648701
paknaukri.pk,unresolved,,650794
jcpsp.pk,Pakistani,HEC,655775
tobacs.pk,CDN,Cloudflare,656524
speedsports.pk,CDN,Cloudflare,657071
savys.pk,CDN,Cloudflare,658744
allgovtjobz.pk,CDN,Cloudflare,660413
friendshome.pk,CDN,Cloudflare,662807
autostore.pk,CDN,Cloudflare,663358
humdum.pk,CDN,Cloudflare,663430
intimatefashions.pk,CDN,Cloudflare,663435
jackednutrition.pk,CDN,Cloudflare,663438
khayest.pk,CDN,Cloudflare,663449
hf-store.pk,Abroad,Hostinger International Limited (LT),663724
theperfumeclub.pk,CDN,Cloudflare,664717
thrift.pk,CDN,Cloudflare,666539
petpoint.pk,Abroad,Hostinger International Limited (ID),666573
srb.gos.pk,Pakistani,Supernet 1,666731
mobile-phone.pk,CDN,Cloudflare,667077
shoestreet.pk,CDN,Cloudflare,668150
elyscents.pk,CDN,Cloudflare,668557
mirari.pk,CDN,Cloudflare,668619
dwphome.pk,CDN,Cloudflare,668726
smarttech.pk,Abroad,WHG Hosting Services Ltd (SG),671769
shoppingjin.pk,Abroad,Hetzner Online GmbH (DE),674151
mispl.pk,Abroad,Hetzner Online GmbH (DE),674264
mulphico.pk,Abroad,Liquid Web  L.L.C (US),675801
hamdard.pk,Abroad,Turnkey Internet Inc. (US),679189
1ball.pk,Abroad,Alexhost SRL (MD),681980
tripbookly.pk,Abroad,OVH SAS (DE),682364
superhost.pk,Abroad,Hetzner Online GmbH (DE),684094
grocerapp.pk,CDN,AWS CloudFront,686481
eminent.pk,CDN,Cloudflare,687450
metro.pk,CDN,Akamai,691623
rios.pk,CDN,Cloudflare,691654
toolsmart.pk,CDN,Cloudflare,691681
shesgotleaks.pk,Abroad,Ddos-guard LTD (RU),692082
chabee.pk,CDN,Cloudflare,696075
bagx.pk,CDN,Cloudflare,697174
homducts.pk,CDN,Cloudflare,697198
pakstyle.pk,CDN,Cloudflare,697713
1ststep.pk,CDN,Cloudflare,697991
alhamdtech.pk,CDN,Cloudflare,698024
amdhouse.pk,Abroad,Hostinger International Limited (ID),698032
techmatched.pk,CDN,Cloudflare,698656
xiaomistore.pk,CDN,Cloudflare,700006
branches.pk,Abroad,Oracle Corporation (US),700442
drhassanoncologist.pk,CDN,Cloudflare,702096
almas.pk,CDN,Cloudflare,703858
aodour.pk,CDN,Cloudflare,703865
asadautos.pk,CDN,Cloudflare,703872
campus.pk,Abroad,Interserver  Inc (US),703920
haseebarts.pk,CDN,Cloudflare,704044
hinz.pk,CDN,Cloudflare,704049
nuvari.pk,CDN,Cloudflare,704196
urbanbeauty.pk,CDN,Cloudflare,704376
zeesy.pk,CDN,Cloudflare,704420
azureofficial.pk,CDN,Cloudflare,704835
bioshop.pk,CDN,Cloudflare,704850
clickable.pk,CDN,Cloudflare,705561
imports.pk,CDN,Cloudflare,705735
mightycart.pk,CDN,Cloudflare,705840
mystyle.pk,CDN,Cloudflare,705859
vapebar.pk,CDN,Cloudflare,707533
selfskincare.pk,Abroad,Hostinger International Limited (LT),715191
cinemakick.pk,Abroad,LeaseWeb Netherlands B.V. (NL),716136
aboutphone.pk,CDN,Cloudflare,719055
pectaaresult.pk,Abroad,Hostinger International Limited (LT),720063
linkshop.pk,CDN,Cloudflare,722645
deen.pk,Abroad,Namecheap  Inc. (US),722997
dgcs.gos.pk,Pakistani,Punjab Information Technology Board,723900
bandana.pk,CDN,Cloudflare,728749
toynix.pk,CDN,Cloudflare,733025
katib.pk,CDN,Cloudflare,733670
rozzana.pk,CDN,Cloudflare,734475
visiontelecom.pk,Abroad,Hetzner Online GmbH (DE),734704
webx.pk,CDN,Cloudflare,738904
riderz.pk,Abroad,GTHost (FR),739544
onic.pk,CDN,Cloudflare,740671
funsies.pk,CDN,Cloudflare,742218
johra.pk,CDN,Cloudflare,742402
mosafir.pk,CDN,Cloudflare,742612
saharonline.pk,CDN,Cloudflare,742855
asraderm.pk,CDN,Cloudflare,743265
junaidtech.pk,CDN,Cloudflare,743658
kamalsolar.pk,CDN,Cloudflare,743669
kissanghar.pk,CDN,Cloudflare,743680
smarthealer.pk,CDN,Cloudflare,744030
starcity.pk,CDN,Cloudflare,744047
techglobe.pk,CDN,Cloudflare,744074
urdunovelsghar.pk,CDN,Cloudflare,744127
visahq.pk,CDN,AWS,744152
h555.pk,Abroad,Namecheap  Inc. (US),744996
aneela.pk,CDN,AWS,745323
thotbb.pk,Abroad,Ddos-guard LTD (RU),746117
5gbet.pk,CDN,Cloudflare,753612
777sxgameapp.pk,Abroad,Namecheap  Inc. (US),754381
92beddingstore.pk,CDN,Cloudflare,755504
accesson.pk,Abroad,,756568
adalatonline.pk,CDN,Cloudflare,756785
adour.pk,CDN,Cloudflare,756958
ahmedperfumes.pk,CDN,Cloudflare,757465
ajkpolice.gok.pk,CDN,Cloudflare,757711
ajmal.pk,CDN,Cloudflare,757716
akarpunjabgovt.pk,Abroad,HOSTINGER IN (IN),757784
alizeh.pk,CDN,Cloudflare,758189
allinonestore.pk,CDN,Cloudflare,758281
anex.pk,CDN,Cloudflare,759143
antstore.pk,CDN,Cloudflare,759496
apms.pk,Pakistani,COMSATS,759747
applemac.pk,Abroad,PHOENIX NAP  LLC. (NL),759874
asifaandnabeel.pk,CDN,Cloudflare,760726
astore.pk,CDN,Cloudflare,760925
astorebags.pk,CDN,Cloudflare,760926
astrohope.pk,Abroad,PrivateSystems Networks (US),760960
auroracloset.pk,CDN,Cloudflare,761376
ayzel.pk,CDN,Cloudflare,761944
baapparels.pk,CDN,Cloudflare,762186
balochistankissan.gob.pk,Abroad,Hetzner Online GmbH (DE),762493
banoqabil.pk,CDN,AWS,762684
barqraftar.pk,Abroad,DigitalOcean  LLC (US),762789
bavari.pk,CDN,Cloudflare,762957
beechtreebargains.pk,CDN,Cloudflare,763418
beme.pk,CDN,Cloudflare,763583
benazirharicard.gos.pk,Abroad,Hetzner Online GmbH (DE),763592
beyourself.pk,CDN,Cloudflare,764295
bilalmarth7.pk,CDN,Cloudflare,764730
bluebirdarts.pk,CDN,Cloudflare,765410
branighty.pk,CDN,Cloudflare,766312
branny.pk,CDN,Cloudflare,766314
bullprofit.pk,unresolved,,766879
carrera.pk,CDN,Cloudflare,768060
checkbills.pk,CDN,Cloudflare,769262
checkyourbill.pk,CDN,Cloudflare,769283
cinestar.pk,CDN,Google,769868
class11.pk,Abroad,Hostinger International Limited (LT),770244
clearpathortho.pk,Abroad,DigitalOcean  LLC (US),770306
cocoon.pk,CDN,Cloudflare,770836
colorshow.pk,CDN,Cloudflare,771076
ct7777.pk,Abroad,OVH SAS (FI),772547
culturalfusion.pk,CDN,Cloudflare,772685
darazcenter.pk,Abroad,HOSTINGER IN (IN),773385
darvaza.pk,CDN,Cloudflare,773447
dazlogistics.pk,unresolved,,773630
dealsera.pk,CDN,Cloudflare,773784
dealsexpress.pk,CDN,Cloudflare,773785
deluxefootwear.pk,CDN,Cloudflare,774024
digidokaan.pk,CDN,Cloudflare,774727
dlportal.pk,unresolved,,775271
dnstore.pk,CDN,Cloudflare,775350
dollarsmart.pk,CDN,Cloudflare,775519
domain.pk,Abroad,Hetzner Online GmbH (DE),775533
dyot.pk,CDN,Cloudflare,776542
e-challancheck.pk,CDN,Cloudflare,776598
ebill.pk,Pakistani,Ebone Network (Pvt) Ltd,777144
eduhelps.pk,Abroad,Hostinger International Limited (LT),777568
eduportal.pk,CDN,Cloudflare,777600
elan.pk,CDN,Cloudflare,778015
elitestore.pk,CDN,Cloudflare,778254
emap.pk,CDN,Cloudflare,778409
ent365.pk,Abroad,,778799
eschool.pk,Abroad,WEBSITEWELCOME.COM (US),779232
estationers.pk,Abroad,New Dream Network (US),779466
eveon.pk,Abroad,WHG Hosting Services Ltd (US),779813
evoucher.pk,Abroad,Hostinger International Limited (IN),779906
expostore.pk,CDN,Cloudflare,780074
faisalmoverz.pk,CDN,Cloudflare,780573
faizanmotorsports.pk,CDN,Cloudflare,780577
fashionflare.pk,CDN,Cloudflare,780823
fastex.pk,Abroad,Contabo GmbH (FR),780864
feathers.pk,CDN,Cloudflare,781073
fgeijobs.pk,Abroad,Hostinger International Limited (LT),781339
finance.gob.pk,CDN,Cloudflare,781586
fineur.pk,CDN,Cloudflare,781659
fivo.pk,CDN,Cloudflare,781866
flaship.pk,CDN,Cloudflare,781956
flormar.pk,CDN,Cloudflare,782131
flourishundergarments.pk,CDN,Cloudflare,782138
focusclothing.pk,CDN,Cloudflare,782286
footsteps.pk,CDN,Cloudflare,782431
footystream.pk,CDN,Cloudflare,782438
forextrading.pk,CDN,Cloudflare,782489
freejobs.pk,Abroad,Hostinger International Limited (SG),782848
fulfillkaro.pk,CDN,Cloudflare,783154
funmax.pk,Pakistani,Fariya Networks,783298
funstream.pk,Pakistani,Fiber Beam Pvt Ltd,783314
gamcamedical.pk,CDN,Google,783831
garderobe.pk,CDN,Cloudflare,784126
girlgroup.pk,CDN,Cloudflare,785183
glowbeauty.pk,CDN,Cloudflare,785438
goldstarjewellers.pk,Abroad,Hostinger International Limited (LT),785849
gomilaintersole.pk,CDN,Cloudflare,785920
governmentjob.pk,CDN,Cloudflare,786152
graceup.pk,CDN,Cloudflare,786261
groupslink.pk,CDN,Cloudflare,786586
groupslinks.pk,CDN,Cloudflare,786587
gulaal.pk,CDN,Cloudflare,786977
h55game.pk,Abroad,Namecheap (US),787267
hamzamothercare.pk,CDN,Cloudflare,787536
hazecobills.pk,CDN,Cloudflare,787882
heelsshoes.pk,CDN,Cloudflare,788104
heeriye.pk,CDN,Cloudflare,788107
hindidubbedmovies.pk,CDN,Cloudflare,788655
historicalpoint.pk,CDN,Cloudflare,788763
homage.pk,CDN,Cloudflare,789093
home.gop.pk,unresolved,,789099
homelo.pk,CDN,Cloudflare,789131
honhaarjawan.pk,CDN,AWS,789256
icasiostore.pk,Abroad,Hostinger International Limited (LT),790333
identityservices.pk,CDN,Cloudflare,790513
iescobill.pk,Abroad,Contabo GmbH (FR),790637
ijazjewllerymahal.pk,CDN,Cloudflare,790794
imtiazautos.pk,CDN,Cloudflare,791153
imtiazbikerzstudio.pk,CDN,Cloudflare,791154
instaworld.pk,CDN,AWS,791772
interwood.pk,CDN,Cloudflare,791952
jaancollection.pk,CDN,Cloudflare,792960
jacquard.pk,CDN,Cloudflare,793001
jadeno.pk,CDN,Cloudflare,793008
jadeonline.pk,CDN,Cloudflare,793009
jollylolly.pk,CDN,Cloudflare,794349
julke.pk,CDN,Cloudflare,794735
kamaliamart.pk,CDN,Cloudflare,795426
karobari.pk,Abroad,Hostinger MY (MY),795663
kasheesboutique.pk,CDN,Cloudflare,795711
katmoviehd.pk,CDN,Cloudflare,795762
kemeistore.pk,CDN,Cloudflare,796059
kenwoodpakistan.pk,CDN,Cloudflare,796120
keonlinebill.pk,CDN,Cloudflare,796138
kharianpigeons.pk,Abroad,Contabo GmbH (FR),796359
kidsmania.pk,CDN,Cloudflare,796500
kikocosmetics.pk,CDN,Cloudflare,796549
ktrade.pk,Abroad,Internap Holding LLC (US),797986
labcloud.pk,Abroad,Hetzner Online GmbH (FI),798468
lda.gop.pk,CDN,Cloudflare,799231
lilcubs.pk,CDN,Cloudflare,799994
linky.pk,CDN,Cloudflare,800170
