# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank
statelife.com.pk,CDN,Cloudflare,569756
jubileelife.com,Abroad,Oracle Corporation (AE),
pakqatar.com.pk,Abroad,Hetzner Online GmbH (FI),814085
tplinsurance.com,Pakistani,Cyber Internet Services Pakistan,
pral.com.pk,Pakistani,Federal Board of Revenue,
igiinsurance.com.pk,CDN,Cloudflare,
theunitedinsurance.com,CDN,Cloudflare,833662
adamjeelife.com,CDN,Cloudflare,
smartchoice.pk,CDN,AWS,
efuhemayahtakaful.com,Abroad,Tiggee LLC (US),

# ===== Courts [CDN 2 · Abroad 2 · PK 1] =====
bhc.gov.pk,Abroad,Unified Layer (US),
sindhhighcourt.gov.pk,CDN,Cloudflare,196767
lhc.gov.pk,Pakistani,Punjab Information Technology Board,333207
peshawarhighcourt.gov.pk,Abroad,Hetzner Online GmbH (DE),442350
supremecourt.gov.pk,CDN,Akamai,329665

# ===== Banks [CDN 21 · Abroad 5 · PK 3 · unresolved 3] =====
jazzcash.com.pk,CDN,Cloudflare,56837
easypaisa.com.pk,CDN,AWS,144365
abl.com,CDN,Cloudflare,282373
askaribank.com.pk,CDN,Cloudflare,485756
bankalhabib.com,CDN,Microsoft/Azure,140127
bankalfalah.com,CDN,Microsoft/Azure,145031
burjbankltd.com,Abroad,Yancy Limited (US),
bop.com.pk,CDN,Imperva/Incapsula,342519
bok.com.pk,Abroad,Liquid Web  L.L.C (US),528024
citibank.com,CDN,Akamai,13013
dibpak.com,CDN,Cloudflare,947986
fwbl.com.pk,CDN,Cloudflare,
faysalbank.com,CDN,Cloudflare,262071
hbl.com,CDN,Imperva/Incapsula,135967
habibmetro.com,Abroad,Dosarrest Internet Security LTD (US),592105
habibbank.com,CDN,AWS,556780
jsbl.com,CDN,Cloudflare,361490
khushhalibank.com.pk,CDN,AWS CloudFront,
kasb.com,Abroad,DigitalOcean  LLC (US),
mcb.com.pk,CDN,Sucuri,276384
meezanbank.com,CDN,Cloudflare,55784
nibpk.com,CDN,AWS,
sbp.org.pk,CDN,Cloudflare,83531
standardchartered.com.pk,Abroad,Vercara  LLC (US),
pak.samba.com,unresolved,,
silkbank.com.pk,Pakistani,Cyber Internet Services Pakistan,
soneribank.com,CDN,Cloudflare,976750
summitbank.com.pk,unresolved,,
tameerbank.com,CDN,AWS,
unionbank.com.pk,unresolved,,
ubldirect.com,Pakistani,United Bank Limited,428966
ztbl.com.pk,Pakistani,Cyber Internet Services (Private) Limited,853941

# ===== Chinese/HK (PK-hosted infra via S.B Link Network) [CDN 0 · Abroad 0 · PK 4] =====
cntv.cn,Pakistani,Gerrys Information Technology (PVT) Ltd,7936
youth.cn,Pakistani,Gerrys Information Technology (PVT) Ltd,13948
toptop.net,Pakistani,Gerrys Information Technology (PVT) Ltd,17707
flashget.com,Pakistani,Gerrys Information Technology (PVT) Ltd,20258

# ===== Government / Education (PK-hosted, ISP noted in source) [CDN 0 · Abroad 0 · PK 4] =====
vu.edu.pk,Pakistani,HEC,1860
pitc.com.pk,Pakistani,PITC,1876
punjabpolice.gov.pk,Pakistani,Punjab Information Technology Board,9830
punjab.gov.pk,Pakistani,Punjab Information Technology Board,15695
#

# ################## Tranco .pk additions (categorized by sub-TLD) ##################

# ===== Tranco .pk: Government [CDN 31 · Abroad 9 · PK 83 · unresolved 1] =====
bisp.gov.pk,CDN,Cloudflare,9859
nadra.gov.pk,CDN,Akamai,19243
weboc.gov.pk,Pakistani,Cyber Internet Services Pakistan,22846
hec.gov.pk,Pakistani,HEC,41326
fbr.gov.pk,Pakistani,Federal Board of Revenue,46852
mofa.gov.pk,Pakistani,National Telecommunication Corporation,50073
pta.gov.pk,Pakistani,National Telecommunication Corporation,61712
dgip.gov.pk,Pakistani,National Telecommunication Corporation,78805
beoe.gov.pk,CDN,Cloudflare,80021
fia.gov.pk,Pakistani,National Telecommunication Corporation,80830
punjab-zameen.gov.pk,Pakistani,Punjab Land Records Authority,82132
fpsc.gov.pk,Pakistani,National Telecommunication Corporation,82408
pshealthpunjab.gov.pk,Pakistani,NEXLINX,82618
njp.gov.pk,Pakistani,National Telecommunication Corporation,85360
ep.gov.pk,Pakistani,Nayatel (Pvt) Ltd,86235
sindheducation.gov.pk,Abroad,OVH SAS (CA),92841
apnaghar.gov.pk,CDN,Cloudflare,93799
pave.gov.pk,Pakistani,Punjab Information Technology Board,95129
pitb.gov.pk,Pakistani,Punjab Information Technology Board,105814
kp.gov.pk,Pakistani,National Telecommunication Corporation,129768
radio.gov.pk,CDN,Cloudflare,152348
psw.gov.pk,Pakistani,Pakistan Single Window,152909
sindhpolice.gov.pk,CDN,Cloudflare,165190
joinpakarmy.gov.pk,Pakistani,COMSATS,167941
balochistan.gov.pk,CDN,Cloudflare,169558
secp.gov.pk,CDN,Cloudflare,176147
ajk.gov.pk,CDN,Cloudflare,178981
kppsc.gov.pk,Abroad,Hetzner Online GmbH (DE),186459
pakrailways.gov.pk,CDN,Cloudflare,199096
joinpaknavy.gov.pk,CDN,Cloudflare,207981
epads.gov.pk,Pakistani,Pakistan Telecommuication company limited,208609
kppolice.gov.pk,CDN,Cloudflare,208990
fgei.gov.pk,CDN,Cloudflare,214798
lmis.gov.pk,Pakistani,National Telecom Corporation,215730
ajkpsc.gov.pk,Pakistani,PTCL ITI Future Connect 79,227593
sco.gov.pk,Pakistani,Micronet,243678
pmd.gov.pk,CDN,Cloudflare,244550
na.gov.pk,Pakistani,National Telecommunication Corporation,258457
pbs.gov.pk,Pakistani,National Telecom Corporation,264994
finance.gov.pk,CDN,Cloudflare,282401
paknavy.gov.pk,CDN,Cloudflare,288229
spsc.gov.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,290190
pakistan.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,322125
ecp.gov.pk,Pakistani,Pakistan Telecommuication company limited,340618
pap.gov.pk,Pakistani,PITB RO,350963
sindh.gov.pk,Pakistani,National Telecommunication Corporation,353152
dra.gov.pk,Pakistani,COMSATS,370105
navttc.gov.pk,CDN,Cloudflare,376231
wapda.gov.pk,Pakistani,PITC,386457
pakrail.gov.pk,Pakistani,National Telecommunication Corporation,402582
senate.gov.pk,Pakistani,National Telecommunication Corporation,414171
shc.gov.pk,CDN,Cloudflare,418551
pakpost.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,420583
kpese.gov.pk,Pakistani,National Telecommunication Corporation,422317
agripunjab.gov.pk,Pakistani,Punjab Information Technology Board,439762
cda.gov.pk,Pakistani,Multinet 125-107/24,443209
pmyp.gov.pk,Pakistani,National Telecommunication Corporation,443229
paf.gov.pk,Pakistani,National Telecommunication Corporation,444933
savings.gov.pk,Pakistani,National Telecommunication Corporation,497267
mod.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,502758
islamabadpolice.gov.pk,Pakistani,National Telecommunication Corporation,507095
punjabhec.gov.pk,CDN,Cloudflare,513514
rescue.gov.pk,Abroad,Internap Holding LLC (US),517976
weather.gov.pk,CDN,Cloudflare,519819
ihc.gov.pk,Pakistani,National Telecommunication Corporation,529873
cabinet.gov.pk,Pakistani,National Telecommunication Corporation,536939
oec.gov.pk,Pakistani,Nayatel (Pvt) Ltd,540873
eobi.gov.pk,Pakistani,COMSATS,541803
nitb.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,553934
lgkp.gov.pk,Pakistani,National Telecommunication Corporation,565966
ipo.gov.pk,Pakistani,Punjab Information Technology Board,582634
pid.gov.pk,Pakistani,COMSATS,615425
commerce.gov.pk,CDN,Cloudflare,620136
citizenportal.gov.pk,Pakistani,National Telecommunication Corporation,634899
mlc.gov.pk,CDN,Cloudflare,635988
pakistanrangerssindh.gov.pk,Pakistani,Micronet,636235
pnmc.gov.pk,CDN,Cloudflare,636332
establishment.gov.pk,Pakistani,National Telecommunication Corporation,639791
pedokp.gov.pk,Pakistani,National Telecommunication Corporation,650986
tdap.gov.pk,CDN,Cloudflare,655213
tourism.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,662176
scp.gov.pk,CDN,Cloudflare,668477
elearn.gov.pk,Pakistani,PITB RO,668728
cpec.gov.pk,Pakistani,National Telecommunication Corporation,694396
mohtasib.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,699419
pccc.gov.pk,Abroad,GoDaddy.com  LLC (US),702705
eprocure.gov.pk,Pakistani,Pakistan Telecommuication company limited,704545
paa.gov.pk,Pakistani,Pakistan Telecommuication company limited,705896
ppra.gov.pk,Pakistani,Pakistan Telecommuication company limited,705932
eoc.gov.pk,Pakistani,Nayatel (Pvt) Ltd,721112
pc.gov.pk,Pakistani,National Telecommunication Corporation,725201
csd.gov.pk,CDN,Cloudflare,742039
anf.gov.pk,Pakistani,National Telecommunication Corporation,746096
adrspunjab.gov.pk,CDN,Cloudflare,756982
balochistanpolice.gov.pk,Pakistani,PTCL ITI Karachi 3,762494
cmu.gov.pk,Pakistani,Nayatel (Pvt) Ltd,770706
efan.gov.pk,Pakistani,PITB RO,777695
eoffice.gov.pk,unresolved,,778866
healthkp.gov.pk,Pakistani,National Telecommunication Corporation,788043
islamabadexcise.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,792406
joinasf.gov.pk,CDN,Cloudflare,794308
karachipolice.gov.pk,Abroad,Hostinger International Limited (ID),795592
kpdata.gov.pk,Pakistani,WideBand Communications(Pvt)Ltd,797708
kpst.gov.pk,Pakistani,National Telecommunication Corporation,797742
mohw.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,806431
nhmp.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,810199
opmispunjab.gov.pk,Abroad,,812910
pbm.gov.pk,Pakistani,National Telecommunication Corporation,814977
peshawarhcmb.gov.pk,Pakistani,Pakistan Telecommuication company limited,815493
pifra.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,816153
pmrugb.gov.pk,Abroad,HOSTINGER US (US),817054
ptpkp.gov.pk,CDN,Cloudflare,818928
swkpk.gov.pk,Pakistani,National Telecommunication Corporation,831251
wpdgb.gov.pk,Abroad,Limestone Networks (US),842467
ndma.gov.pk,Pakistani,Pakistan Telecommuication company limited,847212
pmhealthprogram.gov.pk,CDN,Akamai,878786
surveyofpakistan.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,881037
molaw.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,884517
mofept.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,889323
kppra.gov.pk,Pakistani,National Telecommunication Corporation,891923
pspc.gov.pk,Pakistani,National Telecommunication Corporation,916696
sindhhealth.gov.pk,Abroad,DigitalOcean  LLC (US),933716
punjablaws.gov.pk,Pakistani,PITB RO,970327
pof.gov.pk,CDN,Cloudflare,982214

# ===== Tranco .pk: Education [CDN 78 · Abroad 55 · PK 44 · unresolved 1] =====
fbise.edu.pk,CDN,Cloudflare,10881
aiou.edu.pk,Pakistani,HEC,19302
lums.edu.pk,Abroad,,39878
pu.edu.pk,Pakistani,HEC,53105
nust.edu.pk,CDN,Cloudflare,56232
comsats.edu.pk,CDN,Cloudflare,59476
pesrp.edu.pk,Pakistani,Nexlinx,65655
nu.edu.pk,Pakistani,COMSATS,69369
superior.edu.pk,CDN,Cloudflare,69463
