ts_utc,ts_pkt,kind,src_probe_id,src,dst_probe_id,dst,rtt_min,loss,hop_count,tromboned,status,exit_cc,transit,trace_rtt_ms
2026-08-29 05:02:53,2026-08-29 10:02:53,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 06:02:55,2026-08-29 11:02:55,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 07:02:58,2026-08-29 12:02:58,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 08:01:16,2026-08-29 13:01:16,trace,65761,cybernet.65761,1016036,cybernet.1016036,,,7,True,trombone_rtt,?,,67.2
2026-08-29 08:03:02,2026-08-29 13:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 09:03:04,2026-08-29 14:03:04,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 10:02:55,2026-08-29 15:02:55,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 12:03:03,2026-08-29 17:03:03,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 13:02:53,2026-08-29 18:02:53,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 14:02:58,2026-08-29 19:02:58,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 15:03:02,2026-08-29 20:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 16:03:02,2026-08-29 21:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 17:02:52,2026-08-29 22:02:52,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 18:03:02,2026-08-29 23:03:02,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 19:03:05,2026-08-30 00:03:05,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 20:01:11,2026-08-30 01:01:11,trace,65761,cybernet.65761,1016036,cybernet.1016036,,,7,False,local,,,7.4
2026-08-29 20:03:00,2026-08-30 01:03:00,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 21:02:52,2026-08-30 02:02:52,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 22:02:58,2026-08-30 03:02:58,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-29 23:02:53,2026-08-30 04:02:53,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 00:02:56,2026-08-30 05:02:56,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
2026-08-30 01:02:51,2026-08-30 06:02:51,ping,65761,cybernet.65761,1016036,cybernet.1016036,,1.0,,,,,,
