tranco_rank,domain,ip,asn,as_name,netname,second_check,in_pass1
128699,numl.edu.pk,111.68.97.117,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,no-answer,yes
133084,vidfree.net,160.250.115.204,137047,"TATMPL-AS-AP - TELECOMMUNICATION AND TECHNOLOGY MASTERS (PVT.) LIMITED, PK",APNIC-ERX-160-233-0-0,agree,no
138267,magsnet.net,202.5.128.24,20119,"ARROW - Arrow Group Inc., CA",XODEUS,agree,no
139401,sco.gov.pk,118.107.140.9,18053,"SNET-AS-AP - Special Communication Organization, PK",SNET-PK,agree,yes
142399,jazzdsp.com,119.160.105.35,58470,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Jazz-North,agree,no
142515,bahria.edu.pk,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,yes
145088,jazztv.pk,119.160.13.28,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",Mobilink-Services,agree,no
145939,multi.net.pk,202.141.239.210,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",MULTINETPAKISTAN,agree,no
150863,ptcl.com.pk,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree,yes
154247,ufone.com,59.103.225.37,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree,no
155232,dunya.com.pk,117.20.18.153,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree,yes
156252,careerjobs2381.com.pk,110.93.207.74,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree,yes
156639,sindhzameen.gos.pk,202.83.173.42,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCPKNET,agree,yes
156713,upaisa.com,59.103.236.34,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree,yes
164949,psw.gov.pk,165.99.181.23,153932,"PSW-AS-AP - Pakistan Single Window, PK",APNIC-ERX-165-99-0-0,agree,no
175561,bnu.edu.pk,175.111.3.156,24435,"SUPERNET-PAKISTAN-AS-AP - Supernet Limited Transit Autonomous System Number, PK",SUPER-PK,agree,yes
176755,nwnetworks.net.pk,110.93.213.3,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree,no
