website,hosting,isp_cdn,rank,cisa_sector
q789.com.pk,Abroad,Namecheap  Inc. (US),819350,Commercial Facilities
rangrasiya.com.pk,CDN,Cloudflare,820478,Commercial Facilities
revoo-ev.com.pk,Abroad,Alibaba.com Singapore E-Commerce Private Limited (DE),821687,Commercial Facilities
rollnoslip.com.pk,Abroad,HOSTINGER IN (IN),822369,Commercial Facilities
safoora.com.pk,CDN,Cloudflare,823506,Commercial Facilities
sageleather.com.pk,CDN,Cloudflare,823529,Commercial Facilities
sapt.com.pk,CDN,Microsoft/Azure,824157,Commercial Facilities
savourfoods.com.pk,CDN,Google,824454,Commercial Facilities
seccap.com.pk,CDN,Cloudflare,824942,Commercial Facilities
selecto.com.pk,CDN,Cloudflare,825183,Commercial Facilities
seran.com.pk,CDN,Cloudflare,825411,Commercial Facilities
serenepharma.com.pk,Abroad,Hetzner Online GmbH (FI),825423,Healthcare & Public Health
simtek.com.pk,Abroad,GoDaddy.com  LLC (US),826956,Commercial Facilities
sindhbank.com.pk,CDN,Google,826987,Commercial Facilities
skfans.com.pk,Abroad,Hostinger International Limited (LT),827414,Commercial Facilities
skinsciences.com.pk,CDN,Cloudflare,827452,Commercial Facilities
supers9game.com.pk,CDN,AWS,830792,Commercial Facilities
trafficsigntest.com.pk,Abroad,Contabo GmbH (FR),835369,Commercial Facilities
ullu.com.pk,Abroad,KnownSRV Ltd. (NL),837260,Commercial Facilities
unitedmotorcycle.com.pk,Abroad,Namecheap  Inc. (US),837682,Commercial Facilities
vidmateapp.com.pk,CDN,Cloudflare,839505,Commercial Facilities
wc777.com.pk,Abroad,Namecheap  Inc. (US),841202,Commercial Facilities
x-777.com.pk,Abroad,Namecheap  Inc. (US),842688,Commercial Facilities
y888.com.pk,Abroad,SpectraIP B.V. (NL),843876,Commercial Facilities
yacinetvs.com.pk,CDN,Cloudflare,843916,Commercial Facilities
yadea.com.pk,Abroad,Hetzner Online GmbH (FI),843920,Commercial Facilities
zed.com.pk,CDN,Cloudflare,845132,Commercial Facilities
zh888.com.pk,Abroad,OVH SAS (CA),845289,Commercial Facilities
zs-999.com.pk,Abroad,OVH SAS (AU),845661,Commercial Facilities
3dm.com.pk,Abroad,HOSTINGER (SG),848735,Commercial Facilities
nipponpaint.com.pk,CDN,Sucuri,857555,Commercial Facilities
zerodegree.com.pk,CDN,Cloudflare,863279,Commercial Facilities
777-cb.com.pk,CDN,Cloudflare,868930,Commercial Facilities
777.com.pk,Abroad,Namecheap  Inc. (SG),868931,Commercial Facilities
apkbloom.com.pk,Abroad,Namecheap  Inc. (HK),869719,Commercial Facilities
e-bike.com.pk,CDN,Cloudflare,872384,Commercial Facilities
easytoearn.com.pk,Abroad,WHG Hosting Services Ltd (US),872444,Commercial Facilities
gepcobill.com.pk,CDN,Cloudflare,873613,Commercial Facilities
h-555.com.pk,CDN,Cloudflare,873988,Commercial Facilities
m666.com.pk,CDN,Cloudflare,876347,Commercial Facilities
mepcobillz.com.pk,CDN,Cloudflare,876792,Commercial Facilities
pakngos.com.pk,Abroad,WHG Hosting Services Ltd (US),878304,Commercial Facilities
pk3.com.pk,Abroad,HOSTINGER BR (BR),878714,Commercial Facilities
pkrgame.com.pk,CDN,Cloudflare,878721,Commercial Facilities
sidathyder.com.pk,Abroad,InMotion Hosting  Inc (US),880342,Commercial Facilities
tiensmember.com.pk,Abroad,Contabo GmbH (FR),881566,Commercial Facilities
zongengage.com.pk,Abroad,velia.net Internetdienste GmbH (FR),883373,Commercial Facilities
leadpakistan.com.pk,Abroad,Hetzner Online GmbH (DE),888063,Commercial Facilities
callperks.com.pk,CDN,Cloudflare,904277,Commercial Facilities
careers635.com.pk,Pakistani,Pakistan Telecommuication company limited,904351,Commercial Facilities
citaevcharger.com.pk,Abroad,Hetzner Online GmbH (FI),904783,Commercial Facilities
css-pitb.com.pk,Abroad,Hostinger International Limited (LT),905153,Commercial Facilities
css-pitc.com.pk,Abroad,Hostinger International Limited (LT),905155,Commercial Facilities
ct999apk.com.pk,CDN,Cloudflare,905156,Commercial Facilities
fist.com.pk,Abroad,Hostinger International Limited (LT),907199,Commercial Facilities
gamez.com.pk,Abroad,OVH SAS (FI),907744,Commercial Facilities
insta.com.pk,Abroad,Interserver  Inc (US),909638,Commercial Facilities
n7.com.pk,CDN,Cloudflare,914035,Commercial Facilities
npftas.com.pk,Abroad,Hostinger International Limited (LT),914585,Commercial Facilities
p999apk.com.pk,CDN,Cloudflare,915224,Commercial Facilities
pakrummyapp.com.pk,CDN,Cloudflare,915463,Commercial Facilities
punjabprogram.com.pk,Abroad,Hostinger International Limited (LT),916753,Commercial Facilities
readinfo.com.pk,CDN,Cloudflare,917333,Commercial Facilities
suigas.com.pk,CDN,Cloudflare,919713,Commercial Facilities
x5555.com.pk,Abroad,OVH SAS (FR),922801,Commercial Facilities
ultimate-solution.com.pk,Abroad,Contabo GmbH (FR),936786,Commercial Facilities
winnet.com.pk,Abroad,20i Limited (GB),942309,Commercial Facilities
businesstrends.com.pk,CDN,Cloudflare,949176,Commercial Facilities
techlogic.com.pk,Abroad,Contabo GmbH (FR),958600,Commercial Facilities
jobs.com.pk,CDN,Cloudflare,960297,Commercial Facilities
crowngroup.com.pk,CDN,Cloudflare,966545,Commercial Facilities
sehat.com.pk,CDN,Cloudflare,967761,Commercial Facilities
globalconnectsynergy.com.pk,Pakistani,GCS (Private) Limited,971258,Commercial Facilities
zamaka.com.pk,CDN,Cloudflare,979223,Commercial Facilities
dongfang.com.pk,Abroad,A2 Hosting  Inc. (US),985733,Commercial Facilities
hadielectronics.com.pk,Abroad,HOSTINGER ID (ID),988525,Commercial Facilities
digitalsystems.com.pk,Abroad,Hetzner Online GmbH (DE),991675,Commercial Facilities
ainakpoint.com.pk,Abroad,HOSTINGER US (US),991722,Commercial Facilities
connect.net.pk,Pakistani,Connect Communication Karachi,52685,Communications
worldcall.net.pk,Abroad,HOSTINGER US (US),96365,Communications
comsats.net.pk,Pakistani,COMSATS,101013,Communications
glory-casino.net.pk,CDN,Cloudflare,121930,Communications
multi.net.pk,Pakistani,Multinet Broadband,140173,Communications
aviator.net.pk,CDN,Cloudflare,152352,Communications
fiberish.net.pk,CDN,Cloudflare,174431,Communications
sts.net.pk,CDN,AWS,178369,Communications
ebone.net.pk,CDN,Cloudflare,194876,Communications
zefoy.net.pk,CDN,Cloudflare,210684,Communications
fscobill.net.pk,CDN,Cloudflare,214891,Communications
getlinks.net.pk,Abroad,GoDaddy.com  LLC (SG),214979,Communications
brain.net.pk,Abroad,Hetzner Online GmbH (US),236785,Communications
gointernet.net.pk,Pakistani,Logon Broadband Pvt. Limited,247522,Communications
prime.net.pk,Abroad,20i Limited (US),263287,Communications
pknic.net.pk,CDN,Cloudflare,364193,Communications
ges.net.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,373193,Communications
nwnetworks.net.pk,Pakistani,TRANSWORLD ASSOCIATES (PVT) LIMITED,373579,Communications
microtech.net.pk,Abroad,Hostinger International Limited (LT),380414,Communications
galaxy.net.pk,Pakistani,Galaxy Broadband (pvt.) Ltd.,393636,Communications
waves.net.pk,Abroad,OVH SAS (CA),456665,Communications
nasstecairnet.net.pk,Abroad,Namecheap (US),470907,Communications
lmp.net.pk,Pakistani,Login.Me (Pvt) Ltd,487275,Communications
snms.net.pk,Abroad,Oracle Corporation (US),522696,Communications
dnt.net.pk,Abroad,Leaseweb Singapore Pte. Ltd. (US),624892,Communications
simowner.net.pk,Abroad,Hostinger International Limited (ID),628831,Communications
nation.net.pk,Pakistani,Connect Communication Karachi,636094,Communications
stn.net.pk,Abroad,Unified Layer (US),657488,Communications
geo.net.pk,Pakistani,Digicom Pakistan (private) Limited,679648,Communications
idc.net.pk,CDN,Google,727218,Communications
accesson.net.pk,Abroad,Oracle Corporation (US),756567,Communications
alburakinternet.net.pk,CDN,Cloudflare,758002,Communications
betrupees.net.pk,CDN,Cloudflare,764196,Communications
cnicinformation.net.pk,CDN,Cloudflare,770741,Communications
cosmic.net.pk,Pakistani,Connect Communication Karachi,771851,Communications
falconbroadband.net.pk,Abroad,Namecheap  Inc. (US),780598,Communications
gbn.net.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,784286,Communications
jj77.net.pk,Abroad,OVH SAS (FR),793936,Communications
mst.net.pk,Pakistani,Delta Networks,807413,Communications
npcn.net.pk,Abroad,Interserver  Inc (US),811056,Communications
pak-game.net.pk,CDN,Cloudflare,814043,Communications
pak92.net.pk,CDN,Cloudflare,814050,Communications
pkr98game.net.pk,CDN,Cloudflare,816500,Communications
bn55.net.pk,Abroad,SpectraIP B.V. (NL),870645,Communications
game.net.pk,CDN,Cloudflare,873474,Communications
lucky33.net.pk,Abroad,HOSTINGER US (US),876278,Communications
winpkr.net.pk,CDN,Cloudflare,882846,Communications
apnakhetapnarozgar.net.pk,CDN,Cloudflare,902122,Communications
bet939.net.pk,Abroad,Abelohost BV (NL),903208,Communications
zt777.net.pk,CDN,Cloudflare,923673,Communications
whatmobiles.net.pk,CDN,Cloudflare,950483,Communications
nts.org.pk,CDN,Cloudflare,81193,Government Services & Facilities
pts.org.pk,Pakistani,Cyber Internet Services (Private) Limited,91647,Government Services & Facilities
chickenroad.org.pk,CDN,Cloudflare,119898,Government Services & Facilities
icap.org.pk,CDN,Microsoft/Azure,165385,Government Services & Facilities
shaukatkhanum.org.pk,CDN,Cloudflare,166907,Government Services & Facilities
ahpc.org.pk,Pakistani,COMSATS,213609,Healthcare & Public Health
ots.org.pk,CDN,Cloudflare,231040,Government Services & Facilities
pec.org.pk,CDN,Cloudflare,265619,Government Services & Facilities
spin.org.pk,Abroad,WHG Hosting Services Ltd (SG),285619,Government Services & Facilities
fims.org.pk,CDN,Cloudflare,366191,Government Services & Facilities
nepra.org.pk,CDN,Cloudflare,368966,Government Services & Facilities
pide.org.pk,CDN,Cloudflare,383372,Government Services & Facilities
jpma.org.pk,Abroad,Hetzner Online GmbH (DE),394886,Government Services & Facilities
reap.org.pk,CDN,Cloudflare,459232,Government Services & Facilities
akhuwat.org.pk,CDN,Microsoft/Azure,494071,Government Services & Facilities
psdf.org.pk,Pakistani,Million Web Services Private Limited,571631,Government Services & Facilities
epr.org.pk,CDN,Cloudflare,598361,Government Services & Facilities
ctsp.org.pk,Abroad,Hetzner Online GmbH (DE),634960,Government Services & Facilities
gbappsup.org.pk,Abroad,Telkom Internet LTD (AZ),635270,Government Services & Facilities
88ef.org.pk,Abroad,OVH SAS (CA),755193,Government Services & Facilities
fauji.org.pk,Pakistani,Nayatel (Pvt) Ltd,780919,Government Services & Facilities
hecgovt.org.pk,Abroad,SpectraIP B.V. (NL),788095,Government Services & Facilities
hunarmandpunjab.org.pk,Abroad,HOSTINGER ID (ID),789863,Government Services & Facilities
jjwin.org.pk,Abroad,OVH SAS (CA),793969,Government Services & Facilities
ke.org.pk,CDN,AWS,795953,Government Services & Facilities
nrsp.org.pk,Abroad,DigitalOcean  LLC (NL),811091,Government Services & Facilities
patel-hospital.org.pk,CDN,Cloudflare,814726,Healthcare & Public Health
pkli.org.pk,CDN,Cloudflare,816483,Government Services & Facilities
ptea.org.pk,Abroad,WHG Hosting Services Ltd (GB),818906,Government Services & Facilities
readinfos.org.pk,Abroad,Hostinger International Limited (LT),820803,Government Services & Facilities
sets.org.pk,Abroad,Contabo GmbH (FR),825611,Government Services & Facilities
shaadi.org.pk,Abroad,WHG Hosting Services Ltd (SG),825914,Government Services & Facilities
srso.org.pk,Abroad,Hetzner Online GmbH (FI),829479,Government Services & Facilities
tih.org.pk,Abroad,ZETTA (BG),834018,Government Services & Facilities
zc777.org.pk,CDN,Cloudflare,845098,Government Services & Facilities
apnakhetapnarozgar.org.pk,Abroad,Hostinger International Limited (LT),869727,Government Services & Facilities
npf.org.pk,CDN,Cloudflare,877866,Government Services & Facilities
picashow.org.pk,CDN,Cloudflare,878650,Government Services & Facilities
sses.org.pk,Pakistani,Pakistan Telecommuication company limited,880789,Government Services & Facilities
sts.org.pk,Pakistani,Multinet Broadband,880907,Government Services & Facilities
ogra.org.pk,CDN,Cloudflare,898278,Government Services & Facilities
eef.org.pk,Abroad,WHG Hosting Services Ltd (US),906468,Government Services & Facilities
fia.org.pk,Abroad,Hostinger International Limited (LT),907051,Government Services & Facilities
iesco.org.pk,CDN,AWS,909365,Government Services & Facilities
nap.org.pk,Abroad,Hostinger International Limited (LT),914174,Government Services & Facilities
nbdp.org.pk,Abroad,Hostinger International Limited (LT),914224,Government Services & Facilities
npftas.org.pk,Abroad,Hostinger International Limited (LT),914586,Government Services & Facilities
muslimaid.org.pk,Abroad,Hostinger International Limited (LT),935574,Government Services & Facilities
thejaps.org.pk,Abroad,Contabo GmbH (FR),947129,Government Services & Facilities
issi.org.pk,CDN,Cloudflare,993512,Government Services & Facilities
pspo.org.pk,Abroad,WHG Hosting Services Ltd (SG),997396,Government Services & Facilities
streamed.pk,Abroad,Ddos-guard LTD (RU),19197,Commercial Facilities
nationalbroadband.pk,CDN,Cloudflare,23618,Commercial Facilities
npftas.pk,CDN,Cloudflare,23763,Commercial Facilities
pknic.pk,Abroad,,26181,Commercial Facilities
defence.pk,CDN,Cloudflare,41313,Commercial Facilities
foodpanda.pk,CDN,Cloudflare,43602,Commercial Facilities
freelancer.pk,CDN,AWS,48163,Commercial Facilities
annas-archive.pk,Abroad,IQWeb FZ-LLC (BZ),52065,Commercial Facilities
rozee.pk,CDN,Cloudflare,52324,Commercial Facilities
laam.pk,CDN,Google,56105,Commercial Facilities
moviebox.pk,CDN,AWS CloudFront,59798,Commercial Facilities
marham.pk,CDN,Cloudflare,61903,Commercial Facilities
bunkr.pk,Abroad,ByteFlare LTD (SC),69684,Commercial Facilities
psca.gop.pk,Pakistani,Punjab Safe City Authority,71839,Commercial Facilities
plinko.pk,CDN,Cloudflare,78945,Commercial Facilities
digiskills.pk,Pakistani,HEC,79267,Commercial Facilities
dvago.pk,CDN,Cloudflare,80061,Commercial Facilities
sastaticket.pk,CDN,Cloudflare,81111,Commercial Facilities
siasat.pk,CDN,Cloudflare,81181,Commercial Facilities
postex.pk,CDN,Cloudflare,82034,Commercial Facilities
highfy.pk,CDN,Cloudflare,85119,Commercial Facilities
preetpret.pk,CDN,Cloudflare,85216,Commercial Facilities
topup.pk,Abroad,Garena Online Pte Ltd (SG),86150,Commercial Facilities
ppsc.gop.pk,Pakistani,Punjab Information Technology Board,87199,Commercial Facilities
baroque.pk,CDN,Cloudflare,87408,Commercial Facilities
desicinemas.pk,CDN,Cloudflare,88324,Commercial Facilities
tjwholesale.pk,CDN,Cloudflare,89748,Commercial Facilities
movieboxapp.pk,CDN,Cloudflare,93440,Commercial Facilities
excise.gos.pk,Pakistani,Pakistan Telecommuication company limited,93557,Commercial Facilities
alhassan.pk,CDN,Cloudflare,93761,Commercial Facilities
cxtreme.pk,Pakistani,Cyber Internet Services (Private) Limited,94090,Commercial Facilities
districtcourtssindh.gos.pk,CDN,Cloudflare,94152,Commercial Facilities
dmasti.pk,Pakistani,Ebone Network (Pvt) Ltd,94160,Commercial Facilities
niazitv.pk,CDN,Cloudflare,95029,Commercial Facilities
sjp.gos.pk,CDN,Cloudflare,95481,Commercial Facilities
watcho.pk,Abroad,,95843,Commercial Facilities
pulse.gop.pk,Pakistani,Wateen Telecom Limited,101545,Commercial Facilities
checksimowner.pk,CDN,Cloudflare,103468,Commercial Facilities
mepcobillfinder.pk,CDN,Cloudflare,103861,Commercial Facilities
telenorbank.pk,CDN,AWS,117768,Commercial Facilities
jobz.pk,CDN,Cloudflare,124507,Commercial Facilities
ihosting.pk,Abroad,WHG Hosting Services Ltd (US),125597,Commercial Facilities
healthwire.pk,CDN,Cloudflare,135346,Healthcare & Public Health
ccptraffickyc.pk,CDN,Cloudflare,135733,Commercial Facilities
saleemfabrics.pk,CDN,Cloudflare,137059,Commercial Facilities
dlhd.pk,Abroad,Sino Worldwide Trading Limited (NL),141356,Commercial Facilities
dwatson.pk,CDN,Cloudflare,142670,Commercial Facilities
myservice.pk,CDN,Cloudflare,143237,Commercial Facilities
bookme.pk,Abroad,Aceville Pte.ltd. (SG),148289,Commercial Facilities
nureh.pk,CDN,Cloudflare,150294,Commercial Facilities
solarpanelinfo.pk,Abroad,HOSTINGER IN (IN),154674,Commercial Facilities
gari.pk,CDN,Cloudflare,163033,Commercial Facilities
instacare.pk,CDN,Microsoft/Azure,163268,Commercial Facilities
sarmaaya.pk,CDN,Cloudflare,169277,Commercial Facilities
supermeal.pk,CDN,Microsoft/Azure,174089,Commercial Facilities
freestreams-live1d.pk,Abroad,Shinjiru Technology Sdn Bhd (MY),177353,Commercial Facilities
babyplanet.pk,CDN,Cloudflare,178611,Commercial Facilities
pmdc.pk,Pakistani,National Telecommunication Corporation,180743,Healthcare & Public Health
kkmart.pk,CDN,Cloudflare,181053,Commercial Facilities
sapphirestudios.pk,CDN,Cloudflare,181767,Commercial Facilities
skyscanner.pk,CDN,AWS,183620,Commercial Facilities
sharptel.pk,Abroad,Hetzner (DE),187534,Commercial Facilities
freestreams-live1c.pk,Abroad,Shinjiru Technology Sdn Bhd (MY),187945,Commercial Facilities
medishop.pk,CDN,Cloudflare,188339,Commercial Facilities
qistbazaar.pk,CDN,Cloudflare,189823,Commercial Facilities
gold.pk,CDN,Cloudflare,193331,Commercial Facilities
joinanf.pk,Pakistani,National Telecommunication Corporation,193399,Commercial Facilities
mostbett.pk,CDN,AWS,195192,Commercial Facilities
polkadots.pk,CDN,Cloudflare,199108,Commercial Facilities
faisalfabrics.pk,CDN,Cloudflare,200458,Commercial Facilities
jazmin.pk,CDN,Cloudflare,202239,Commercial Facilities
silaikarhai.pk,CDN,Cloudflare,203145,Commercial Facilities
theavocado.pk,CDN,Cloudflare,206229,Commercial Facilities
mbasics.pk,CDN,Cloudflare,206251,Commercial Facilities
spsc.gos.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,207038,Commercial Facilities
sonic.pk,Pakistani,Mobilink GSM,209691,Commercial Facilities
blinkbroadband.pk,Pakistani,Logon Broadband Pvt. Limited,211297,Commercial Facilities
vanya.pk,CDN,Cloudflare,212066,Commercial Facilities
abwholesale.pk,CDN,Cloudflare,213561,Commercial Facilities
chilltime.pk,Abroad,,214140,Commercial Facilities
chinyere.pk,CDN,Cloudflare,214141,Commercial Facilities
farashaonline.pk,CDN,Cloudflare,214772,Commercial Facilities
femalechoice.pk,CDN,Cloudflare,214792,Commercial Facilities
hcloud.pk,CDN,Cloudflare,215122,Commercial Facilities
idealancy.pk,CDN,Cloudflare,215250,Commercial Facilities
layers.pk,CDN,Cloudflare,215670,Commercial Facilities
ramsha.pk,CDN,Cloudflare,216806,Commercial Facilities
telenrquiztoday.pk,CDN,Cloudflare,217526,Commercial Facilities
telequiztoday.pk,CDN,Cloudflare,217527,Commercial Facilities
utopiaindustries.pk,CDN,AWS,217775,Commercial Facilities
waada.pk,CDN,Google,217871,Commercial Facilities
wasap-plus.pk,CDN,Cloudflare,217887,Commercial Facilities
x666game.pk,Abroad,Namecheap  Inc. (US),217985,Commercial Facilities
youngmasti.pk,Abroad,,218091,Commercial Facilities
zapatla.pk,CDN,Cloudflare,218126,Commercial Facilities
zarif.pk,CDN,Cloudflare,218127,Commercial Facilities
zouq.pk,Abroad,Psychz Networks (US),218156,Commercial Facilities
timespan.pk,Abroad,Enix Ltd (GB),218454,Commercial Facilities
wego.pk,CDN,Cloudflare,219402,Commercial Facilities
market.pk,Abroad,DigitalOcean  LLC (NL),219919,Commercial Facilities
royalwrist.pk,CDN,Cloudflare,221825,Commercial Facilities
exitbase.pk,Abroad,Hostinger IN (IN),222705,Commercial Facilities
cloudy.pk,CDN,Cloudflare,223467,Commercial Facilities
katran.pk,CDN,Cloudflare,223636,Commercial Facilities
bisebwp.pk,Pakistani,PTCL ITI Lahore 11,224176,Commercial Facilities
breakin.pk,CDN,Cloudflare,227754,Commercial Facilities
lescoebillcheck.pk,CDN,Cloudflare,228408,Commercial Facilities
mytelenoranswertoday.pk,CDN,Cloudflare,228577,Commercial Facilities
senorita.pk,CDN,Cloudflare,228961,Commercial Facilities
styka.pk,CDN,Cloudflare,229065,Commercial Facilities
urge.pk,CDN,Cloudflare,229245,Commercial Facilities
pdma.gob.pk,Abroad,Handy Networks (US),232401,Commercial Facilities
ebillmepco.pk,CDN,Cloudflare,233199,Commercial Facilities
simownerss.pk,CDN,Cloudflare,234281,Commercial Facilities
safwa.pk,CDN,Cloudflare,238949,Commercial Facilities
simownersdetails.pk,CDN,Cloudflare,239265,Commercial Facilities
techjuice.pk,Abroad,Leaseweb UK Limited (GB),240799,Commercial Facilities
jazztv.pk,Pakistani,PMCL Transit,242232,Commercial Facilities
playtube.pk,CDN,Cloudflare,242799,Commercial Facilities
result.pk,CDN,Cloudflare,243736,Commercial Facilities
eatoye.pk,CDN,Cloudflare,246906,Commercial Facilities
ayanshop.pk,Abroad,Hostinger International Limited (LT),250003,Commercial Facilities
piratemedia.pk,Abroad,AVA HOST SRL (MD),263133,Commercial Facilities
sparkbroadband.pk,Pakistani,Logon Broadband Pvt. Limited,272378,Commercial Facilities
easyhost.pk,CDN,Cloudflare,279060,Commercial Facilities
tejar.pk,CDN,Cloudflare,279628,Commercial Facilities
nlthub.pk,CDN,Cloudflare,280658,Commercial Facilities
mobilewale.pk,Abroad,Hostinger International Limited (LT),281814,Commercial Facilities
reviewit.pk,CDN,Cloudflare,283747,Commercial Facilities
networld.pk,Pakistani,Fariya Networks 150,284271,Commercial Facilities
bausch.pk,CDN,Imperva/Incapsula,291352,Commercial Facilities
skyhost.pk,Abroad,Contabo GmbH (FR),291733,Commercial Facilities
techmanistan.pk,CDN,Cloudflare,295447,Commercial Facilities
webhoster.pk,CDN,Cloudflare,299939,Commercial Facilities
8thclassresults2026.pk,CDN,Cloudflare,302291,Commercial Facilities
shoppingbag.pk,CDN,Cloudflare,303385,Commercial Facilities
idmpakistan.pk,CDN,Cloudflare,316198,Commercial Facilities
tenderservice.pk,CDN,Cloudflare,319084,Commercial Facilities
dvdplanetstore.pk,CDN,Cloudflare,321392,Commercial Facilities
nightynight.pk,CDN,Cloudflare,336888,Commercial Facilities
techarc.pk,CDN,Cloudflare,347882,Commercial Facilities
arysahulatbazar.pk,CDN,Cloudflare,351411,Commercial Facilities
petsmall.pk,Abroad,Hostinger International Limited (SG),358479,Commercial Facilities
thenews.pk,CDN,Cloudflare,358791,Commercial Facilities
shopforever.pk,Abroad,Hostinger International Limited (LT),363223,Commercial Facilities
aminaismail.pk,Abroad,Hostinger International Limited (LT),370928,Commercial Facilities
bluehosting.pk,Abroad,Hetzner Online GmbH (FI),374990,Commercial Facilities
movi.pk,CDN,Cloudflare,381762,Commercial Facilities
ccstore.pk,CDN,Cloudflare,386370,Commercial Facilities
enic.pk,Abroad,WHG Hosting Services Ltd (SG),392622,Commercial Facilities
prowebhosting.pk,Abroad,Hetzner Online GmbH (FI),400200,Commercial Facilities
tune.pk,CDN,Cloudflare,400582,Commercial Facilities
amaleaked.pk,Abroad,IQWeb FZ-LLC (AE),402212,Commercial Facilities
primaxtech.pk,Abroad,Contabo GmbH (FR),403331,Commercial Facilities
pakprice.pk,CDN,Cloudflare,404114,Commercial Facilities
clasf.pk,CDN,Cloudflare,405124,Commercial Facilities
realproperty.pk,CDN,Cloudflare,405421,Commercial Facilities
saaf.pk,CDN,Cloudflare,410123,Commercial Facilities
ishopping.pk,CDN,Cloudflare,411381,Commercial Facilities
trackhub.pk,CDN,Cloudflare,413521,Commercial Facilities
dawaai.pk,CDN,Google,413680,Commercial Facilities
humnews.pk,CDN,Cloudflare,414307,Commercial Facilities
youtube.pk,CDN,Google,415137,Commercial Facilities
apollosports.pk,CDN,Cloudflare,415773,Commercial Facilities
juglo.pk,CDN,Cloudflare,418147,Commercial Facilities
shopon.pk,CDN,Cloudflare,419552,Commercial Facilities
britishcouncil.pk,CDN,Akamai,424224,Commercial Facilities
myshop.pk,CDN,Cloudflare,425256,Commercial Facilities
kalee.pk,Abroad,HOSTINGER (SG),427751,Commercial Facilities
contactnumbers.pk,CDN,Cloudflare,429606,Commercial Facilities
helloworld.pk,Pakistani,Pakistan Telecommuication company limited,429622,Commercial Facilities
allurebeauty.pk,CDN,Cloudflare,435553,Commercial Facilities
saffana.pk,CDN,Cloudflare,437735,Commercial Facilities
noacss.pk,Abroad,Unified Layer (US),438957,Commercial Facilities
zipper.pk,CDN,Cloudflare,450519,Commercial Facilities
1winbet.pk,Abroad,DigitalOcean  LLC (DE),450606,Commercial Facilities
scouted-today.pk,Abroad,Ddos-guard LTD (RU),452746,Commercial Facilities
mepcoebillcheck.pk,CDN,Cloudflare,454617,Commercial Facilities
nazarr.pk,CDN,Cloudflare,455497,Commercial Facilities
livestreamtv.pk,CDN,Cloudflare,458413,Commercial Facilities
businesslist.pk,CDN,Cloudflare,458568,Commercial Facilities
nestle.pk,CDN,AWS,462667,Commercial Facilities
dmarket.pk,CDN,Cloudflare,462941,Commercial Facilities
crane.pk,CDN,Cloudflare,463873,Commercial Facilities
fashioncentral.pk,CDN,Cloudflare,464554,Commercial Facilities
vegas.pk,Abroad,Hetzner Online GmbH (DE),470089,Commercial Facilities
toyzone.pk,CDN,Cloudflare,470796,Commercial Facilities
aysonline.pk,CDN,Cloudflare,474727,Commercial Facilities
class9.pk,Abroad,IONOS SE (US),479758,Commercial Facilities
mepcoonline.pk,Abroad,HOSTINGER MY (MY),480013,Commercial Facilities
kandns.pk,Abroad,Hostinger International Limited (LT),481567,Commercial Facilities
binfahad.pk,CDN,Cloudflare,482426,Commercial Facilities
digilog.pk,CDN,Cloudflare,485202,Commercial Facilities
glowton.pk,Abroad,Hostinger International Limited (US),490070,Commercial Facilities
carrefour.pk,CDN,Akamai,492019,Commercial Facilities
autoline24.pk,Abroad,Hetzner (DE),492471,Commercial Facilities
blingspot.pk,CDN,Cloudflare,497220,Commercial Facilities
partysharty.pk,CDN,Cloudflare,498778,Commercial Facilities
bakraonline.pk,CDN,Cloudflare,508313,Commercial Facilities
warsafabric.pk,CDN,Cloudflare,511226,Commercial Facilities
elegante.pk,CDN,Cloudflare,512380,Commercial Facilities
shop-kandns.pk,Abroad,Hostinger International Limited (ID),513074,Commercial Facilities
glisten.pk,CDN,Cloudflare,514160,Commercial Facilities
pehnawastore.pk,CDN,Cloudflare,514674,Commercial Facilities
derma.pk,CDN,Cloudflare,520093,Commercial Facilities
starlet.pk,CDN,Cloudflare,521500,Commercial Facilities
computerzone.pk,CDN,Cloudflare,524014,Commercial Facilities
sehgalmotors.pk,CDN,Cloudflare,524225,Commercial Facilities
allmytech.pk,CDN,Cloudflare,524930,Commercial Facilities
mobilemall.pk,CDN,Cloudflare,527385,Commercial Facilities
buyzar.pk,CDN,Cloudflare,527722,Commercial Facilities
gulmahal.pk,CDN,Cloudflare,530487,Commercial Facilities
machineryline.pk,Abroad,Hetzner (DE),533267,Commercial Facilities
dsmonline.pk,CDN,AWS,536793,Commercial Facilities
subhanelectronics.pk,CDN,Cloudflare,538549,Commercial Facilities
meerzah.pk,CDN,Cloudflare,539684,Commercial Facilities
ancient.pk,Abroad,Namecheap  Inc. (US),551862,Commercial Facilities
koyal.pk,CDN,AWS,553581,Commercial Facilities
petsone.pk,CDN,Cloudflare,555182,Commercial Facilities
vmart.pk,CDN,Cloudflare,556468,Commercial Facilities
apkzone.pk,Abroad,Hetzner Online GmbH (DE),557726,Commercial Facilities
sadapay.pk,CDN,Cloudflare,558231,Commercial Facilities
ameena.pk,CDN,Cloudflare,560597,Commercial Facilities
gobazar.pk,CDN,Cloudflare,560631,Commercial Facilities
hopkicks.pk,Abroad,Hetzner Online GmbH (FI),560636,Commercial Facilities
