website,hosting,isp_cdn,rank,cisa_sector
zeenwoman.com,CDN,Cloudflare,82003,Commercial Facilities
minnieminors.com,CDN,Cloudflare,86453,Commercial Facilities
cougar.com.pk,CDN,Cloudflare,612891,Commercial Facilities
logoofficial.com,CDN,Cloudflare,91746,Commercial Facilities
cliveshoes.com,CDN,Cloudflare,72975,Commercial Facilities
ronin.pk,CDN,Cloudflare,209734,Commercial Facilities
w11stop.com,CDN,Cloudflare,170942,Commercial Facilities
sanasafinaz.com,CDN,Cloudflare,85333,Commercial Facilities
myvitaminstore.pk,CDN,Cloudflare,449550,Commercial Facilities
wellshop.pk,Abroad,Namecheap  Inc. (US),395905,Commercial Facilities
telemart.pk,CDN,Cloudflare,441765,Commercial Facilities
xcessorieshub.com,CDN,Cloudflare,593751,Commercial Facilities
scentsnstories.pk,CDN,Cloudflare,66738,Commercial Facilities
phonecase.pk,CDN,Cloudflare,167571,Commercial Facilities
motifz.com.pk,CDN,Cloudflare,180276,Commercial Facilities
surmawala.pk,CDN,Cloudflare,662974,Commercial Facilities
furorjeans.com,CDN,Cloudflare,198947,Commercial Facilities
tclpakistan.com,CDN,AWS,212755,Commercial Facilities
mega.pk,CDN,Cloudflare,158359,Commercial Facilities
insignia.com.pk,CDN,Cloudflare,86346,Commercial Facilities
gracestore.pk,CDN,Cloudflare,89866,Commercial Facilities
urbansole.com.pk,CDN,Cloudflare,205688,Commercial Facilities
piac.com.pk,CDN,Cloudflare,108094,Transportation Systems
airblue.com,CDN,Cloudflare,76915,Transportation Systems
sereneair.com,Abroad,Namecheap  Inc. (US),,Transportation Systems
airsial.com,Abroad,Namecheap  Inc. (US),178333,Transportation Systems
flyjinnah.com,CDN,Microsoft/Azure,172361,Transportation Systems
daewoo.com.pk,Abroad,Hetzner Online GmbH (DE),608094,Transportation Systems
niaziexpress.com.pk,Abroad,WHG Hosting Services Ltd (US),,Transportation Systems
skyways.pk,Abroad,20i Limited (GB),,Transportation Systems
roadmaster.pk,Pakistani,Pakistan Telecommuication company limited,,Transportation Systems
faisalmovers.com,Abroad,Hostinger MY (MY),780572,Transportation Systems
asiainsurance.com.pk,Abroad,Hetzner Online GmbH (FI),,Financial Services
efulife.com,Pakistani,EFU LIFE Assurance Ltd,567489,Financial Services
atlas.pk,Abroad,pair Networks (US),761144,Financial Services
statelife.com.pk,CDN,Cloudflare,569756,Financial Services
jubileelife.com,Abroad,Oracle Corporation (AE),,Financial Services
pakqatar.com.pk,Abroad,Hetzner Online GmbH (FI),814085,Financial Services
tplinsurance.com,Pakistani,Cyber Internet Services Pakistan,,Financial Services
pral.com.pk,Pakistani,Federal Board of Revenue,,Financial Services
igiinsurance.com.pk,CDN,Cloudflare,,Financial Services
theunitedinsurance.com,CDN,Cloudflare,833662,Financial Services
adamjeelife.com,CDN,Cloudflare,,Financial Services
smartchoice.pk,CDN,AWS,,Financial Services
efuhemayahtakaful.com,Abroad,Tiggee LLC (US),,Financial Services
bhc.gov.pk,Abroad,Unified Layer (US),,Government Services & Facilities
sindhhighcourt.gov.pk,CDN,Cloudflare,196767,Government Services & Facilities
lhc.gov.pk,Pakistani,Punjab Information Technology Board,333207,Government Services & Facilities
peshawarhighcourt.gov.pk,Abroad,Hetzner Online GmbH (DE),442350,Government Services & Facilities
supremecourt.gov.pk,CDN,Akamai,329665,Government Services & Facilities
jazzcash.com.pk,CDN,Cloudflare,56837,Financial Services
easypaisa.com.pk,CDN,AWS,144365,Financial Services
abl.com,CDN,Cloudflare,282373,Financial Services
askaribank.com.pk,CDN,Cloudflare,485756,Financial Services
bankalhabib.com,CDN,Microsoft/Azure,140127,Financial Services
bankalfalah.com,CDN,Microsoft/Azure,145031,Financial Services
burjbankltd.com,Abroad,Yancy Limited (US),,Financial Services
bop.com.pk,CDN,Imperva/Incapsula,342519,Financial Services
bok.com.pk,Abroad,Liquid Web  L.L.C (US),528024,Financial Services
citibank.com,CDN,Akamai,13013,Financial Services
dibpak.com,CDN,Cloudflare,947986,Financial Services
fwbl.com.pk,CDN,Cloudflare,,Financial Services
faysalbank.com,CDN,Cloudflare,262071,Financial Services
hbl.com,CDN,Imperva/Incapsula,135967,Financial Services
habibmetro.com,Abroad,Dosarrest Internet Security LTD (US),592105,Financial Services
habibbank.com,CDN,AWS,556780,Financial Services
jsbl.com,CDN,Cloudflare,361490,Financial Services
khushhalibank.com.pk,CDN,AWS CloudFront,,Financial Services
kasb.com,Abroad,DigitalOcean  LLC (US),,Financial Services
mcb.com.pk,CDN,Sucuri,276384,Financial Services
meezanbank.com,CDN,Cloudflare,55784,Financial Services
nibpk.com,CDN,AWS,,Financial Services
sbp.org.pk,CDN,Cloudflare,83531,Financial Services
standardchartered.com.pk,Abroad,Vercara  LLC (US),,Financial Services
silkbank.com.pk,Pakistani,Cyber Internet Services Pakistan,,Financial Services
soneribank.com,CDN,Cloudflare,976750,Financial Services
tameerbank.com,CDN,AWS,,Financial Services
ubldirect.com,Pakistani,United Bank Limited,428966,Financial Services
ztbl.com.pk,Pakistani,Cyber Internet Services (Private) Limited,853941,Financial Services
cntv.cn,Pakistani,Gerrys Information Technology (PVT) Ltd,7936,Commercial Facilities
youth.cn,Pakistani,Gerrys Information Technology (PVT) Ltd,13948,Commercial Facilities
toptop.net,Pakistani,Gerrys Information Technology (PVT) Ltd,17707,Commercial Facilities
flashget.com,Pakistani,Gerrys Information Technology (PVT) Ltd,20258,Commercial Facilities
vu.edu.pk,Pakistani,HEC,1860,Government Services & Facilities
pitc.com.pk,Pakistani,PITC,1876,Government Services & Facilities
punjabpolice.gov.pk,Pakistani,Punjab Information Technology Board,9830,Government Services & Facilities
punjab.gov.pk,Pakistani,Punjab Information Technology Board,15695,Government Services & Facilities
bisp.gov.pk,CDN,Cloudflare,9859,Government Services & Facilities
nadra.gov.pk,CDN,Akamai,19243,Government Services & Facilities
weboc.gov.pk,Pakistani,Cyber Internet Services Pakistan,22846,Government Services & Facilities
hec.gov.pk,Pakistani,HEC,41326,Government Services & Facilities
fbr.gov.pk,Pakistani,Federal Board of Revenue,46852,Government Services & Facilities
mofa.gov.pk,Pakistani,National Telecommunication Corporation,50073,Government Services & Facilities
pta.gov.pk,Pakistani,National Telecommunication Corporation,61712,Government Services & Facilities
dgip.gov.pk,Pakistani,National Telecommunication Corporation,78805,Government Services & Facilities
beoe.gov.pk,CDN,Cloudflare,80021,Government Services & Facilities
fia.gov.pk,Pakistani,National Telecommunication Corporation,80830,Government Services & Facilities
punjab-zameen.gov.pk,Pakistani,Punjab Land Records Authority,82132,Government Services & Facilities
fpsc.gov.pk,Pakistani,National Telecommunication Corporation,82408,Government Services & Facilities
pshealthpunjab.gov.pk,Pakistani,NEXLINX,82618,Healthcare & Public Health
njp.gov.pk,Pakistani,National Telecommunication Corporation,85360,Government Services & Facilities
ep.gov.pk,Pakistani,Nayatel (Pvt) Ltd,86235,Government Services & Facilities
sindheducation.gov.pk,Abroad,OVH SAS (CA),92841,Government Services & Facilities
apnaghar.gov.pk,CDN,Cloudflare,93799,Government Services & Facilities
pave.gov.pk,Pakistani,Punjab Information Technology Board,95129,Government Services & Facilities
pitb.gov.pk,Pakistani,Punjab Information Technology Board,105814,Government Services & Facilities
kp.gov.pk,Pakistani,National Telecommunication Corporation,129768,Government Services & Facilities
radio.gov.pk,CDN,Cloudflare,152348,Government Services & Facilities
psw.gov.pk,Pakistani,Pakistan Single Window,152909,Government Services & Facilities
sindhpolice.gov.pk,CDN,Cloudflare,165190,Government Services & Facilities
joinpakarmy.gov.pk,Pakistani,COMSATS,167941,Government Services & Facilities
balochistan.gov.pk,CDN,Cloudflare,169558,Government Services & Facilities
secp.gov.pk,CDN,Cloudflare,176147,Government Services & Facilities
ajk.gov.pk,CDN,Cloudflare,178981,Government Services & Facilities
kppsc.gov.pk,Abroad,Hetzner Online GmbH (DE),186459,Government Services & Facilities
pakrailways.gov.pk,CDN,Cloudflare,199096,Government Services & Facilities
joinpaknavy.gov.pk,CDN,Cloudflare,207981,Government Services & Facilities
epads.gov.pk,Pakistani,Pakistan Telecommuication company limited,208609,Government Services & Facilities
kppolice.gov.pk,CDN,Cloudflare,208990,Government Services & Facilities
fgei.gov.pk,CDN,Cloudflare,214798,Government Services & Facilities
lmis.gov.pk,Pakistani,National Telecom Corporation,215730,Government Services & Facilities
ajkpsc.gov.pk,Pakistani,PTCL ITI Future Connect 79,227593,Government Services & Facilities
sco.gov.pk,Pakistani,Micronet,243678,Government Services & Facilities
pmd.gov.pk,CDN,Cloudflare,244550,Government Services & Facilities
na.gov.pk,Pakistani,National Telecommunication Corporation,258457,Government Services & Facilities
pbs.gov.pk,Pakistani,National Telecom Corporation,264994,Government Services & Facilities
finance.gov.pk,CDN,Cloudflare,282401,Government Services & Facilities
