trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_asn_reg,probe_city,probe_ip,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-14T23:58:30+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.72,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T00:13:31+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,101.067,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T00:28:35+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.768,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T00:43:37+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,101.051,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T00:58:41+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.718,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T01:13:35+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.741,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T01:28:41+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.628,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T01:43:31+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.583,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T01:58:43+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.654,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T02:13:33+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.743,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T02:28:43+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.803,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T02:43:34+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.801,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T02:58:42+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.709,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T03:13:43+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.837,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T03:28:41+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.802,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T03:43:43+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.744,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T03:58:30+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,97.747,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T04:13:42+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,98.089,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
