trace_id,trace_time,probe_id,site_id,probe_asn_measured,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
21,2026-06-11T09:19:08+00:00,62224,4,38193,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.712,3,5,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
22,2026-06-11T09:19:35+00:00,60223,2,23674,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,212.338,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
23,2026-06-11T09:19:39+00:00,62224,2,38193,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,203.458,3,5,19551,US,,,True,179311289
24,2026-06-11T09:19:42+00:00,7613,3,152605,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.36,11,0,152605 > 38193 > 6762 > 3257 > 30148,PK > IT > US,"Frankfurt am Main, Hesse, DE",handoff 46.33.85.114,True,179311300
25,2026-06-11T09:20:45+00:00,7613,4,152605,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,36.394,7,0,152605 > 38193 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
26,2026-06-11T09:29:25+00:00,1016036,5,9541,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,7,9541 > 9557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
27,2026-06-11T09:29:34+00:00,1016036,2,9541,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,211.116,13,1,9541 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
28,2026-06-11T09:30:40+00:00,1015679,3,136174,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,131.719,12,0,6327 > 38193 > 6762 > 3257 > 30148,CA > PK > IT > US,"London, England, GB",handoff 87.119.92.2,True,179311300
29,2026-06-11T09:30:57+00:00,1016036,1,9541,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.941,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
30,2026-06-11T09:30:58+00:00,1016036,4,9541,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,24.348,7,1,9541 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
31,2026-06-11T09:31:04+00:00,62224,3,38193,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,133.207,3,5,30148,US,,,True,179311300
32,2026-06-11T09:31:09+00:00,60223,3,23674,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,128.722,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,179311300
33,2026-06-11T09:31:31+00:00,1015679,1,136174,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.824,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
34,2026-06-11T09:31:49+00:00,7613,2,152605,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,201.916,11,1,152605 > 38193 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
35,2026-06-11T09:32:02+00:00,1015679,5,136174,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,8,7,6327 > 38193 > 17557,CA > PK,"Islamabad, Islamabad, PK",server IP,False,179311305
36,2026-06-11T09:32:08+00:00,7613,5,152605,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,8,6,152605 > 38193 > 17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
37,2026-06-11T09:32:24+00:00,1015679,4,136174,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,37.679,8,0,6327 > 38193 > 9260,CA > PK,"Karachi, Sindh, PK",server IP,True,179311308
38,2026-06-11T09:32:46+00:00,1015679,2,136174,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,208.589,12,1,6327 > 38193 > 174 > 19551,CA > PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
39,2026-06-11T09:32:52+00:00,62224,5,38193,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,2,6,,,"Islamabad, Islamabad, PK",server IP,False,179311305
40,2026-06-11T09:32:59+00:00,60223,5,23674,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,6,8,17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
41,2026-06-11T09:33:08+00:00,1016036,3,9541,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,138.471,13,0,9541 > 1299 > 20773 > 30148,PK > SE > DE > US,"Cologne, North Rhine-Westphalia, DE",handoff 87.230.126.3,True,179311300
42,2026-06-11T09:33:34+00:00,7613,1,152605,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,1.541,6,0,152605 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
43,2026-06-11T09:34:02+00:00,60223,1,23674,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,39.428,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
44,2026-06-11T09:34:04+00:00,62224,1,38193,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,6.591,3,5,9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
45,2026-06-11T09:34:08+00:00,62224,4,38193,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.678,3,5,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
46,2026-06-11T09:34:13+00:00,60223,4,23674,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,23.187,9,0,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
47,2026-06-11T09:34:29+00:00,60223,2,23674,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.871,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
48,2026-06-11T09:34:34+00:00,7613,3,152605,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.1,11,0,152605 > 38193 > 6762 > 3257 > 30148,PK > IT > US,"Frankfurt am Main, Hesse, DE",handoff 46.33.85.114,True,179311300
49,2026-06-11T09:34:36+00:00,62224,2,38193,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,202.1,3,5,19551,US,,,True,179311289
50,2026-06-11T09:35:50+00:00,7613,4,152605,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,36.387,7,0,152605 > 38193 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
51,2026-06-11T09:44:31+00:00,1016036,2,9541,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,210.319,13,1,9541 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
52,2026-06-11T09:44:31+00:00,1016036,5,9541,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,7,9541 > 9557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
53,2026-06-11T09:45:41+00:00,1015679,3,136174,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,131.69,12,0,6327 > 38193 > 6762 > 3257 > 30148,CA > PK > IT > US,"London, England, GB",handoff 87.119.92.2,True,179311300
54,2026-06-11T09:45:51+00:00,1016036,1,9541,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.449,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
55,2026-06-11T09:46:02+00:00,1016036,4,9541,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,24.526,7,1,9541 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
56,2026-06-11T09:46:06+00:00,62224,3,38193,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,132.46,3,5,30148,US,,,True,179311300
57,2026-06-11T09:46:15+00:00,60223,3,23674,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,181.35,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,179311300
58,2026-06-11T09:46:34+00:00,1015679,1,136174,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,3.226,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
59,2026-06-11T09:46:49+00:00,7613,2,152605,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,201.863,11,1,152605 > 38193 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
60,2026-06-11T09:47:13+00:00,7613,5,152605,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,8,6,152605 > 38193 > 17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
61,2026-06-11T09:47:20+00:00,1015679,5,136174,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,6,6327 > 38193 > 17557,CA > PK,"Islamabad, Islamabad, PK",server IP,False,179311305
62,2026-06-11T09:47:27+00:00,1015679,4,136174,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,37.274,8,0,6327 > 38193 > 9260,CA > PK,"Karachi, Sindh, PK",server IP,True,179311308
63,2026-06-11T09:47:48+00:00,1015679,2,136174,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,211.343,12,1,6327 > 38193 > 174 > 19551,CA > PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
64,2026-06-11T09:47:58+00:00,60223,5,23674,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,6,8,17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
65,2026-06-11T09:48:04+00:00,62224,5,38193,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,2,6,,,"Islamabad, Islamabad, PK",server IP,False,179311305
66,2026-06-11T09:48:12+00:00,1016036,3,9541,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,138.878,13,0,9541 > 1299 > 20773 > 30148,PK > SE > DE > US,"Cologne, North Rhine-Westphalia, DE",handoff 87.230.126.3,True,179311300
67,2026-06-11T09:48:33+00:00,7613,1,152605,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,1.6,6,0,152605 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
68,2026-06-11T09:49:08+00:00,62224,4,38193,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.376,3,5,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
69,2026-06-11T09:49:09+00:00,60223,1,23674,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,42.243,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
70,2026-06-11T09:49:09+00:00,60223,4,23674,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,23.201,9,0,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
71,2026-06-11T09:49:09+00:00,62224,1,38193,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,6.764,3,5,9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
72,2026-06-11T09:49:30+00:00,60223,2,23674,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,199.723,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
73,2026-06-11T09:49:39+00:00,62224,2,38193,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,203.414,3,5,19551,US,,,True,179311289
74,2026-06-11T09:49:42+00:00,7613,3,152605,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.542,11,0,152605 > 38193 > 6762 > 3257 > 30148,PK > IT > US,"Frankfurt am Main, Hesse, DE",handoff 46.33.85.114,True,179311300
75,2026-06-11T09:50:47+00:00,7613,4,152605,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,39.128,7,0,152605 > 38193 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
76,2026-06-11T09:59:34+00:00,1016036,5,9541,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,7,9541 > 9557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
77,2026-06-11T09:59:36+00:00,1016036,2,9541,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,210.065,12,2,9541 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
78,2026-06-11T10:00:48+00:00,1015679,3,136174,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,131.581,12,0,6327 > 38193 > 6762 > 3257 > 30148,CA > PK > IT > US,"London, England, GB",handoff 87.119.92.2,True,179311300
79,2026-06-11T10:00:59+00:00,1016036,1,9541,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.997,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
80,2026-06-11T10:01:02+00:00,60223,3,23674,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.05,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,179311300
81,2026-06-11T10:01:04+00:00,62224,3,38193,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,133.644,3,5,30148,US,,,True,179311300
82,2026-06-11T10:01:10+00:00,1016036,4,9541,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,24.732,7,1,9541 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
83,2026-06-11T10:01:21+00:00,1015679,1,136174,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,12.253,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
84,2026-06-11T10:01:50+00:00,7613,2,152605,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,201.911,11,1,152605 > 38193 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
85,2026-06-11T10:02:06+00:00,7613,5,152605,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,8,6,152605 > 38193 > 17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
86,2026-06-11T10:02:12+00:00,1015679,5,136174,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,8,7,6327 > 38193 > 17557,CA > PK,"Islamabad, Islamabad, PK",server IP,False,179311305
87,2026-06-11T10:02:26+00:00,1015679,4,136174,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,37.784,8,0,6327 > 38193 > 9260,CA > PK,"Karachi, Sindh, PK",server IP,True,179311308
88,2026-06-11T10:02:50+00:00,1015679,2,136174,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,211.604,12,1,6327 > 38193 > 174 > 19551,CA > PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
89,2026-06-11T10:02:56+00:00,60223,5,23674,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,6,8,17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
90,2026-06-11T10:02:59+00:00,62224,5,38193,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,2,6,,,"Islamabad, Islamabad, PK",server IP,False,179311305
91,2026-06-11T10:03:04+00:00,1016036,3,9541,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,139.34,13,0,9541 > 1299 > 20773 > 30148,PK > SE > DE > US,"Cologne, North Rhine-Westphalia, DE",handoff 87.230.126.3,True,179311300
92,2026-06-11T10:03:40+00:00,7613,1,152605,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,1.535,6,0,152605 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
93,2026-06-11T10:04:01+00:00,62224,1,38193,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,6.849,3,5,9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
94,2026-06-11T10:04:06+00:00,60223,1,23674,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.728,12,0,38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
95,2026-06-11T10:04:09+00:00,60223,4,23674,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,22.992,9,0,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
96,2026-06-11T10:04:12+00:00,62224,4,38193,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.421,3,5,9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
97,2026-06-11T10:04:32+00:00,7613,3,152605,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,130.179,11,0,152605 > 38193 > 6762 > 3257 > 30148,PK > IT > US,"Frankfurt am Main, Hesse, DE",handoff 46.33.85.114,True,179311300
98,2026-06-11T10:04:36+00:00,60223,2,23674,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,200.079,15,1,174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
99,2026-06-11T10:04:36+00:00,62224,2,38193,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,202.703,3,5,19551,US,,,True,179311289
100,2026-06-11T10:05:56+00:00,7613,4,152605,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,39.235,7,0,152605 > 38193 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
101,2026-06-11T10:14:28+00:00,1016036,5,9541,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,7,9541 > 9557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
102,2026-06-11T10:14:38+00:00,1016036,2,9541,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,210.188,13,1,9541 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
103,2026-06-11T10:15:47+00:00,1015679,3,136174,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,131.901,12,0,6327 > 38193 > 6762 > 3257 > 30148,CA > PK > IT > US,"London, England, GB",handoff 87.119.92.2,True,179311300
104,2026-06-11T10:15:56+00:00,1016036,1,9541,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.581,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
105,2026-06-11T10:16:04+00:00,60223,3,23674,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,180.448,8,2,2914 > 30148,SG > US,"Singapore, Central Singapore, SG",handoff 116.51.18.234,True,179311300
106,2026-06-11T10:16:06+00:00,62224,3,38193,192.124.249.159,30148,"SUCURI-SEC - Sucuri, US",US,137.468,3,5,30148,US,,,True,179311300
107,2026-06-11T10:16:11+00:00,1016036,4,9541,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,24.677,7,1,9541 > 9260,PK,"Karachi, Sindh, PK",server IP,True,179311308
108,2026-06-11T10:16:24+00:00,1015679,1,136174,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,3.188,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
109,2026-06-11T10:16:43+00:00,7613,2,152605,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,201.794,11,1,152605 > 38193 > 174 > 19551,PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
110,2026-06-11T10:17:10+00:00,1015679,5,136174,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,9,6,6327 > 38193 > 17557,CA > PK,"Islamabad, Islamabad, PK",server IP,False,179311305
111,2026-06-11T10:17:11+00:00,7613,5,152605,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,7,7,152605 > 38193 > 17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
112,2026-06-11T10:17:32+00:00,1015679,4,136174,125.209.103.90,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,38.773,8,0,6327 > 38193 > 9260,CA > PK,"Karachi, Sindh, PK",server IP,True,179311308
113,2026-06-11T10:17:44+00:00,1015679,2,136174,45.60.73.176,19551,"INCAPSULA - Incapsula Inc, US",US,211.483,12,1,6327 > 38193 > 174 > 19551,CA > PK > US > NL,"Secaucus, New Jersey, US",handoff 38.122.35.199,True,179311289
114,2026-06-11T10:17:52+00:00,60223,5,23674,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,6,8,17557,PK,"Islamabad, Islamabad, PK",server IP,False,179311305
115,2026-06-11T10:18:05+00:00,62224,5,38193,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,,2,6,,,"Islamabad, Islamabad, PK",server IP,False,179311305
